video_id,title,publishedAt,channelId,channelTitle,categoryId,video_url,trending_date,tags,view_count,likes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,channel_creation_date,channel_subscriber_count,channel_video_count,channel_description,channel_image,channel_country,channel_total_views,channel_keywords,channel_url
"THf8kfbfa5M","Cool Items!🥰 New Gadgets, Smart Appliances, Kitchen Tools Utensils, Home Cleaning, Beauty #shorts","2024-10-12T11:00:26Z","UCyGlHNYIsiXV47jUbvYA5DQ","Cool Items Official","26","https://www.youtube.com/watch?v=THf8kfbfa5M","24.19.10","household items,family essentials,home goods,useful products,product reviews,home improvement,family life,cool gadgets,daily essentials,home organization,home decor,kitchen gadgets,home accessories,family fun,practical items,home hacks,home tips,family products,lifestyle items,home tools,family must-haves,everyday essentials,home innovations,home solutions,family-friendly products,product recommendations,home efficiency,household gadgets","68943871","1111334","1065","https://i.ytimg.com/vi/THf8kfbfa5M/default.jpg","False","False","Welcome to the 【Cool Items Official】 Channel! 🏠✨This is an exciting world of family-themed product recommendations. Through our videos, we recommend various practical and interesting household items and demonstrate their applications and fun in daily life. Each video is meticulously produced, and we hope you can find inspiration and useful advice in them. 🎥😊We highly value interaction with our audience; every comment and like from you is our motivation to keep creating. 🌟If you like our content, please make sure to subscribe to the channel and click the bell icon 🔔 to interact with us and share your thoughts and suggestions. 💬Join the 【Cool Items Official】 family and explore and share those items that make life better! 🌈All videos are authorized by creators from Mainland China and strictly comply with platform regulations. 🛡️","2024-06-13T08:55:42.525399Z","4600000","674","Welcome to the 【Cool Items Official】 Channel! 🏠✨This is an exciting world of family-themed product recommendations. Through our videos, we recommend various practical and interesting household items and demonstrate their applications and fun in daily life. Each video is meticulously produced, and we hope you can find inspiration and useful advice in them. 🎥😊We highly value interaction with our audience; every comment and like from you is our motivation to keep creating. 🌟If you like our content, please make sure to subscribe to the channel and click the bell icon 🔔 to interact with us and share your thoughts and suggestions. 💬Join the 【Cool Items Official】 family and explore and share those items that make life better! 🌈All videos are authorized by creators from Mainland China and strictly comply with platform regulations. 🛡️","https://yt3.ggpht.com/T_BbekPbQecAQoQX967wUz0Sx79rhm9h9Mc5TvATZe39pTXuVIRWH2ND1m9yHyemZzUl_w5VzA=s88-c-k-c0x00ffffff-no-rj","US","3513360295","household items family essentials home goods useful products product reviews home improvement family life cool gadgets daily essentials home organization home decor kitchen gadgets home accessories family fun practical items home hacks home tips family products lifestyle items home tools family must-haves everyday essentials home innovations home solutions family-friendly products product recommendations home efficiency household gadgets","https://www.youtube.com/channel/UCyGlHNYIsiXV47jUbvYA5DQ"
"EcseUs8FVNw","How Tough is Tin Foil? 💪","2024-10-11T20:00:09Z","UC70Dib4MvFfT1tU6MqeyHpQ","Preston","24","https://www.youtube.com/watch?v=EcseUs8FVNw","24.19.10","[none]","33224489","1016942","1129","https://i.ytimg.com/vi/EcseUs8FVNw/default.jpg","False","False","SHOUT OUT to the LEGEND @jugglinjosh for coming out to shoot this video with us!!!❇️ SUBSCRIBE - http://preston.gg/subscribe👕 FIRE MERCH - http://www.firemerch.com/🔥 DOWNLOAD APP - http://firemerch.app/download👀 FOLLOW ME HERE!☛ TikTok - https://www.tiktok.com/@preston☛ Instagram - https://www.instagram.com/prestonplayz/☛ Twitter - https://twitter.com/Preston🎮 MY FAN DISCORD! ☛ https://fire.vip/discord------------------------------Additional music provided by Epidemic SoundClick here for a free trial!  http://share.epidemicsound.com/TBNRIf you believe your copyrighted work was unintentionally used in this video without permission, please contact us at copyright@tbnr.net","2012-07-04T07:01:56Z","28400000","4163","Hi, I’m Preston! I love me some Jesus and play video games for a living.If you’re a fan and want to talk to me, join the Fire Nation Discord (discord.gg/Preston) or hit me up on Twitter, @Preston!Please send all business inquiries to: partnerships@tbnr.work.","https://yt3.ggpht.com/ytc/AIdro_nSkIw3SPG0-UQfM6h46OJnjVAITSYT3X77QRUBm8Gs8iY=s88-c-k-c0x00ffffff-no-rj","US","10743875012","preston prestonplayz preston playz prestonplays preston plays 100 layers preston minecraft challenge challenges comedy funny funny video game games gaming hilarious prank pranks reaction minecraft preston 100 layers prestonreacts preston hide and seek preston minecraft preston and brianna brianna minecraft prestonreacts preston reacts preston playz preston 100 layers prestongamez prestongames preston gamez preston games preston minecraft","https://www.youtube.com/channel/UC70Dib4MvFfT1tU6MqeyHpQ"
"sC51QhcCwaM","😭Unbelievable glasses that will change your crying game! 🧅","2024-10-14T15:01:12Z","UCcVlJCxIqvZowxxzxY2QXEA","Recap Mood","26","https://www.youtube.com/watch?v=sC51QhcCwaM","24.19.10","123 go,5mc,addams,amazon,automatic,bites,candy,challenge,cool,cool tool,do it yourself,doll,emotional story,from nerd to popular,funny situations,gadgets,gotcha,hacks,how to,kitty,kittybites,life hacks,magic,makeover,makeup asmr,makeup tutorial,pets,pikachu,pink,pranks,room makeover,teeens,tips,tools,trick,tricks,troom troom,tutorial,useful things,viral,wednesday,woohoo","1751128","23198","60","https://i.ytimg.com/vi/sC51QhcCwaM/default.jpg","False","False","Get ready for the most innovative eyewear! Say goodbye to smudged makeup! 👓💧#shorts #diy #glasses #crafts ▶️ TheSoul Music: https://www.music.thesoul-publishing.com◉ Our Spotify: https://sptfy.com/TheSoulMusic◉ TikTok: https://www.tiktok.com/@thesoul.music◉ YouTube: / @thesoulsoundMusic by Epidemic Sound: https://www.epidemicsound.com/Stock materials: https://www.depositphotos.com https://www.shutterstock.comThis video is made for entertainment purposes. We do not make any warranties about the completeness, safety and reliability. Any action you take upon the information on this video is strictly at your own risk, and we will not be liable for any damages or losses. It is the viewer's responsibility to use judgment, care and precautions if one plans to replicate.The following video might feature activity performed by our actors within controlled environment - please use judgment, care, and precaution if you plan to replicate.All product and company names shown in the video are trademarks™️ or registered®️ trademarks of their respective holders. Use of them does not imply any affiliation with or endorsement by them.","2023-10-11T05:28:06.196711Z","373000","981","Welcome to the official Shorts channel for Recap Mood! We love narrating videos, mostly DIY ones. Come in, learn new stuff and have fun with us 😬Thanks for watching!  ","https://yt3.ggpht.com/Gt-t0Pwz3ebgemqjEmZ1Mhei98uUUmH3Glhznw2BOXxP_IoOscjmTxAB1NR8H1zZ0CCVvOjU=s88-c-k-c0x00ffffff-no-rj","US","247533884","N/A","https://www.youtube.com/channel/UCcVlJCxIqvZowxxzxY2QXEA"
"9AH68h3LPss","Brother Enigma says he hears from the Lord| What he said will shock you| Unique Heaven experience","2024-10-15T11:37:39Z","UCw5YxE7atFwRHxIfFYwgwpw","CENTTWINZ TV","24","https://www.youtube.com/watch?v=9AH68h3LPss","24.19.10","[none]","385916","12542","8531","https://i.ytimg.com/vi/9AH68h3LPss/default.jpg","False","False","This week we profile Brother EnigmaYou can Listen to our Podcast on:Spotify https://open.spotify.com/show/1EmRAh5MQk9FVnFiVXs2yq?si=6nkXqa4GTAeH8GdwfLfnmQApple Podcastshttps://podcasts.apple.com/za/podcast/ive-been-through-the-most-podcast/id1691771243And Join our WhatsApp Channel for updates https://whatsapp.com/channel/0029VaDVRRN7tkjGmZ23gD0TI’ve Been Through the Most is a documentary series that profiles the lives of the brave, bold and courageous guests who have experienced the most and are on the show to share their story.   Most if not all are back on the podcast to answer some questions which our viewer had, they also get to be interviewed by media personalities Innocent & Millicent also known as the Centtwinz. The podcast allows our guests to dive deeper into in-depth details of their story. This podcast is proudly brought to you by Centtwinz Productions.To be featured on the show please email centtwinz@gmail.comThank you and God Bless.","2018-01-16T11:15:51Z","341000","530","CettwinzTV is an online platform that creates shows, vlogs and documentaries. The channel is created by Tv Personalities Innocent & Millicent. This is a  network that promises to produce Quality Online Shows with a fresh approach! Centtwinz Tv is the home of riveting content that will keep you Entertained & Informed!","https://yt3.ggpht.com/ytc/AIdro_kP9tlx0-f4b0Ybckywe-9MJS-b82HXlocqdcmeqp6YoZY=s88-c-k-c0x00ffffff-no-rj","ZA","37114421","Cettwinz Twins Millicent Mashile Innocent Sadiki influencers Documentary stories real stories true stories i've been through the most twin talk my baby bumb","https://www.youtube.com/channel/UCw5YxE7atFwRHxIfFYwgwpw"
"TeOHydt__Hc","Hahaha😂","2024-10-12T04:12:56Z","UC56D-IHcUvLVFTX_8NpQMXg","Brent Rivera","24","https://www.youtube.com/watch?v=TeOHydt__Hc","24.19.10","[none]","11109268","450647","858","https://i.ytimg.com/vi/TeOHydt__Hc/default.jpg","False","False","","2009-08-01T22:25:08Z","33400000","723","Hey Guys, Hope you guys enjoy my YouTube videos EVERY WEEK!Make sure you subscribe and share my videos!Business Contact: brentriverabiz@gmail.comYou can follow me on Instagram (@brentrivera), Vine (@brentrivera), and Twitter (@brentrivera).","https://yt3.ggpht.com/ytc/AIdro_l3SYhoLrNle54Is55cz00YwhMQdPKpQJXLVzfSl1sl6fY=s88-c-k-c0x00ffffff-no-rj","US","9266458640","brent rivera brentrivera vineboys vine mrbrent brent98 instagram compilation emma chamberlain Ethan Dolan funny comedy","https://www.youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg"
"fcfETT2i2Es","Probably Shouldn’t Have Used A Fork 😳 (Comment Your Favorite Hairstyle lol)","2024-10-18T14:00:44Z","UC2xBh2nwvOwBqnA1tEbPCZw","Alyssa's Ways","24","https://www.youtube.com/watch?v=fcfETT2i2Es","24.19.10","[none]","3449211","143077","870","https://i.ytimg.com/vi/fcfETT2i2Es/default.jpg","False","False","","2015-07-29T23:07:02Z","25300000","1147","Silly and not afraid to be myself 😝","https://yt3.ggpht.com/jloaMxm6xtPrVk5TWCHjHHtKxIvmOZZjQD_AwpW-8OrQc5Vg_ZI5KmjDekF6lKRs-IKlkZhgeQ8=s88-c-k-c0x00ffffff-no-rj","US","13444866045","N/A","https://www.youtube.com/channel/UC2xBh2nwvOwBqnA1tEbPCZw"
"5IbcXXSlsA8","Together=Clean - Episode 4","2024-10-16T17:50:08Z","UCedZvSQVma70F1O67NOuYZw","MDM Sketch Comedy","23","https://www.youtube.com/watch?v=5IbcXXSlsA8","24.19.10","[none]","226853","15693","1049","https://i.ytimg.com/vi/5IbcXXSlsA8/default.jpg","False","False","","2013-11-12T12:52:37Z","1060000","407","🇿🇦 Mthandeni Mahlaba is a comedian, filmmaker Animator, writer and an actor. Subscribe to see more!!!","https://yt3.ggpht.com/71460mLcSYIw0fAFC78kfoSpNE3lQBx3EusEAiE3gHeE6kqx3erBNCRthgpH1ms-tbnRnSKN=s88-c-k-c0x00ffffff-no-rj","ZA","359898897","Zulu comedy funny short stories","https://www.youtube.com/channel/UCedZvSQVma70F1O67NOuYZw"
"vqjc5M0le_s","The REAL Truth Behind the DVD Logo","2024-10-17T21:42:59Z","UCY1kMZp36IQSyNx_9h4mpCg","Mark Rober","28","https://www.youtube.com/watch?v=vqjc5M0le_s","24.19.10","[none]","12619374","758796","1707","https://i.ytimg.com/vi/vqjc5M0le_s/default.jpg","False","False","","2011-10-20T06:17:58Z","58300000","177","Former NASA engineer. Current CrunchLabs founder and friend of science.Answers to some common questions:1) I make a monthly toy we build together on a video, that gets delivered to your house that teaches you to think like an engineer.  Check it out at- https://crunchlabs.com2) I studied Mechanical Engineering in School.  I did my undergrad at BYU and Masters at USC.3) I worked for NASA JPL for 9 years, 7 of which were working on the Curiosity Rover (I made a video about it you should def totes watch cause it's probably my favorite of all my videos).  Then I made some Halloween costumes.  Then I worked for Apple in their Special Projects Group doing Product Design as a Mechanical Engineer for 5 years. Then in 2022 I created CrunchLabs to deliver monthly toys that teach you to think like an engineer.","https://yt3.ggpht.com/ytc/AIdro_kwFxfJF-fQml8fUIvrd36ZstE2RO-C-IwDB-0qxQoc3Q=s88-c-k-c0x00ffffff-no-rj","US","8000153018","DIY Creative Design Hack Hacker Halloween costume ipad2 costume mark rober nasa jpl jet propulsion laboratory","https://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg"
"mTrxJh34XvM","Dlala Thukzin, Funky Qla, Zee Nxumalo feat. MK Productions - Ama Gear (Official Music Video)","2024-10-10T14:00:06Z","UCJhmn-3wZV5BmwDFU9BLLIg","Dlala Thukzin","10","https://www.youtube.com/watch?v=mTrxJh34XvM","24.19.10","Official,music video,official video,ama gear,ama gear zee nxumalo,ama gear dlala thukzin,ama gear thukzin,dlala thukzin,ama gear gqom version,ama gear thukzin zee Nxumalo,dlala thukzin mix,dlala thukzin ama gear,dlala thukzin ft zee nxumalo,dlala thukzin sohlala sonke,dlala thukzin new album 2024,zee nxumalo,zee nxumalo songs,zee nxumalo amagear,Amapiano,amapiano songs,amapiano mix,Sa house,sa house music,afro tech,afrotech,gqom,gqom songs,gqom mix","585836","10162","342","https://i.ytimg.com/vi/mTrxJh34XvM/default.jpg","False","False","The official Music Video to Ama Gear by Dlala Thukzin, Funky Qla and Zee Nxumalo feat. MK ProductionsThank you for watching, please subscribe to my channel.TikTok: https://www.tiktok.com/@dlalathukzinInstagram : https://www.instagram.com/dlalathukzin/Twitter : https://twitter.com/dlalathukzin_Facebook: https://www.facebook.com/dlalathukzin2Spotify:  https://open.spotify.com/artist/5kmceQl1Y7lveTVbcy5ycDApple Music:  https://music.apple.com/za/artist/dlala-thukzin/1305671349Deezer:  https://www.deezer.com/en/artist/13527457Beatport:  https://www.beatport.com/artist/dlala-thukzin/812349Traxsource:  https://www.traxsource.com/artist/524674/dlala-thukzinBookings: bookings@dlalarecords.co.za#dlalathukzin #dlalarecords #official #officialmusicvideo #musicvideo","2018-01-14T12:00:15Z","129000","29","Welcome to the official channel of Dlala thukzin.  Born and raised in Lamontville Durban, the young star was raised by his grandmother and has been pushing his work around KZN. Thukzin had his big break into the industry when he started to produce music for West Ink Records as a freelancer Producer in 2017, having produced hit songs for them. He has worked with some of the biggest names in the House music scene, such as DJ Tira, Big Nuz and Babes Wodumo.He then created Dlala records which is now one of the most popular independent record labels with over 10 Million Streams and multiple Gold selling records. Dlala fell in love with the music scene at the age of 12, where he started out in 2009 by just carrying his late uncle’s sound equipment at gigs around the township, the music bug caught him and hasn’t let go since.Please subscribe to stay up to date on new music and events.Contact: bookings@dlalarecords.co.za","https://yt3.ggpht.com/L7uvBbYyoAv_prCwzD8wxENEWw0_BRNJPO_gnxX2A4jLqPpO48tp31UuXh62_En9NNH40RNTGA=s88-c-k-c0x00ffffff-no-rj","ZA","70038999","dlala thukzin dlala thukzin iplan dlala thukzin mix dlala thukzin ama gear dlala thukzin new album 2024 dlala thukzin boiler room dlala thukzin ft zee nxumalo dlala thukzin balcony mix dlala thukzin phuze dlala thukzin imoto dlala thukzin fomo gqom gqom songs gqom mix gqom dance gqom music official music video official audio afrohouse afro house afro house mix afro house music amapiano amapiano mix","https://www.youtube.com/channel/UCJhmn-3wZV5BmwDFU9BLLIg"
"yTm0UzkS5Ho","Não sabe esconder Comida","2024-10-14T16:13:35Z","UC371icpvZj2oQaocL0i9L-g","DUDU e CAROL","24","https://www.youtube.com/watch?v=yTm0UzkS5Ho","24.19.10","[none]","15173290","274015","178","https://i.ytimg.com/vi/yTm0UzkS5Ho/default.jpg","False","False","","2013-03-02T19:04:09Z","27000000","3114","🛑CLIQUE NA PALAVRA INSCREVER-SE 🛑Dudu Moura e sua namorada Carol Moura fazem vídeos de desafios, miniatura, 24 horas e muito mais!!Venham se divertir bastante com nós.Todos os vídeos a partir de 2024 passam por aprovação de 4 pedagogos antes da publicação! INSCREVA-SE NO DUDU e CAROLDeus 💚","https://yt3.ggpht.com/J0LugXeHigVBnfRcqKQa39cox1FMUkMnMUh0w86DcZwGhFqRVeNkhOcSbiiA_QT5RuhMGC6d4w=s88-c-k-c0x00ffffff-no-rj","BR","13245282551","N/A","https://www.youtube.com/channel/UC371icpvZj2oQaocL0i9L-g"
