ID,Data_de_criacao
UCG90vRbG7aMXu0nD0DQ2wFA,2016-05-26
UCxc3marqP9BJSkQ0_K4mqDg,2014-02-14
UC3EPFEI1TdOtPdDPS1nRt2w,2019-02-15
UCfLTxnQboSLcoSakgONmukQ,2009-06-27
UCF_fDSgPpBQuh1MsUTgIARQ,2011-07-13
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UCH7vP1JyEwTy-D-ikZUoCww,2023-01-24
UC63iwP6BtIjxB6xn1GKR6Lw,2015-01-30
UC2bYhAHyaqfWlPXWBVk4BcA,2012-11-07
UCIXguhHCl8eDTkXpEuiGPUA,2012-08-30
UCc1l5mTmAv2GC_PXrBpqyKQ,2014-07-09
UChBtPExX9RjCdmpAizK7ccQ,2021-07-21
UC_oToDrJ6uca7d1dFVBmLtg,2019-02-28
UCAnCxJ1Weh2pUAKJW0bro0Q,2020-04-20
UCqifkpdmE1z3VhfQoJzwpJQ,2011-08-02
UCYC7HG92sGQjkcMrs8F4wBA,2014-04-18
UCAnCxJ1Weh2pUAKJW0bro0Q,2020-04-20
UCurpiDXSkcUbgdMwHNZkrCg,2006-01-30
UCeOFd6of3vk5xxnnz2aZxyQ,2011-02-28
UCKnMcgDLxDeq9HqUgLhtYbQ,2013-11-14
UC63iwP6BtIjxB6xn1GKR6Lw,2015-01-30
UCOPi8iWwV6BkL-boz69eJ5g,2017-12-21
UCOgK2xOEXxCr6GnvRyXejqw,2017-12-17
UCukwGwBD-pAbGzoJo6ZXPtQ,2017-04-29
UC2bYhAHyaqfWlPXWBVk4BcA,2012-11-07
UCcHR0RvLYk33ppkjBw3UaEA,2014-09-17
UCFgDfnoYhWM48p072kjJ8zQ,2006-05-02
UCj9R9rOhl81fhnKxBpwJ-yw,2020-09-20
UClYV6hHlupm_S_ObS1W-DYw,2013-08-17
UC6yW44UGJJBvYTlfC7CRg2Q,2017-12-19
UCbtlMIfdRVxPXZ1nI8NBN2A,2019-05-16
UCeU5qTuBiqTU5z-hyL6WITQ,2012-07-17
UC07Kxew-cMIaykMOkzqHtBQ,2009-05-12
UCiQ7Ll2Gsb5eQhgQQhZ2lGQ,2016-07-21
UC--FL6OwLFWGIZfLfazY4yA,2014-08-06
UCDyQyOvX2LjWoOqNue4Vyrw,2016-08-11
UCEg25rdRZXg32iwai6N6l0w,2011-09-30
UCgCKagVhzGnZcuP9bSMgMCg,2020-08-04
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UC8gWf3nGUdGhp_fNUBOrCtA,2021-02-18
UCFJvAGjel1N2QWyOu50pNeQ,2020-09-03
UCoUM-UJ7rirJYP8CQ0EIaHA,2006-09-19
