Channel_ID,Palavra_Chave,Trending_Date
UCG90vRbG7aMXu0nD0DQ2wFA,MC,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,Luuky,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,Desacato,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,Te,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,Levei,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,pro,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,Beco,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,Vou,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,passar,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,gelinho,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,no,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,seu,2024-11-01
UCG90vRbG7aMXu0nD0DQ2wFA,corpo,2024-11-01
UCxc3marqP9BJSkQ0_K4mqDg,,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,Nathanzinho,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,Jonas,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,Esticado,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,Avine,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,Vinny,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,Forró,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,natan,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,nattan,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,xand,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,wesley,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,piseiro,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,ze,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,vaqueiro,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,tarcisio,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,nao,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,te,2024-11-01
UC3EPFEI1TdOtPdDPS1nRt2w,quero,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,Henrique,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,&,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,Juliano,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,Não,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,tô,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,valendo,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,nada,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,Recaídas,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,Meu,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,nome,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,é,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,solidão,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,Toda,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,vez,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,que,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,eu,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,te,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,beijar,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,Eu,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,sou,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,gordinho,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,liberdade,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,provisória,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,música,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,sertaneja,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,volta,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,por,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,baixo,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,briga,2024-11-01
UCfLTxnQboSLcoSakgONmukQ,feia,2024-11-01
UCF_fDSgPpBQuh1MsUTgIARQ,vevo,2024-11-01
UCF_fDSgPpBQuh1MsUTgIARQ,music,2024-11-01
UCF_fDSgPpBQuh1MsUTgIARQ,video,2024-11-01
UCF_fDSgPpBQuh1MsUTgIARQ,official,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,YG,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,Entertainment,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,YG,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,와이지,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,K-pop,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,베이비몬스터,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,베몬,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,하람,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,아현,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,치키타,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,아사,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,로라,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,루카,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,HARAM,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,AHYEON,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,CHIQUITA,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,ASA,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,RORA,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,RUKA,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,PHARITA,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,파리타,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,RAMI,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,라미,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Simone,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Mendes,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Simone,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Simone,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,e,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Simaria,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Coleguinhas,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,sertanejo,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,musica,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Maiara,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,e,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Maraisa,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Marilia,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Marilia,2024-11-01
UCH7vP1JyEwTy-D-ikZUoCww,Mendonca,2024-11-01
UC63iwP6BtIjxB6xn1GKR6Lw,,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,pegadinha,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,troll,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,Enaldinho,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,desafios,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,desafio,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,Enaldo,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,vlog,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,vlogs,2024-11-01
UC2bYhAHyaqfWlPXWBVk4BcA,comedia,2024-11-01
UCIXguhHCl8eDTkXpEuiGPUA,jazzghost,2024-11-01
UCIXguhHCl8eDTkXpEuiGPUA,jazzghost,2024-11-01
UCIXguhHCl8eDTkXpEuiGPUA,1,2024-11-01
UCIXguhHCl8eDTkXpEuiGPUA,twitter.com/Jazzghost1,2024-11-01
UCIXguhHCl8eDTkXpEuiGPUA,jazz,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,filmes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,melhores,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,filmes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,netflix,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,o,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,que,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,assistir,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,na,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,netflix,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,séries,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,netflix,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,melhores,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,séries,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,séries,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,dubladas,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,novidades,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,netflix,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,estréias,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,netflix,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,filmes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,dublados,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,filmes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,engraçados,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,filmes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,de,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,drama,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,filmes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,de,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,romance,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,séries,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,teen,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,famosos,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,fofoca,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,meme,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,viral,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,recomendações,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,o,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,que,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,assistir,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,filmes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,2023,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,séries,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,2023,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,terror,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,atores,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,curiosidades,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,bastidores,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,erros,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,de,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,gravação,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,anime,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,animes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,k-drama,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,dorama,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,documentários,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,trailers,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,trailer,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,doc,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,true,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,crime,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,crimes,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,reais,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,assistir,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,em,2024-11-01
UCc1l5mTmAv2GC_PXrBpqyKQ,familia,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,riqueza,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,em,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,dias,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,carol,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,dias,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,andre,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,dias,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,mestre,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,da,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,riqueza,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,riqueza,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,em,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,dias,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,carol,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,dias,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,irmãosdiaspodcast,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,investimento,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,podcast,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,bolsa,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,de,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,valores,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,ações,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,mercado,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,financeiro,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,finanças,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,investir,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,ações,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,fundos,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,imobiliários,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,day,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,trade,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,swing,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,trade,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,buy,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,and,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,hold,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,position,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,melhores,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,ações,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,da,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,bolsa,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,podcast,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,irmãos,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,dias,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,primo,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,rico,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,os,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,sócios,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,melhores,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,ações,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,da,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,bolsa,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,top,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,fiis,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,melhores,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,fundos,2024-11-01
UChBtPExX9RjCdmpAizK7ccQ,imobiliários,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,goat,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,canal,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,goat,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,futebol,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,ao,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,vivo,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,transmissões,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,de,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,futebol,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,bundesliga,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,liga,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,saudita,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,brasileirão,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,brasileirão,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,série,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,b,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,libertadores,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,feminina,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,nwsl,2024-11-01
UC_oToDrJ6uca7d1dFVBmLtg,ufc,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,paramount,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,paramount,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,plus,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,streaming,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,netflix,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,prime,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,video,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,hbomax,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,filme,2024-11-01
UCAnCxJ1Weh2pUAKJW0bro0Q,séries,2024-11-01
