Video_ID,Tag,Video_Snapshot_Data
vyIc6LbHzQs,MC Luuky,2024-11-01
vyIc6LbHzQs,Malvadinho,2024-11-01
vyIc6LbHzQs,Bia Miranda,2024-11-01
q8-2XckflhY,futebol,2024-11-01
q8-2XckflhY,corinthians,2024-11-01
q8-2XckflhY,racing,2024-11-01
q8-2XckflhY,corinthians x racing,2024-11-01
q8-2XckflhY,racing x corinthians,2024-11-01
q8-2XckflhY,sulamericana,2024-11-01
q8-2XckflhY,sbt,2024-11-01
q8-2XckflhY,sbt sports,2024-11-01
q8-2XckflhY,melhores momentos,2024-11-01
q8-2XckflhY,sudamericana,2024-11-01
q8-2XckflhY,copa sulamericana,2024-11-01
q8-2XckflhY,copa sudamericana,2024-11-01
N9WB3dq4cGE,[none],2024-11-01
aR-V1qi_W_M,Henrique & Juliano,2024-11-01
aR-V1qi_W_M,henrique e juliano,2024-11-01
aR-V1qi_W_M,nova música de henrique e juliano,2024-11-01
aR-V1qi_W_M,culpados,2024-11-01
aR-V1qi_W_M,dvd manifesto musical,2024-11-01
aR-V1qi_W_M,arranhão,2024-11-01
aR-V1qi_W_M,a maior saudade,2024-11-01
aR-V1qi_W_M,coração de rua,2024-11-01
aR-V1qi_W_M,universo conspirou,2024-11-01
aR-V1qi_W_M,chá de casa nova,2024-11-01
aR-V1qi_W_M,de garrafa a pior,2024-11-01
aR-V1qi_W_M,acordo,2024-11-01
aR-V1qi_W_M,gaiola,2024-11-01
aR-V1qi_W_M,até a próxima vida,2024-11-01
aR-V1qi_W_M,rasteira,2024-11-01
aR-V1qi_W_M,deixa eu sofrer,2024-11-01
aR-V1qi_W_M,seu perfil,2024-11-01
aR-V1qi_W_M,ficamento,2024-11-01
aR-V1qi_W_M,Espera Eu,2024-11-01
aR-V1qi_W_M,Chá de Casa Nova,2024-11-01
aR-V1qi_W_M,Gaiola,2024-11-01
aR-V1qi_W_M,Desgastou,2024-11-01
aR-V1qi_W_M,Evento Cancelado,2024-11-01
aR-V1qi_W_M,Deixa Eu Sofrer,2024-11-01
aR-V1qi_W_M,Seu Perfil,2024-11-01
aR-V1qi_W_M,Universo Conspirou,2024-11-01
aR-V1qi_W_M,Eu Me Trai,2024-11-01
aR-V1qi_W_M,Acordo,2024-11-01
aR-V1qi_W_M,Minha Copia Atual,2024-11-01
aR-V1qi_W_M,Sentimentalmente Esperto,2024-11-01
aR-V1qi_W_M,Ficamento,2024-11-01
2kjolTLZ_Mg,The Weeknd,2024-11-01
