Pais_Codigo,Video_ID,Video_Snapshot_Data
BR,vyIc6LbHzQs,2024-11-01
BR,q8-2XckflhY,2024-11-01
BR,N9WB3dq4cGE,2024-11-01
BR,aR-V1qi_W_M,2024-11-01
BR,2kjolTLZ_Mg,2024-11-01
BR,Zp-Jhuhq0bQ,2024-11-01
BR,PhMK6OJvueI,2024-11-01
BR,1IDYGRW_TMQ,2024-11-01
BR,85rz_4kxfEo,2024-11-01
BR,yt5XrQkqUdw,2024-11-01
BR,dtXsgpZOUkg,2024-11-01
BR,pQFlG0NtV0o,2024-11-01
BR,cX6VBIHNw9A,2024-11-01
BR,-DHCe8baaF0,2024-11-01
BR,KdfSPXzx2r4,2024-11-01
BR,qcD78WCsd3g,2024-11-01
BR,jMEZtkv6aDA,2024-11-01
BR,XpSdD63j7Y4,2024-11-01
BR,4AkzOvKL4PE,2024-11-01
BR,P6ONMS24-aQ,2024-11-01
BR,lpHB612JTk0,2024-11-01
BR,qTedAXaQBN0,2024-11-01
BR,YPLSlSd6ZTk,2024-11-01
BR,PRbdLfjaeaU,2024-11-01
BR,lTImcf5_Obc,2024-11-01
BR,GmdEeJjyBTo,2024-11-01
BR,4eCtiZHrmGE,2024-11-01
BR,k7aLNa2gwIE,2024-11-01
BR,queBWT_e10o,2024-11-01
BR,BvpEAfTN7fk,2024-11-01
BR,u1i2tbObVXg,2024-11-01
BR,NMjhjrBIrG8,2024-11-01
BR,fmC6b6_ovZY,2024-11-01
BR,u4O_Z3Bwn94,2024-11-01
BR,PZ8bv13kW_c,2024-11-01
BR,w7BQspF3ISc,2024-11-01
BR,MKXvSe4vv-w,2024-11-01
BR,5lVnCNrAzL8,2024-11-01
BR,o0oW3lPoOXM,2024-11-01
BR,waPjwhbbBAU,2024-11-01
BR,BjJEZFO-jtU,2024-11-01
BR,fnPxkuFIA48,2024-11-01
BR,TObPz1cE4jM,2024-11-01
BR,lBhawWA-n4Q,2024-11-01
BR,DKHmWjjqNGs,2024-11-01
BR,6ub3y70MgTs,2024-11-01
BR,llULjCaW6AI,2024-11-01
BR,-jgl7oudyQk,2024-11-01
BR,xAoCV5GSpB8,2024-11-01
BR,6VZHMqj2GZI,2024-11-01
BR,qSMew7v0BbM,2024-11-01
BR,NI8XNfpvZe4,2024-11-01
BR,hAqN9CZgE_s,2024-11-01
BR,4MLsxabyChg,2024-11-01
BR,Yl-owCXHxdw,2024-11-01
BR,3w6QCKXsu0Y,2024-11-01
BR,EpM0WQM0dz4,2024-11-01
