ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
vyIc6LbHzQs,UCG90vRbG7aMXu0nD0DQ2wFA,2024-11-01,22
q8-2XckflhY,UCxc3marqP9BJSkQ0_K4mqDg,2024-11-01,17
N9WB3dq4cGE,UC3EPFEI1TdOtPdDPS1nRt2w,2024-11-01,10
aR-V1qi_W_M,UCfLTxnQboSLcoSakgONmukQ,2024-11-01,10
2kjolTLZ_Mg,UCF_fDSgPpBQuh1MsUTgIARQ,2024-10-31,10
Zp-Jhuhq0bQ,UCqwUnggBBct-AY2lAdI88jQ,2024-11-01,22
PhMK6OJvueI,UCH7vP1JyEwTy-D-ikZUoCww,2024-11-01,10
1IDYGRW_TMQ,UC63iwP6BtIjxB6xn1GKR6Lw,2024-11-01,28
85rz_4kxfEo,UC2bYhAHyaqfWlPXWBVk4BcA,2024-11-01,24
yt5XrQkqUdw,UCIXguhHCl8eDTkXpEuiGPUA,2024-11-01,20
dtXsgpZOUkg,UCc1l5mTmAv2GC_PXrBpqyKQ,2024-10-31,20
pQFlG0NtV0o,UChBtPExX9RjCdmpAizK7ccQ,2024-10-31,22
cX6VBIHNw9A,UC_oToDrJ6uca7d1dFVBmLtg,2024-10-31,17
-DHCe8baaF0,UCAnCxJ1Weh2pUAKJW0bro0Q,2024-10-31,24
KdfSPXzx2r4,UCqifkpdmE1z3VhfQoJzwpJQ,2024-10-31,17
qcD78WCsd3g,UCYC7HG92sGQjkcMrs8F4wBA,2024-10-31,24
jMEZtkv6aDA,UCAnCxJ1Weh2pUAKJW0bro0Q,2024-10-31,24
XpSdD63j7Y4,UCurpiDXSkcUbgdMwHNZkrCg,2024-11-01,10
4AkzOvKL4PE,UCeOFd6of3vk5xxnnz2aZxyQ,2024-10-31,24
P6ONMS24-aQ,UCKnMcgDLxDeq9HqUgLhtYbQ,2024-10-31,22
lpHB612JTk0,UC63iwP6BtIjxB6xn1GKR6Lw,2024-10-31,28
qTedAXaQBN0,UCOPi8iWwV6BkL-boz69eJ5g,2024-10-31,20
YPLSlSd6ZTk,UCOgK2xOEXxCr6GnvRyXejqw,2024-10-31,10
PRbdLfjaeaU,UCukwGwBD-pAbGzoJo6ZXPtQ,2024-10-30,20
lTImcf5_Obc,UC2bYhAHyaqfWlPXWBVk4BcA,2024-10-31,24
GmdEeJjyBTo,UCcHR0RvLYk33ppkjBw3UaEA,2024-10-30,24
4eCtiZHrmGE,UCFgDfnoYhWM48p072kjJ8zQ,2024-10-31,24
k7aLNa2gwIE,UCj9R9rOhl81fhnKxBpwJ-yw,2024-10-31,24
queBWT_e10o,UClYV6hHlupm_S_ObS1W-DYw,2024-10-31,10
BvpEAfTN7fk,UC6yW44UGJJBvYTlfC7CRg2Q,2024-10-31,17
u1i2tbObVXg,UCbtlMIfdRVxPXZ1nI8NBN2A,2024-10-30,24
NMjhjrBIrG8,UCeU5qTuBiqTU5z-hyL6WITQ,2024-10-31,22
fmC6b6_ovZY,UC07Kxew-cMIaykMOkzqHtBQ,2024-10-30,10
u4O_Z3Bwn94,UCiQ7Ll2Gsb5eQhgQQhZ2lGQ,2024-10-30,17
PZ8bv13kW_c,UC--FL6OwLFWGIZfLfazY4yA,2024-10-30,24
w7BQspF3ISc,UCDyQyOvX2LjWoOqNue4Vyrw,2024-10-30,10
MKXvSe4vv-w,UCEg25rdRZXg32iwai6N6l0w,2024-10-31,17
5lVnCNrAzL8,UCgCKagVhzGnZcuP9bSMgMCg,2024-10-31,17
o0oW3lPoOXM,UCqwUnggBBct-AY2lAdI88jQ,2024-10-30,22
waPjwhbbBAU,UC8gWf3nGUdGhp_fNUBOrCtA,2024-10-31,22
