ID,Data_de_criacao
UCWeg2Pkate69NFdBeuRFTAw,2011-01-09
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UCO6K_kkdP-lnSCiO3tPx7WA,2006-09-18
UC7n1N9L_9RKpJQLGhGVWPlg,2013-02-13
UCSx2kcfRgmDovMzbw3lfmAA,2016-02-05
UCXqnG7hbmGYDqC1iTNkVdew,2018-09-20
UCeBu6AFsaPVElhFzlj5hetg,2018-05-09
UCroNr00O68n25IqSNapMK8w,2014-08-11
UCurpiDXSkcUbgdMwHNZkrCg,2006-01-30
UCyJR3e7OkWFfAnwitHC5nvQ,2018-07-04
UC8bXAHcitOUnxe7cFg6Curg,2018-06-01
UClm72v5Y5C9KHGs-PTDmCGw,2021-10-30
UCcMGbm0EYWh1SZZ8MsM75tw,2021-10-11
UCKUU4rrmSgmxjoomVb0nzzQ,2011-08-31
UCF_fDSgPpBQuh1MsUTgIARQ,2011-07-13
UCWJ2lWNubArHWmf3FIHbfcQ,2005-11-21
UCRm-DLbhzojKd10edotYxMg,2014-02-03
UC4peNo-31r7fhQZgu0_JRIA,2006-07-05
UCdyzLcSvVCKsHFS_TTSa0Gg,2015-06-10
UCKJ7cmBniTdqzwyeQLOk6ow,2018-03-02
UCeU5qTuBiqTU5z-hyL6WITQ,2012-07-17
UCooVYzDxdwTtGYAkcPmOgOw,2017-04-28
UCZ8kV8vuMdDLSerCIFfWnFQ,2012-08-11
UC07Kxew-cMIaykMOkzqHtBQ,2009-05-12
UC8whlOg70m2Yr3qSMjUhh0g,2021-10-14
UCo2LeYTlpLra9swD4Ye-vBg,2014-06-03
UCNiauGTV7XhkOpUAIXod4xA,2011-01-13
UCsdeZbJDhjI8vLIW27vi84w,2010-12-03
UCBrMq7wkdPWb3PxR-GUR61A,2013-01-31
UCaybrunQi8xWgPMgv1AYBHw,2011-07-17
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UCCKPoUe4nvn6H-HaoY2UM0g,2006-09-20
UCaCUq621hbDixsvUDELqMVw,2020-11-27
UCQVaKQcp4OxSg1eC6SF3NTw,2014-01-08
UCW5Ma_xnAweFIXCGOAZECAA,2020-11-16
UCwsttsWPse6KzUzUbQDGRPA,2017-01-11
UC-4M8AN08hw39nn2v91VuMQ,2010-07-11
UCJy0lX8ThZ7lCtst7JnegWQ,2009-04-10
UCbXIt5MtclbWKts5eHQsmew,2023-10-13
UC1gUvXeeznSixecbi16b8yg,2013-02-15
UC7vVhkEfw4nOGp8TyDk7RcQ,2008-07-06
UCe_huFJ0d9uhFxX74C-UkAg,2019-08-14
UCzSSwnU5MohO6vQqmMjKUyw,2018-07-27
UCoUM-UJ7rirJYP8CQ0EIaHA,2006-09-19
UCA61H4fWOMHikLcUFKyQUog,2023-08-03
UCWedHS9qKebauVIK2J7383g,2018-06-22
UCow2IGnug1l3Xazkrc5jM_Q,2016-05-24
UCaI0uXLw1aOVklVFdEsB6Yw,2016-10-06
UC3SLk50bvlivTtnFZqk-bHQ,2011-10-21
UCwDeagCMN0rTg5-r3s9AINA,2012-05-25
UCooVYzDxdwTtGYAkcPmOgOw,2017-04-28
UCpH6zd2mjaicUn4ONhRP0GQ,2016-01-14
UCgFiD33dMIEYulDhjLxcXzQ,2008-04-08
UCP4wIoy9W9WdAfVIN2sVmEw,2011-07-16
