Channel_ID,Palavra_Chave,Trending_Date
UCWeg2Pkate69NFdBeuRFTAw,Squeezie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,aMOODIEsqueezie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,SqueeZie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,amoodiesqueezie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,skouizie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,skoueezie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,sqoueezie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,aMODIEsqueezie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,aMOODIEsquezie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,Crazy,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,Commentaries,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,le,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,fou,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,squeezie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,squizie,2024-11-01
UCWeg2Pkate69NFdBeuRFTAw,squeeze,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,YG,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,Entertainment,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,YG,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,와이지,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,K-pop,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,베이비몬스터,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,베몬,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,하람,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,아현,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,치키타,2024-11-01
UCqwUnggBBct-AY2lAdI88jQ,아사,2024-11-01
