Pais_Codigo,Video_ID,Video_Snapshot_Data
FR,Acxn7x1kBok,2024-11-01
FR,Zp-Jhuhq0bQ,2024-11-01
FR,kzPaeWsbano,2024-11-01
FR,Srvt_6up-0o,2024-11-01
FR,Vkc_GxD11zU,2024-11-01
FR,xDUNrUkZbyA,2024-11-01
FR,ji2lbYIB1gI,2024-11-01
FR,IA9tD-Bo4CY,2024-11-01
FR,XpSdD63j7Y4,2024-11-01
FR,5xZXSisYqk0,2024-11-01
FR,6Vfjgm8AsaA,2024-11-01
FR,j0ihsNlYldc,2024-11-01
FR,7EBRuI9NvlY,2024-11-01
FR,WcgxodSFP6M,2024-11-01
FR,2kjolTLZ_Mg,2024-11-01
FR,HTuecCI80es,2024-11-01
FR,J0shpb9h95s,2024-11-01
FR,wXxP_nTmiXA,2024-11-01
FR,casDktujf_Y,2024-11-01
FR,apBFun_KgCY,2024-11-01
FR,NMjhjrBIrG8,2024-11-01
FR,BqPNB9Vxl_w,2024-11-01
FR,svCshubKYuc,2024-11-01
FR,fmC6b6_ovZY,2024-11-01
FR,gXCCiVqI_VQ,2024-11-01
FR,GRvM1ROSA4o,2024-11-01
FR,PufEgTAdXm8,2024-11-01
FR,FiQNpCzCW08,2024-11-01
FR,lWLp_ptADNU,2024-11-01
FR,tnBY-rCDu9A,2024-11-01
FR,o0oW3lPoOXM,2024-11-01
FR,wlqKM8jS0hM,2024-11-01
FR,Or4OJl39EjU,2024-11-01
FR,zYjPReIp61o,2024-11-01
FR,AizNfsVf9RM,2024-11-01
FR,ZOpLlT0vRxQ,2024-11-01
FR,lIoROwhuoBM,2024-11-01
FR,VN_KgZ9Cbbs,2024-11-01
FR,0NrT1R15mgI,2024-11-01
FR,WkNHWQlNvFs,2024-11-01
FR,F_7IPm7f1vI,2024-11-01
FR,etXgiD6d5RA,2024-11-01
FR,UV-QLtZC3nA,2024-11-01
FR,fnPxkuFIA48,2024-11-01
FR,pm_G1sXjUIA,2024-11-01
FR,Nj4uLGRmuok,2024-11-01
FR,dn2XZVJrpIY,2024-11-01
FR,nq1xPWDkSRo,2024-11-01
FR,-QKbH3Jd9kg,2024-11-01
FR,zyue702zZIQ,2024-11-01
FR,ZC-egC-ElAU,2024-11-01
FR,Tv16uBaDzQA,2024-11-01
FR,rMKCGIsg2D4,2024-11-01
FR,GjMEyUUul_Y,2024-11-01
FR,kGJiTw0ZMtw,2024-11-01
FR,T-vi7mNScPI,2024-11-01
FR,g6M_YHex0Wc,2024-11-01
FR,dW3LFibXOHc,2024-11-01
FR,9keP04yUXcc,2024-11-01
FR,hCcwCv3G1FQ,2024-11-01
FR,zxtShdF2dyg,2024-11-01
FR,KyEHjUXzKow,2024-11-01
FR,y8auoNALjSI,2024-11-01
FR,elLLBKQztsI,2024-11-01
FR,WGol0kWjSxU,2024-11-01
FR,eFJseauOO8A,2024-11-01
FR,MesWtDPzFLA,2024-11-01
FR,g797wzW1euU,2024-11-01
FR,1GMrpY1YAMI,2024-11-01
FR,E9cM_-apwCo,2024-11-01
FR,IjTtFzgSFys,2024-11-01
FR,EVojhWRPOOc,2024-11-01
FR,Yo0SRlDgCPs,2024-11-01
FR,t3JgvbchVYs,2024-11-01
FR,tfabFvr3JWM,2024-11-01
FR,C-2T6qBWWy8,2024-11-01
FR,IKmKJdYHDpQ,2024-11-01
FR,DIWsSpvHj8o,2024-11-01
FR,kEw-InUtcEY,2024-11-01
FR,NrUlydECU-8,2024-11-01
FR,P7uVxE_Pkw8,2024-11-01
FR,-J_w9K6DgRo,2024-11-01
FR,fe_TSWDt60I,2024-11-01
FR,9CMP22eZ8-Y,2024-11-01
FR,UjRikc_ldIQ,2024-11-01
FR,WTAzkpreixU,2024-11-01
FR,rhTZTy1rZhw,2024-11-01
FR,JjpGvjy0Gxk,2024-11-01
FR,fgtMfquOfd4,2024-11-01
FR,eaB7nCdId0Y,2024-11-01
FR,z5d94mOS0GY,2024-11-01
FR,DnsPZ5rbars,2024-11-01
FR,or8ZH-1eYkQ,2024-11-01
FR,oYKPGZq8HhI,2024-11-01
FR,t_kWOKjXHQA,2024-11-01
FR,8h3w0-Oq8bg,2024-11-01
FR,r4HrgittfLk,2024-11-01
FR,DO_iGu_U9xo,2024-11-01
FR,FAb129MWhlk,2024-11-01
FR,duKteIE_4Ws,2024-11-01
FR,vxKUsQAtPs8,2024-11-01
FR,aGfUgLfqoxA,2024-11-01
FR,myyI6lkAoRI,2024-11-01
FR,Sih0v01Wbek,2024-11-01
FR,Pq5-CalOnkc,2024-11-01
FR,4Dr7HljrsoQ,2024-11-01
FR,fSHoePrnmMw,2024-11-01
FR,y38qQRg3UDI,2024-11-01
FR,Z4-g8UXa944,2024-11-01
FR,yOA9DlhceMQ,2024-11-01
FR,K4fO-fBajD4,2024-11-01
FR,Ddunvi2p1Eg,2024-11-01
FR,PWjZ3p1jNho,2024-11-01
FR,patziz3cNf0,2024-11-01
FR,gkwKrIlc9bQ,2024-11-01
FR,YTMaEM54ijw,2024-11-01
FR,lhxTqkSglaM,2024-11-01
FR,wJIVRImbyXs,2024-11-01
FR,ZlSkIALzNbI,2024-11-01
FR,uKmaGTWmDA4,2024-11-01
FR,niIDy2QSNCI,2024-11-01
FR,_ipN0XWS60E,2024-11-01
FR,8Ebqe2Dbzls,2024-11-01
FR,qLPih0ITYKE,2024-11-01
FR,WvHRn0djiAM,2024-11-01
FR,3PBseakOe0U,2024-11-01
FR,Qt6YiVZLhG0,2024-11-01
FR,wN3fd2LU6o8,2024-11-01
FR,GrNDD4KTxdw,2024-11-01
FR,XrrtNX7bbTI,2024-11-01
FR,A-hbsWHzfFg,2024-11-01
FR,QxTkZTLWdo4,2024-11-01
FR,xwOWwRYKHN4,2024-11-01
FR,sRszduw0my4,2024-11-01
FR,LrmveoIa4fg,2024-11-01
FR,lHADwiOD6k8,2024-11-01
FR,E6o55fxt9d8,2024-11-01
FR,ZP6NC42BhB0,2024-11-01
FR,x0pMItRPeMY,2024-11-01
FR,ODdSozhYF2Q,2024-11-01
FR,6WcuiubcgQ4,2024-11-01
FR,0z7JOpQpPA4,2024-11-01
FR,SFddctbZzw8,2024-11-01
FR,-WedmH_lCOw,2024-11-01
FR,5c0_u9PsrsQ,2024-11-01
FR,KVMJcccae0o,2024-11-01
FR,JYKvkvo88pg,2024-11-01
FR,-geHvVb_tJc,2024-11-01
FR,EBdQgDpXlMs,2024-11-01
FR,lhUMf-sKqrQ,2024-11-01
FR,1zKn_NtWO-8,2024-11-01
FR,uSezIBAqaL0,2024-11-01
FR,wR2g1gU1JUg,2024-11-01
FR,0qtoLnp_p7o,2024-11-01
FR,7Pl4rvZ9amc,2024-11-01
FR,qEGMVHsi92I,2024-11-01
FR,j2I7z5orb44,2024-11-01
FR,k46nIQXg6nw,2024-11-01
FR,gJC3MtgBm54,2024-11-01
FR,ISh12Nt0RsY,2024-11-01
FR,x7JnA8ssuqY,2024-11-01
FR,BzM5TvAVREk,2024-11-01
FR,IRnE4_3UJms,2024-11-01
FR,jWQx2f-CErU,2024-11-01
FR,ahy0AO8WwRc,2024-11-01
FR,Qer3lwd5hyA,2024-11-01
FR,MzBUdvXdzWw,2024-11-01
FR,7MqmF3AzOo8,2024-11-01
FR,6vQHRCcq3iQ,2024-11-01
FR,AdCEdFUz_dk,2024-11-01
FR,56VkXZlLgvw,2024-11-01
FR,fMO_oG62ICI,2024-11-01
FR,tbDGl7jEazA,2024-11-01
FR,ghh-28ln-z4,2024-11-01
FR,tyJB96JJXYo,2024-11-01
FR,qkvZChA6Mxw,2024-11-01
FR,gw7ObeO1yrI,2024-11-01
FR,wapVCBBcCiM,2024-11-01
FR,AbQl0hVllqs,2024-11-01
FR,VVSUonMRY04,2024-11-01
FR,dcTAk9ASfIk,2024-11-01
FR,BcRhsGEUj5o,2024-11-01
FR,Yh9taP4tlTI,2024-11-01
FR,Wlyw-uSL8Qk,2024-11-01
FR,U-r_OMYhjro,2024-11-01
FR,l-u1IFbSu38,2024-11-01
FR,4FdSbK0GocE,2024-11-01
FR,CHqnF_hZj08,2024-11-01
FR,ekr2nIex040,2024-11-01
FR,vcTV5EVeVrc,2024-11-01
FR,iPUwktBQlnM,2024-11-01
FR,dL6LM4DyzU8,2024-11-01
FR,425q-YPQ5sI,2024-11-01
FR,hY0__Ixl1bY,2024-11-01
FR,tTxepK-wJXk,2024-11-01
FR,GM_4maq0BAA,2024-11-01
FR,0zl6YXiI8hQ,2024-11-01
FR,bkTHScT2vLk,2024-11-01
FR,UbuzEuf73pg,2024-11-01
FR,sEkyjvFnH9M,2024-11-01
