ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
Acxn7x1kBok,UCWeg2Pkate69NFdBeuRFTAw,2024-10-31,24
Zp-Jhuhq0bQ,UCqwUnggBBct-AY2lAdI88jQ,2024-11-01,22
kzPaeWsbano,UCO6K_kkdP-lnSCiO3tPx7WA,2024-10-31,24
Srvt_6up-0o,UC7n1N9L_9RKpJQLGhGVWPlg,2024-10-31,10
Vkc_GxD11zU,UCSx2kcfRgmDovMzbw3lfmAA,2024-10-31,10
xDUNrUkZbyA,UCXqnG7hbmGYDqC1iTNkVdew,2024-10-31,22
ji2lbYIB1gI,UCeBu6AFsaPVElhFzlj5hetg,2024-10-30,10
IA9tD-Bo4CY,UCroNr00O68n25IqSNapMK8w,2024-10-31,24
XpSdD63j7Y4,UCurpiDXSkcUbgdMwHNZkrCg,2024-11-01,10
5xZXSisYqk0,UCyJR3e7OkWFfAnwitHC5nvQ,2024-10-31,24
6Vfjgm8AsaA,UC8bXAHcitOUnxe7cFg6Curg,2024-10-31,10
j0ihsNlYldc,UClm72v5Y5C9KHGs-PTDmCGw,2024-10-30,24
7EBRuI9NvlY,UCcMGbm0EYWh1SZZ8MsM75tw,2024-11-01,17
WcgxodSFP6M,UCKUU4rrmSgmxjoomVb0nzzQ,2024-10-31,10
2kjolTLZ_Mg,UCF_fDSgPpBQuh1MsUTgIARQ,2024-10-31,10
HTuecCI80es,UCWJ2lWNubArHWmf3FIHbfcQ,2024-11-01,17
J0shpb9h95s,UCRm-DLbhzojKd10edotYxMg,2024-10-31,17
wXxP_nTmiXA,UC4peNo-31r7fhQZgu0_JRIA,2024-10-30,20
casDktujf_Y,UCdyzLcSvVCKsHFS_TTSa0Gg,2024-10-30,24
apBFun_KgCY,UCKJ7cmBniTdqzwyeQLOk6ow,2024-10-30,17
NMjhjrBIrG8,UCeU5qTuBiqTU5z-hyL6WITQ,2024-10-31,22
BqPNB9Vxl_w,UCooVYzDxdwTtGYAkcPmOgOw,2024-10-30,20
svCshubKYuc,UCZ8kV8vuMdDLSerCIFfWnFQ,2024-10-29,23
fmC6b6_ovZY,UC07Kxew-cMIaykMOkzqHtBQ,2024-10-30,10
gXCCiVqI_VQ,UC8whlOg70m2Yr3qSMjUhh0g,2024-11-01,24
GRvM1ROSA4o,UCo2LeYTlpLra9swD4Ye-vBg,2024-10-30,2
PufEgTAdXm8,UCNiauGTV7XhkOpUAIXod4xA,2024-10-30,28
FiQNpCzCW08,UCsdeZbJDhjI8vLIW27vi84w,2024-10-30,10
lWLp_ptADNU,UCBrMq7wkdPWb3PxR-GUR61A,2024-10-31,20
tnBY-rCDu9A,UCaybrunQi8xWgPMgv1AYBHw,2024-10-31,28
o0oW3lPoOXM,UCqwUnggBBct-AY2lAdI88jQ,2024-10-30,22
wlqKM8jS0hM,UCCKPoUe4nvn6H-HaoY2UM0g,2024-10-30,1
Or4OJl39EjU,UCaCUq621hbDixsvUDELqMVw,2024-10-30,24
zYjPReIp61o,UCQVaKQcp4OxSg1eC6SF3NTw,2024-10-28,24
AizNfsVf9RM,UCW5Ma_xnAweFIXCGOAZECAA,2024-10-30,24
ZOpLlT0vRxQ,UCwsttsWPse6KzUzUbQDGRPA,2024-10-28,24
lIoROwhuoBM,UC-4M8AN08hw39nn2v91VuMQ,2024-10-29,24
VN_KgZ9Cbbs,UCJy0lX8ThZ7lCtst7JnegWQ,2024-10-30,28
0NrT1R15mgI,UCbXIt5MtclbWKts5eHQsmew,2024-10-30,20
WkNHWQlNvFs,UC1gUvXeeznSixecbi16b8yg,2024-10-30,10
F_7IPm7f1vI,UC7vVhkEfw4nOGp8TyDk7RcQ,2024-10-30,28
etXgiD6d5RA,UCe_huFJ0d9uhFxX74C-UkAg,2024-10-30,22
UV-QLtZC3nA,UCzSSwnU5MohO6vQqmMjKUyw,2024-10-28,17
fnPxkuFIA48,UCoUM-UJ7rirJYP8CQ0EIaHA,2024-10-30,10
pm_G1sXjUIA,UCA61H4fWOMHikLcUFKyQUog,2024-10-30,10
Nj4uLGRmuok,UCWedHS9qKebauVIK2J7383g,2024-10-29,28
dn2XZVJrpIY,UCow2IGnug1l3Xazkrc5jM_Q,2024-10-27,24
nq1xPWDkSRo,UCaI0uXLw1aOVklVFdEsB6Yw,2024-10-30,24
-QKbH3Jd9kg,UC3SLk50bvlivTtnFZqk-bHQ,2024-10-29,20
zyue702zZIQ,UCwDeagCMN0rTg5-r3s9AINA,2024-10-29,20
ZC-egC-ElAU,UCooVYzDxdwTtGYAkcPmOgOw,2024-10-28,20
Tv16uBaDzQA,UCpH6zd2mjaicUn4ONhRP0GQ,2024-10-28,17
rMKCGIsg2D4,UCgFiD33dMIEYulDhjLxcXzQ,2024-10-28,15
GjMEyUUul_Y,UCP4wIoy9W9WdAfVIN2sVmEw,2024-10-28,20
kGJiTw0ZMtw,UCfj4kQ6_mYO5r4hzX5KloVw,2024-10-26,17
T-vi7mNScPI,UCEWPsAL5QOfk5f-aoN2CLtA,2024-10-28,17
g6M_YHex0Wc,UCUo1RqYV8tGjV38sQ8S5p9A,2024-10-27,25
dW3LFibXOHc,UCxfusAsd_n5AMFheiipyaCw,2024-10-28,17
9keP04yUXcc,UCPGUfCravJ90MlO9SC_fnAA,2024-10-27,24
hCcwCv3G1FQ,UCo1DYcm1IZ9v3UPkpiAcgtg,2024-10-28,10
zxtShdF2dyg,UCHmMvgJsdYk-WBh-SePzmLA,2024-10-27,23
KyEHjUXzKow,UCw4P5lkVorlEfkuWiqbWRnA,2024-10-28,20
y8auoNALjSI,UCgvqvBoSHB1ctlyyhoHrGwQ,2024-10-27,23
elLLBKQztsI,UCt9a_qP9CqHCNwilf-iULag,2024-10-27,17
WGol0kWjSxU,UCzSSwnU5MohO6vQqmMjKUyw,2024-10-27,17
eFJseauOO8A,UCNPdmQb1CkYd-02btbdA79g,2024-10-28,20
MesWtDPzFLA,UCBJeMCIeLQos7wacox4hmLQ,2024-10-27,17
g797wzW1euU,UCGWoTWsXJi1UtCjOiBHIsfw,2024-10-27,24
1GMrpY1YAMI,UCzSSwnU5MohO6vQqmMjKUyw,2024-10-29,17
E9cM_-apwCo,UCrSVu3ryGNObwCFoOGU8lHg,2024-10-27,24
IjTtFzgSFys,UCPhdTwqLwVBsMT8oT8PqcPg,2024-10-27,26
EVojhWRPOOc,UCocikWsRAudLmjf61hWhyAw,2024-10-27,17
Yo0SRlDgCPs,UCzpz2sUuvZ6VtkfHPSI0REQ,2024-10-25,24
t3JgvbchVYs,UCR5V8BTvlkyYtw6T_9swNEw,2024-10-26,17
tfabFvr3JWM,UCAob8zewTfHD0lanWeEQxjA,2024-10-26,22
C-2T6qBWWy8,UCpRec0XiokU9S7rnRQmheLA,2024-10-28,17
IKmKJdYHDpQ,UCcMGbm0EYWh1SZZ8MsM75tw,2024-10-27,17
DIWsSpvHj8o,UCooVYzDxdwTtGYAkcPmOgOw,2024-10-26,20
kEw-InUtcEY,UCY-_QmcW09PHAImgVnKxU2g,2024-10-28,20
NrUlydECU-8,UCaO6TYtlC8U5ttz62hTrZgg,2024-10-27,10
P7uVxE_Pkw8,UCDZHK9n4F8GUEER0m9JYV5w,2024-10-25,10
-J_w9K6DgRo,UCaO6TYtlC8U5ttz62hTrZgg,2024-10-27,10
fe_TSWDt60I,UCrrVKLxGCyqw55s6FWYbTVQ,2024-10-26,24
9CMP22eZ8-Y,UCuIlu5oGIj1RzHOYmeSV5Eg,2024-10-27,22
UjRikc_ldIQ,UCsSsgPaZ2GSmO6il8Cb5iGA,2024-10-26,24
WTAzkpreixU,UCLzhly43KD3s9fdh7Se5p_g,2024-10-29,20
rhTZTy1rZhw,UC2t5bjwHdUX4vM2g8TRDq5g,2024-10-26,20
JjpGvjy0Gxk,UCE_M8A5yxnLfW0KghEeajjw,2024-10-29,28
fgtMfquOfd4,UCRb7vV9FQg8We3yo2XZGB6g,2024-10-25,20
eaB7nCdId0Y,UCE_M8A5yxnLfW0KghEeajjw,2024-10-28,28
z5d94mOS0GY,UC7n1N9L_9RKpJQLGhGVWPlg,2024-10-24,10
DnsPZ5rbars,UCEWPsAL5QOfk5f-aoN2CLtA,2024-10-26,17
or8ZH-1eYkQ,UC8ggH3zU61XO0nMskSQwZdA,2024-10-27,17
oYKPGZq8HhI,UCWJ2lWNubArHWmf3FIHbfcQ,2024-10-27,17
t_kWOKjXHQA,UCB_qr75-ydFVKSF9Dmo6izg,2024-10-26,17
8h3w0-Oq8bg,UCuqr0DrDS998pTPtJWPmP0w,2024-10-25,24
r4HrgittfLk,UCsadXomBhBQQxA1IL9zauNA,2024-10-26,17
DO_iGu_U9xo,UCXqV4yoyC_mmZye6VbKFPeQ,2024-10-26,20
FAb129MWhlk,UCeBu6AFsaPVElhFzlj5hetg,2024-10-26,10
duKteIE_4Ws,UChV2oq_a-UZfJF-UiW0u-DQ,2024-10-25,23
vxKUsQAtPs8,UCNGq4mP3Ds5OUGjPo8IJOcw,2024-10-26,24
aGfUgLfqoxA,UCvebOuGWNvuUpZBzpV_Bc9Q,2024-10-25,10
myyI6lkAoRI,UCBNTNHPngOpC-yeC8VpAPJQ,2024-10-24,10
Sih0v01Wbek,UC07Kxew-cMIaykMOkzqHtBQ,2024-10-25,10
Pq5-CalOnkc,UCWQ8XdwaHNDxs9kWoTH9O5A,2024-10-25,24
4Dr7HljrsoQ,UCch9Dmg5Juwp8MZGvAmAp4Q,2024-10-25,1
fSHoePrnmMw,UCZU9T1ceaOgwfLRq7OKFU4Q,2024-10-24,10
y38qQRg3UDI,UC4eYXhJI4-7wSWc8UNRwD4A,2024-10-25,10
Z4-g8UXa944,UCcEJwxURVimfFFhBFSfgpQw,2024-10-25,10
yOA9DlhceMQ,UCUDt3EVrl6HszRHrBZN4Vcw,2024-10-24,10
K4fO-fBajD4,UCsAPiUMyBjtKamxYGbSUnLA,2024-10-26,17
Ddunvi2p1Eg,UCYD22MFqaNqXp-ogTMosW_A,2024-10-25,23
PWjZ3p1jNho,UC3IZKseVpdzPSBaWxBxundA,2024-10-25,10
patziz3cNf0,UCczuNg-bajJgZLYhrY7FpfA,2024-10-24,24
gkwKrIlc9bQ,UCFM-_iQVoyFHyHulT9JxSPA,2024-10-25,10
YTMaEM54ijw,UCn2DAE87nJp01zbFmUI8V5A,2024-10-23,10
lhxTqkSglaM,UCe6JX3pZtPwSD5ksQPfNKRQ,2024-10-24,24
wJIVRImbyXs,UCtHtVptJ7tDRvbZrTFDrf7A,2024-10-24,10
ZlSkIALzNbI,UCrfveaMYpL4Uocm_YB8tUsQ,2024-10-25,20
uKmaGTWmDA4,UClSUOi_4VD2oW_o06pC5meA,2024-10-25,20
niIDy2QSNCI,UClQT1o1z6kn1n5Y5NxeJRAQ,2024-10-24,10
_ipN0XWS60E,UCP4wIoy9W9WdAfVIN2sVmEw,2024-10-24,20
8Ebqe2Dbzls,UCoUM-UJ7rirJYP8CQ0EIaHA,2024-10-24,10
qLPih0ITYKE,UCtHtVptJ7tDRvbZrTFDrf7A,2024-10-23,10
WvHRn0djiAM,UCfGfdZuYifBYb1fmZcL1JBQ,2024-10-24,27
3PBseakOe0U,UCDqrC9HH1w7hyZCspmukU6A,2024-10-26,17
Qt6YiVZLhG0,UC3Cs0kPcr0GQPCVzX32NQPg,2024-10-25,10
wN3fd2LU6o8,UClQT1o1z6kn1n5Y5NxeJRAQ,2024-10-24,10
GrNDD4KTxdw,UCiADY94gaAZlXpItKC0P26g,2024-10-23,10
XrrtNX7bbTI,UCBNTNHPngOpC-yeC8VpAPJQ,2024-10-24,10
A-hbsWHzfFg,UC8ggH3zU61XO0nMskSQwZdA,2024-10-22,17
QxTkZTLWdo4,UCKrdjiuS66yXOdEZ_cOD_TA,2024-10-25,10
xwOWwRYKHN4,UCBNTNHPngOpC-yeC8VpAPJQ,2024-10-24,10
sRszduw0my4,UCcMGbm0EYWh1SZZ8MsM75tw,2024-10-26,17
LrmveoIa4fg,UCk203NKbyqud8JclTWUWtBg,2024-10-23,23
lHADwiOD6k8,UC6yW44UGJJBvYTlfC7CRg2Q,2024-10-24,17
E6o55fxt9d8,UC8ggH3zU61XO0nMskSQwZdA,2024-10-23,17
ZP6NC42BhB0,UCD7wEPp2a5MPOnrfo5ZtkuA,2024-10-23,24
x0pMItRPeMY,UCzHWSEgF38Q_TFYhXw-_FmA,2024-10-24,22
ODdSozhYF2Q,UC8pflMI7DubRMqdqP768p4w,2024-10-21,10
6WcuiubcgQ4,UC9p4xo6kdsN_3G-N5PAnF4A,2024-10-22,22
0z7JOpQpPA4,UCkzCjdRMrW2vXLx8mvPVLdQ,2024-10-23,17
SFddctbZzw8,UC4NBMVsQp6QvIjzUeaqX3ZA,2024-10-25,10
-WedmH_lCOw,UC_7520oUmZ2piOVjxc3D_nw,2024-10-23,26
5c0_u9PsrsQ,UCKrdjiuS66yXOdEZ_cOD_TA,2024-10-25,10
KVMJcccae0o,UCVMfjO8tFOlYQvg1rDBNnAg,2024-10-23,2
JYKvkvo88pg,UCYflpzCNR3pA49KiyGkxNmQ,2024-10-23,24
-geHvVb_tJc,UC2LZa2QFTxOiRj1u5TcDgsw,2024-10-23,10
EBdQgDpXlMs,UCn2DAE87nJp01zbFmUI8V5A,2024-10-24,10
lhUMf-sKqrQ,UCo2LeYTlpLra9swD4Ye-vBg,2024-10-23,2
1zKn_NtWO-8,UCbD8EppRX3ZwJSou-TVo90A,2024-10-24,24
uSezIBAqaL0,UCQJmQTMxK86IYywga8tKRPQ,2024-10-23,10
wR2g1gU1JUg,UCl_bk2yyg6hS-qNHJfiJT5w,2024-10-22,23
0qtoLnp_p7o,UCnrhy622SNPt04Avj5idFIg,2024-10-23,15
7Pl4rvZ9amc,UCCDz_XYeKWd0OIyjp95dqyQ,2024-10-23,25
qEGMVHsi92I,UC8xRZZg0nZN6tqrIGNPmnXA,2024-10-23,20
j2I7z5orb44,UCKJ7cmBniTdqzwyeQLOk6ow,2024-10-24,17
k46nIQXg6nw,UCrfveaMYpL4Uocm_YB8tUsQ,2024-10-22,20
gJC3MtgBm54,UCLkpdLGqX_cAM648W5E1RHg,2024-10-23,20
ISh12Nt0RsY,UC-4M8AN08hw39nn2v91VuMQ,2024-10-22,24
x7JnA8ssuqY,UCWeg2Pkate69NFdBeuRFTAw,2024-10-19,24
BzM5TvAVREk,UCNpDGgwjJK4-voGoG1lq-YQ,2024-10-22,20
IRnE4_3UJms,UCAcAnMF0OrCtUep3Y4M-ZPw,2024-10-23,25
jWQx2f-CErU,UCEf_Bc-KVd7onSeifS3py9g,2024-10-21,10
ahy0AO8WwRc,UCVS0xBpOtXBAl12rdG67-OQ,2024-10-23,20
Qer3lwd5hyA,UCsQBsZJltmLzlsJNG7HevBg,2024-10-21,2
MzBUdvXdzWw,UCrSVu3ryGNObwCFoOGU8lHg,2024-10-20,24
7MqmF3AzOo8,UCY-_QmcW09PHAImgVnKxU2g,2024-10-21,20
6vQHRCcq3iQ,UC5sbGkJ_Fuzn_NCxFfX0zLw,2024-10-21,24
AdCEdFUz_dk,UCykFnxpSK9mQN-CzUNSgE_A,2024-10-21,10
56VkXZlLgvw,UCUo1RqYV8tGjV38sQ8S5p9A,2024-10-20,25
fMO_oG62ICI,UCELnGqT6oDc7Gk6lb5ejByg,2024-10-21,24
tbDGl7jEazA,UC3IZKseVpdzPSBaWxBxundA,2024-10-21,10
ghh-28ln-z4,UCseGV3amBLISlIOMQodPfVQ,2024-10-20,27
tyJB96JJXYo,UCu3WJjXqlYozV9s8sGYPySA,2024-10-21,10
qkvZChA6Mxw,UCmHoiy6KU2_MsMlceNzhQaw,2024-10-20,10
gw7ObeO1yrI,UCQVaKQcp4OxSg1eC6SF3NTw,2024-10-20,24
wapVCBBcCiM,UCDPK_MTu3uTUFJXRVcTJcEw,2024-10-21,24
AbQl0hVllqs,UCNL1ZadSjHpjm4q9j2sVtOA,2024-10-22,10
VVSUonMRY04,UCZh98aIwhumAAr8OMzV4-xQ,2024-10-21,17
dcTAk9ASfIk,UCgvqvBoSHB1ctlyyhoHrGwQ,2024-10-20,23
BcRhsGEUj5o,UCWPOLkftHreB1p8ospsiApw,2024-10-19,2
Yh9taP4tlTI,UCuLS5cbAG6fgBwega9RaG9A,2024-10-21,1
Wlyw-uSL8Qk,UC9gQ9nMYEPmzsbOpz0THaDw,2024-10-20,24
U-r_OMYhjro,UCB0Faz0mFzbogfIqihllXVw,2024-10-20,20
l-u1IFbSu38,UCah8C0gmLkdtvsy0b2jrjrw,2024-10-20,27
4FdSbK0GocE,UCObjT6_9D0vIOAfVEhEbLlw,2024-10-20,22
CHqnF_hZj08,UCqZW-sbqCcJzJdUVo8YKQ4g,2024-10-19,10
ekr2nIex040,UCBo1hnzxV9rz3WVsv__Rn1g,2024-10-18,10
vcTV5EVeVrc,UC2PeMPA8PAOp-bynLoCeMLA,2024-10-21,20
iPUwktBQlnM,UCqfANd8RDXTcQddXMwwgUmA,2024-10-19,24
dL6LM4DyzU8,UCsQBsZJltmLzlsJNG7HevBg,2024-10-22,2
425q-YPQ5sI,UCRflwsKvsCINRlHPs1CQDig,2024-10-18,17
hY0__Ixl1bY,UCdg2UgrM2iwNQf6N18vJuZw,2024-10-19,24
tTxepK-wJXk,UCOdKaYgvLlPuinUJ1z5Gm2g,2024-10-19,20
GM_4maq0BAA,UCL3ltgLhi_JcFeFzzsOQ9pg,2024-10-18,10
0zl6YXiI8hQ,UCm6FmMolN-n38Oj8-ZHVuHg,2024-10-17,10
bkTHScT2vLk,UC-omFoT0Qf48y7IpEZo-OYQ,2024-10-18,10
UbuzEuf73pg,UCDGmojLIoWpXok597xYo8cg,2024-10-20,10
sEkyjvFnH9M,UCM1c1okZ-7cPV7BEZ-pzUGg,2024-10-17,23
