ID,Data_de_criacao
UCeU5qTuBiqTU5z-hyL6WITQ,2012-07-17
UC6SmH9mR82nj28_NNg_rZvA,2005-11-28
UCz6vnIbgiqFT9xUcD6Bp65Q,2019-12-08
UCypYz0HzH-2oL7mdP-JK2yQ,2020-05-25
UCbqtn4vldMg5HjKims7MWfw,2019-06-13
UCSDobaWqvIttZUa1xXi4sRQ,2022-03-17
UCFImmanh2iGuONPpUTf4-Wg,2019-04-13
UC47AYUs8AVU1QsT5LhpXjaw,2018-07-02
UCwNqHDsnBCKT-olwJwIFyfg,2006-06-05
UCwi4P78SVunSYAGrvC9aKcw,2021-08-17
UCtpB6Bvhs1Um93ziEDACQ8g,2018-03-14
UCo7TRj3cS-f_1D9ZDmuTsjw,2018-08-07
UCc-itdQHxLvUlPrDxIiSJrA,2021-06-11
UC2aul0Y3jUJ9sMzOhWPT9AA,2010-11-04
UCz89MGFBrAqwJ5xMr5weSuA,2023-02-06
UCd9BXPj-KcMTh0HiB-Vlb8A,2014-03-13
UCgXyMl3Y2kRHkK08F_Ct8Pg,2012-10-25
UCG8MvaPCa2ecKH3GZyFxduA,2016-10-12
UCFzXU6-djdXlDvXI3-2Appw,2022-07-14
UCIOk-Q5kyDtSRaTIW7hIsng,2020-03-12
UC47AYUs8AVU1QsT5LhpXjaw,2018-07-02
UCCTMMUDmBo6PXc7GmVHPrkw,2015-06-25
UCebT4Aq-3XWb5je1S1FvR_A,2020-07-29
UCtEm8GdvsJ3iDFqobrfXk2Q,2022-02-16
UCkH3CcMfqww9RsZvPRPkAJA,2013-03-13
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UCBKqbSl9bK_ln9zZ-C5rP0Q,2019-03-11
UCOUrPUI25HGfCTImQwXBBHg,2019-04-05
UCrxOjbi4xKHTnkoqKzPvL0Q,2017-12-01
UCWy0kYBwxxHrCThhUwL_M2w,2014-08-10
UConIcs8o0z5vYTamGtq-Lsw,2017-01-26
UCUWdIyItMu1S-GjyY9afTAQ,2013-04-30
UCTf_RiCbTRRCoZYoMKnR4vQ,2024-09-18
UCooVYzDxdwTtGYAkcPmOgOw,2017-04-28
UC3TCIVs1OBZt2KyG8o0CM6Q,2024-04-15
UCotjLu8L80T2QYjEhFXstiQ,2022-03-04
UCMLdlTfMF8TKIRMjrJrQoYA,2020-12-10
UCSDobaWqvIttZUa1xXi4sRQ,2022-03-17
UClZYieT46XkFhKA7rXBxCpw,2017-06-13
UC3XrP1yEARz4_iFsmrdUfRA,2016-10-28
UCdEnz8AGhPTSltUpNOhU7Qg,2020-09-10
UC2jE2i2lC7ZJQl4tQoIiX7g,2006-04-05
UCqRV_ZIQhVKfxG1_WkNiRbg,2015-03-28
UCXIbbUPWKPxzGyfdbAG8mLg,2021-01-03
UCrV1Hf5r8P148idjoSfrGEQ,2022-04-09
UC5T_PNyy-_3I5pustPMLIxQ,2021-08-15
UCSFCh5NL4qXrAy9u-u2lX3g,2018-03-05
UChdY64fJb14Nfnbs8EGdQig,2023-02-06
UCrV1Hf5r8P148idjoSfrGEQ,2022-04-09
UCwGNwOsWOX4v-3k2JO088SQ,2018-01-08
UCoFLB_Gw_AoxUuuzKjXrc_Q,2016-05-10
UCgn06AH6iI_DOutzukEsPAA,2022-12-29
UCjl8UBoqlulhOn6OR8fpiUg,2019-10-03
UC3TCIVs1OBZt2KyG8o0CM6Q,2024-04-15
UCj6AKkCWS6FJqf0o5wP45eQ,2012-11-28
UCe3uJZIjfYwNNR0S6W3GvEA,2020-07-13
UCk5a240pQsTVT9CWPnTyIJw,2020-07-07
UCqQCfFDTU0RhhbRI1aBDU6A,2019-07-12
UCtTzAeUzuCKihDS1BECX9QA,2013-06-19
UCMjvvElkdLRTgcTKklAUkSw,2023-08-07
UCP-32CzsbLiiIb2LbYk8mZA,2017-08-06
UCJFZiqLMntJufDCHc6bQixg,2016-03-03
UCW01sMEVYQdhcvkrhbxdBpw,2018-11-30
UCSzd2tlFW_DvVPp44JmaUrg,2022-08-11
UCrV1Hf5r8P148idjoSfrGEQ,2022-04-09
UCFcjW8ggZCel1XIbmx1KyDg,2019-07-12
UCSDobaWqvIttZUa1xXi4sRQ,2022-03-17
UC14UlmYlSNiQCBe9Eookf_A,2006-02-06
UCAWxPGGuIfWME2KTLUmSCHw,2018-02-09
UCTW2tw0Mhho72MojB1L48IQ,2018-11-10
UCPVr7clenPjpD7WNsSI3UBQ,2014-06-11
