Channel_ID,Palavra_Chave,Trending_Date
UCeU5qTuBiqTU5z-hyL6WITQ,G-DRAGON,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,BIGBANG,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,BIG,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,BANG,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,GD,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,SOL,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,TOP,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,D-LITE,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,VI,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,빅뱅,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,지디,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,지드래곤,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,권지용,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,탑,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,태양,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,대성,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,승리,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,ビッグバン,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,ヨンベ,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,ジヨン,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,ビッグ,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,バン,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,ベン,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,YG,2024-11-01
UCeU5qTuBiqTU5z-hyL6WITQ,와이지,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,スクエニ,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,FF,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,チョコボ,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,クロノ,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,クロノ・トリガー,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,FFCC,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,square,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,enix,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,DQ,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,ドラクエ,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,ドラゴンクエスト,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,ファイナルファンタジー,2024-11-01
UC6SmH9mR82nj28_NNg_rZvA,スクエア,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,chronoir,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,くろのわーる,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,クロノワール,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,くろのわ,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,クロノワ,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,葛葉,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,叶,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,にじさんじ,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,nijisanji,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,VTuber,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,ライバー,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,くろなん,2024-11-01
UCz6vnIbgiqFT9xUcD6Bp65Q,くろのわーるがなんかやる,2024-11-01
UCypYz0HzH-2oL7mdP-JK2yQ,おろちんゆー,2024-11-01
UCypYz0HzH-2oL7mdP-JK2yQ,生き物,2024-11-01
