Pais_Codigo,Video_ID,Video_Snapshot_Data
JP,NMjhjrBIrG8,2024-11-01
JP,8FoElhYd1Jc,2024-11-01
JP,EJInP72F4W4,2024-11-01
JP,Jczt0xPAyMY,2024-11-01
JP,06oeDp5ouQs,2024-11-01
JP,YrFD47tjOcY,2024-11-01
JP,Pz04moVKyHY,2024-11-01
JP,ScRGVhBBqM8,2024-11-01
JP,OkfKZYeTbKM,2024-11-01
JP,0x8pI953Rdw,2024-11-01
JP,reDlN6dbeCw,2024-11-01
JP,o4WPI-T_56I,2024-11-01
JP,iP1LJrV_mm8,2024-11-01
JP,DuSnTwNiCiI,2024-11-01
JP,JFnHc0nerUI,2024-11-01
JP,hWqcC4k26Xg,2024-11-01
JP,x2MEOdYiBmk,2024-11-01
JP,lONkEfMbWAY,2024-11-01
JP,4pI8x2QbBBE,2024-11-01
JP,yqfc3QH7lFI,2024-11-01
JP,pUWGm8ucYgs,2024-11-01
JP,LIt8U7EUONg,2024-11-01
JP,0mJsAhz_cL8,2024-11-01
JP,JfBKQ-Sex_Y,2024-11-01
JP,jI5gn6kNiw8,2024-11-01
JP,o0oW3lPoOXM,2024-11-01
JP,BvtpT0KjvVI,2024-11-01
JP,EKO_T6B8JKc,2024-11-01
JP,TRt-beCJwAU,2024-11-01
JP,RPccvS9itLA,2024-11-01
JP,ZWrkgzn0lvE,2024-11-01
JP,NW2ORabeuO0,2024-11-01
JP,Ttlh8zbsATE,2024-11-01
JP,BqPNB9Vxl_w,2024-11-01
JP,ag0zOJCMnBY,2024-11-01
JP,3pNy62ihm48,2024-11-01
JP,iM3VfUpTh9c,2024-11-01
JP,tKVGr9UqJIg,2024-11-01
JP,IVhRjzxDfsI,2024-11-01
JP,AP1QYUzulkY,2024-11-01
JP,ByxJE9z313s,2024-11-01
JP,Xe1NZmCP2mI,2024-11-01
JP,yvqUxGFo980,2024-11-01
JP,BPhYTGNhsg4,2024-11-01
JP,CgF0QVWZDRw,2024-11-01
JP,bT9KutyDLP8,2024-11-01
JP,Zq72ILc1IzQ,2024-11-01
JP,pOAzzX44XSk,2024-11-01
JP,zbWEZDA3xZc,2024-11-01
JP,26S0i8Tai5I,2024-11-01
JP,lspM7lBaVnE,2024-11-01
JP,e41SW1KUoHQ,2024-11-01
JP,T9I3HNK_WYY,2024-11-01
JP,nyBwTBDJ3jE,2024-11-01
JP,yMsQ4AC60xk,2024-11-01
