ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
NMjhjrBIrG8,UCeU5qTuBiqTU5z-hyL6WITQ,2024-10-31,22
8FoElhYd1Jc,UC6SmH9mR82nj28_NNg_rZvA,2024-10-31,20
EJInP72F4W4,UCz6vnIbgiqFT9xUcD6Bp65Q,2024-10-31,24
Jczt0xPAyMY,UCypYz0HzH-2oL7mdP-JK2yQ,2024-10-31,24
06oeDp5ouQs,UCbqtn4vldMg5HjKims7MWfw,2024-10-31,24
YrFD47tjOcY,UCSDobaWqvIttZUa1xXi4sRQ,2024-10-31,17
Pz04moVKyHY,UCFImmanh2iGuONPpUTf4-Wg,2024-10-31,10
ScRGVhBBqM8,UC47AYUs8AVU1QsT5LhpXjaw,2024-10-31,1
OkfKZYeTbKM,UCwNqHDsnBCKT-olwJwIFyfg,2024-10-31,17
0x8pI953Rdw,UCwi4P78SVunSYAGrvC9aKcw,2024-10-31,24
reDlN6dbeCw,UCtpB6Bvhs1Um93ziEDACQ8g,2024-10-31,24
o4WPI-T_56I,UCo7TRj3cS-f_1D9ZDmuTsjw,2024-10-31,20
iP1LJrV_mm8,UCc-itdQHxLvUlPrDxIiSJrA,2024-10-31,10
DuSnTwNiCiI,UC2aul0Y3jUJ9sMzOhWPT9AA,2024-10-31,24
JFnHc0nerUI,UCz89MGFBrAqwJ5xMr5weSuA,2024-10-30,20
hWqcC4k26Xg,UCd9BXPj-KcMTh0HiB-Vlb8A,2024-10-31,20
x2MEOdYiBmk,UCgXyMl3Y2kRHkK08F_Ct8Pg,2024-10-30,20
lONkEfMbWAY,UCG8MvaPCa2ecKH3GZyFxduA,2024-10-31,24
4pI8x2QbBBE,UCFzXU6-djdXlDvXI3-2Appw,2024-10-30,24
yqfc3QH7lFI,UCIOk-Q5kyDtSRaTIW7hIsng,2024-10-31,23
pUWGm8ucYgs,UC47AYUs8AVU1QsT5LhpXjaw,2024-10-31,1
LIt8U7EUONg,UCCTMMUDmBo6PXc7GmVHPrkw,2024-10-31,24
0mJsAhz_cL8,UCebT4Aq-3XWb5je1S1FvR_A,2024-10-30,24
JfBKQ-Sex_Y,UCtEm8GdvsJ3iDFqobrfXk2Q,2024-10-31,24
jI5gn6kNiw8,UCkH3CcMfqww9RsZvPRPkAJA,2024-10-30,20
o0oW3lPoOXM,UCqwUnggBBct-AY2lAdI88jQ,2024-10-30,22
BvtpT0KjvVI,UCBKqbSl9bK_ln9zZ-C5rP0Q,2024-10-29,24
EKO_T6B8JKc,UCOUrPUI25HGfCTImQwXBBHg,2024-10-31,24
TRt-beCJwAU,UCrxOjbi4xKHTnkoqKzPvL0Q,2024-10-29,20
RPccvS9itLA,UCWy0kYBwxxHrCThhUwL_M2w,2024-10-30,20
ZWrkgzn0lvE,UConIcs8o0z5vYTamGtq-Lsw,2024-10-30,24
NW2ORabeuO0,UCUWdIyItMu1S-GjyY9afTAQ,2024-10-30,20
Ttlh8zbsATE,UCTf_RiCbTRRCoZYoMKnR4vQ,2024-10-30,22
BqPNB9Vxl_w,UCooVYzDxdwTtGYAkcPmOgOw,2024-10-30,20
ag0zOJCMnBY,UC3TCIVs1OBZt2KyG8o0CM6Q,2024-10-29,20
3pNy62ihm48,UCotjLu8L80T2QYjEhFXstiQ,2024-10-30,22
iM3VfUpTh9c,UCMLdlTfMF8TKIRMjrJrQoYA,2024-10-29,23
tKVGr9UqJIg,UCSDobaWqvIttZUa1xXi4sRQ,2024-10-29,17
IVhRjzxDfsI,UClZYieT46XkFhKA7rXBxCpw,2024-10-30,24
AP1QYUzulkY,UC3XrP1yEARz4_iFsmrdUfRA,2024-10-29,24
ByxJE9z313s,UCdEnz8AGhPTSltUpNOhU7Qg,2024-10-29,17
Xe1NZmCP2mI,UC2jE2i2lC7ZJQl4tQoIiX7g,2024-10-29,20
yvqUxGFo980,UCqRV_ZIQhVKfxG1_WkNiRbg,2024-10-29,26
BPhYTGNhsg4,UCXIbbUPWKPxzGyfdbAG8mLg,2024-10-29,24
CgF0QVWZDRw,UCrV1Hf5r8P148idjoSfrGEQ,2024-10-27,24
bT9KutyDLP8,UC5T_PNyy-_3I5pustPMLIxQ,2024-10-28,22
Zq72ILc1IzQ,UCSFCh5NL4qXrAy9u-u2lX3g,2024-10-27,20
pOAzzX44XSk,UChdY64fJb14Nfnbs8EGdQig,2024-10-27,20
zbWEZDA3xZc,UCrV1Hf5r8P148idjoSfrGEQ,2024-10-27,24
26S0i8Tai5I,UCwGNwOsWOX4v-3k2JO088SQ,2024-10-27,24
lspM7lBaVnE,UCoFLB_Gw_AoxUuuzKjXrc_Q,2024-10-26,17
e41SW1KUoHQ,UCgn06AH6iI_DOutzukEsPAA,2024-10-27,17
T9I3HNK_WYY,UCjl8UBoqlulhOn6OR8fpiUg,2024-10-27,24
nyBwTBDJ3jE,UC3TCIVs1OBZt2KyG8o0CM6Q,2024-10-27,20
yMsQ4AC60xk,UCj6AKkCWS6FJqf0o5wP45eQ,2024-10-27,17
X5nendpiPgo,UCe3uJZIjfYwNNR0S6W3GvEA,2024-10-27,20
qvBh-uFrt48,UCk5a240pQsTVT9CWPnTyIJw,2024-10-27,25
eWkPTmbDiGw,UCqQCfFDTU0RhhbRI1aBDU6A,2024-10-27,20
-rbrLdEvD2c,UCtTzAeUzuCKihDS1BECX9QA,2024-10-27,20
3qJS_xI9DN8,UCMjvvElkdLRTgcTKklAUkSw,2024-10-27,17
BfMkfNhEi_o,UCP-32CzsbLiiIb2LbYk8mZA,2024-10-28,23
7J5aS_pcBj4,UCJFZiqLMntJufDCHc6bQixg,2024-10-27,24
RQee1iW3438,UCW01sMEVYQdhcvkrhbxdBpw,2024-10-26,26
436juZ8D1pY,UCSzd2tlFW_DvVPp44JmaUrg,2024-10-26,22
xd8-rKhV_gg,UCrV1Hf5r8P148idjoSfrGEQ,2024-10-25,22
e6laLyZ7gAI,UCFcjW8ggZCel1XIbmx1KyDg,2024-10-26,24
QB3uZaFbh-c,UCSDobaWqvIttZUa1xXi4sRQ,2024-10-26,17
AfpItQBKl04,UC14UlmYlSNiQCBe9Eookf_A,2024-10-26,17
skfS9KiX1so,UCAWxPGGuIfWME2KTLUmSCHw,2024-10-26,20
lkKoTQXBn28,UCTW2tw0Mhho72MojB1L48IQ,2024-10-26,20
n12Qn-kaSbo,UCPVr7clenPjpD7WNsSI3UBQ,2024-10-26,20
9tlOB9z8JII,UCGCZAYq5Xxojl_tSXcVJhiQ,2024-10-27,25
2uc7DHhJo0s,UCZf__ehlCEBPop-_sldpBUQ,2024-10-25,24
DIWsSpvHj8o,UCooVYzDxdwTtGYAkcPmOgOw,2024-10-26,20
PWjZ3p1jNho,UC3IZKseVpdzPSBaWxBxundA,2024-10-25,10
SHuasthy50Y,UCgn06AH6iI_DOutzukEsPAA,2024-10-26,17
-IME9abLPOU,UCq3YtFr5JWvID4iK9HyrM3Q,2024-10-27,26
ArMg_WJEuPk,UC6AG81pAkf6Lbi_1VC5NmPA,2024-10-27,25
mVmWmkHltak,UC-hM6YJuNYVAmUWxeIr9FeA,2024-10-26,10
yFo7ybOXwlk,UCh7bThzNArch6TgoHB1HVhA,2024-10-26,20
fzH7RUhHAg0,UCuFPaemAaMR8R5cHzjy23dQ,2024-10-24,10
4Dr7HljrsoQ,UCch9Dmg5Juwp8MZGvAmAp4Q,2024-10-25,1
Cl9T55HGZlQ,UCOg6P-Ne5Hdd5tDtcOHDd-Q,2024-10-25,23
1zKn_NtWO-8,UCbD8EppRX3ZwJSou-TVo90A,2024-10-24,24
