ID,Data_de_criacao
UCgvPE_DC9Q-ZJNAaXbppNVA,2013-08-20
UCKhUmnwERRiKnh8q87an3XQ,2022-05-16
UCrzwOa2lzzPjfiLIn7Y8SrQ,2014-12-01
UCoN_M7MUBdD0T-r50ZHSRAQ,2016-11-14
UC6JRrn_7Qe1CZBcQDMieadw,2016-01-26
UC_bPnE6C8ucaq7JHPKlaf-Q,2022-03-13
UCOxQWb-OuyCSZadzWqrKTCQ,2009-10-30
UCcIq2rEAjYxPZr2XNx4ECXw,2016-06-15
UCYmJRZIvn7K7GAVLGf3hGzQ,2020-05-27
UCBExEyByJmPydFVVFcGeOqQ,2012-06-02
UCG4yz4wtp2E5S62L06yqC9w,2011-01-07
UCvydDeIzW2UDNO7eCqmmGdw,2019-11-14
UC2bhfksrCXjguRr10mpkvag,2018-12-25
UCKgNnp6G0dlwTS1eR4-77yQ,2011-08-21
UCY5IJ4UB96RPb13LMpJEggA,2022-05-30
UC4Nux1jbudhSm3OTnJ4gocg,2020-03-30
UCubxWD7pK_GkU9a3aaWmqdg,2021-01-26
UCi5UoW-5kx367sJxz7K5fFg,2023-06-12
UCfoOUk3V7-Jln-h0FUjbkSw,2013-03-22
UCAvrIl6ltV8MdJo3mV4Nl4Q,2012-05-28
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UC39vKkXIIDsFfbx1__QjOJA,2023-02-05
UCzK8PeP5ERrHUvHQi1Pdr5A,2020-10-14
UCDUJu_bQH68A4FXij5P_8MQ,2015-02-12
UCwd0QUcZSa5iGjt-v8z5w2g,2012-03-20
UC39vKkXIIDsFfbx1__QjOJA,2023-02-05
UCRkQ5F-b2qU2rYE7-GfGkOA,2014-10-26
UCJwQn49LutwtR0wHaZ5QI_g,2016-01-19
UCiWMFQCGvwGSc8QWHOqcQhw,2007-10-22
UC1tGyMwuF6hUHRp2syrADOQ,2010-08-10
UCjWy2g76QZf7QLEwx4cB46g,2014-04-24
UC-Osiqly2kWjXcB6ElD2iCQ,2009-10-28
UCoGSDYSipkPYfj93crGSOwg,2022-08-02
UCnXuj5Q9vmJjNbgkQw9qgnA,2024-10-07
UC6S_LVqciNzftYE_tpcGe_w,2024-02-15
UC4IPy7-vQCG2WAHn1qjZYvA,2020-04-16
UCJtpOu1ME42zh5IqBJur9NA,2016-10-31
UCi2_q03LmlBCVvIYFybq3Fw,2023-02-17
UCJsOVd61dzow401WI1hR-kg,2014-09-16
UCaYLBJfw6d8XqmNlL204lNg,2016-02-03
UCtctOXlHYeQyuXSgW861nMA,2010-11-25
UCo0gqwjsVtBtlj1jLZOnyHA,2016-04-19
UCzfyYtgvkx5mLy8nlLlayYg,2012-09-09
UCq3PlGB0_e6jTc9Jr2Al7LQ,2017-01-31
UCXNUrJGI6-5hv6xcncrQq8g,2020-08-20
UCE7f6y9VGVdZEtHeluRj_Wg,2020-09-10
UCgvPE_DC9Q-ZJNAaXbppNVA,2013-08-20
UCFCKDylEz4F7yB50yYMye0g,2013-01-15
UCOxQWb-OuyCSZadzWqrKTCQ,2009-10-30
UCg0Y6Q0m3A_5X0CPY-IG3Yg,2012-08-23
UCRv1uDv7I2bv7aavxmkRTtw,2017-05-31
UCvydDeIzW2UDNO7eCqmmGdw,2019-11-14
UCDZ0U6BUI26KjWXUhoJeFHw,2020-05-10
UCyTDJHSzuKZ2JZO41c5Do1A,2011-03-03
UC0lT9K8Wfuc1KPqm6YjRf1A,2010-12-27
UCLWvIB80ANqrEJhzYzfkgGA,2023-06-08
UC1TKzKqa_EYyJ13wUELnXlg,2021-10-01
UCaYLBJfw6d8XqmNlL204lNg,2016-02-03
UCn1YQ4g_kKwJbt0MUVZfY7A,2015-03-15
UC3eP27DHBYIMFkN-1up0Y_A,2024-03-01
UCKoFMFiKx297VCuHB29mMXw,2016-07-01
UCbFHDplh6agAg1-oa6u2wzw,2012-01-20
UCUHQKxU-_DWsrwBxlKWgsew,2019-06-12
UC5aNdQmTYqlSxJHS9Ld0pBw,2014-01-30
UC5gxP-2QqIh_09djvlm9Xcg,2020-02-03
UCM4UbeXfkW2_1gOFvtYs_KQ,2020-03-16
UCi2_q03LmlBCVvIYFybq3Fw,2023-02-17
UCkUFua6WbuKcmMDrcxRpH7A,2017-01-13
UCDx2-SCLzDaC4vlh2PCGYQA,2009-01-06
UCb5oqCZ4AfmfXbgHsfei0tQ,2015-05-28
UC_1O5w8-Gv812YiZwxd1qSw,2021-05-24
UCNqktdxgAADBj36dC7VGOgg,2016-08-30
UCCbW0FO6y14X0eEREEkUq3A,2021-03-20
UCgxTPTFbIbCWfTR9I2-5SeQ,2017-03-14
UCAvrIl6ltV8MdJo3mV4Nl4Q,2012-05-28
UCQeGq915GhiFlOE-fuoXGKQ,2020-10-05
UCLTgbvgydbIU3OQ0Z-PpTpA,2013-09-23
UC-0PebZ8l-aQvGnf8Poj9ng,2020-04-06
UCYsVtR0mpHEOON2YsycCFWA,2022-02-01
UC6HKWohA11bBbyob7ieP-0g,2021-09-18
UCaCyjTZo0yY2UoKxASfms9w,2016-10-13
UCvydDeIzW2UDNO7eCqmmGdw,2019-11-14
UC9XJvt8OT-9_8QHDBdqocaw,2013-03-06
UCnXuj5Q9vmJjNbgkQw9qgnA,2024-10-07
UCDUJu_bQH68A4FXij5P_8MQ,2015-02-12
UCGkWnDo79DJX4raTx73NidA,2018-02-25
UCQDVQ8Bf-b9ibGvfRR3UoUw,2022-07-16
