Titulo,Numero_de_videos,Descricao,Imagem_de_perfil,Numero_de_visualizacoes,Link,Numero_de_inscritos,Data,Canal_ID,Pais_codigo
КАРЕНА МАКАРЕНА,140,                Всем ПАСИБО😂Подписывайся здесь смешно Instagram :karena_macarenaПо поводу рекламы пишите : karena.macarena@wow-media.ru,https://yt3.ggpht.com/4d0PcxHgk4BhkAJ7QnYw9OC_Dt30q9T7198TIHRS9LvzbrybCNZc0MMhCYgfX8L6Lwg3iDbensA=s88-c-k-c0x00ffffff-no-rj,1094331410,https://www.youtube.com/channel/UCgvPE_DC9Q-ZJNAaXbppNVA,1840000,2024-11-01,UCgvPE_DC9Q-ZJNAaXbppNVA,ZZ
Archie5,3750,Links to Gadgets from the video here,https://yt3.ggpht.com/nYCTMQQJtFYBjGxa5iErAZA-BBRqNYyc9azRhHk3jDabn4UmKk5TBU95vnK3D62Qe9duqMRKdg=s88-c-k-c0x00ffffff-no-rj,575138858,https://www.youtube.com/channel/UCKhUmnwERRiKnh8q87an3XQ,568000,2024-11-01,UCKhUmnwERRiKnh8q87an3XQ,US
Кик Обзор,1314,"Хотите быть в курсе самых последних достижений в области технологий? Наш канал — это ваше идеальное место! Мы рассказываем о самых свежих новостях, делаем обзоры на новинки и делимся полезными советами о том, как использовать технологические новшества на максимум. Подписывайтесь, чтобы всегда быть в курсе самых актуальных событий и инноваций, которые меняют наш мир прямо сейчас!",https://yt3.ggpht.com/AR4gRxNMLAAwesa-93a0bgt54b7UQJG2VxR28j0pp-4g9GCm3-HurD0qsN1cmpaxo4mZsi54Lg=s88-c-k-c0x00ffffff-no-rj,307845112,https://www.youtube.com/channel/UCrzwOa2lzzPjfiLIn7Y8SrQ,1070000,2024-11-01,UCrzwOa2lzzPjfiLIn7Y8SrQ,US
Elena Bogdanovich,720,Визажист | ИнфлюенсерБуду рада видеть Вас в числе своих подписчиков ❤️Обучение Online: https://bogdanovich.ruПредложения по сотрудничеству: pr@bogdanovich.ruTelegram: https://t.me/bogdanovich_elena/,https://yt3.ggpht.com/FYeBWThGcAJWa-_oCJxKnTt8bKWmdeaaUFYOEHmtVWf6MzPQgx6ppSV1pwgaaWO5Hmat6CWX=s88-c-k-c0x00ffffff-no-rj,94784741,https://www.youtube.com/channel/UCoN_M7MUBdD0T-r50ZHSRAQ,450000,2024-11-01,UCoN_M7MUBdD0T-r50ZHSRAQ,RU
ExileShow,298,"Я не знаю, зачем создал этот канал, но он вроде как развлекательный",https://yt3.ggpht.com/mx5F0oIYca4pqKVSjL3ZdzsfYDONENYB46N5QJzUinDwr6oOVdF8GPpzeIojesWAmT3fU1nc=s88-c-k-c0x00ffffff-no-rj,869210601,https://www.youtube.com/channel/UC6JRrn_7Qe1CZBcQDMieadw,5340000,2024-11-01,UC6JRrn_7Qe1CZBcQDMieadw,RU
LKCJ,802,↓↓↓↓↓↓↓↓↓↓↓Click on the link below to visit our official website directly,https://yt3.ggpht.com/U-bETlwJYPbpafPXISHmxV-palDljK6sCaU4ZrajMRI6wEHc03ZnGVf8Q89Qg705a6-OXsGe=s88-c-k-c0x00ffffff-no-rj,2383360577,https://www.youtube.com/channel/UC_bPnE6C8ucaq7JHPKlaf-Q,3610000,2024-11-01,UC_bPnE6C8ucaq7JHPKlaf-Q,US
БУЛДЖАТь,371,"Видеоигры, ММО, истории, обзоры и вертолеты",https://yt3.ggpht.com/ytc/AIdro_ncwKEydPpLhGS1g6S9FpvoH37zX-cOrt8YVuUWInV08IY=s88-c-k-c0x00ffffff-no-rj,369196895,https://www.youtube.com/channel/UCOxQWb-OuyCSZadzWqrKTCQ,1370000,2024-11-01,UCOxQWb-OuyCSZadzWqrKTCQ,RU
Nastia Rizik,351,Всем привет! ПО ВОПРОСАМ СОТРУДНИЧЕСТВА ОБРАЩАТЬСЯ НА ПОЧТУ:  nastia.rizik@bk.ruНаши соцсети : 😍😘Наш канал на  RUTUBE: https://rutube.ru/channel/24890750/ВКонтакте: https://vk.com/id135002980Группа ВКонтакте: https://vk.com/public133242605Tik Tok  Насти   http://vm.tiktok.com/JmxSAX/,https://yt3.ggpht.com/-d8zVXMWWIYbKbb-3vx55_65GKwPvXNOvTpgq3acphEzk7snCkxU_KP2lDw1qRr4fgCoPJIs8Q=s88-c-k-c0x00ffffff-no-rj,348267058,https://www.youtube.com/channel/UCcIq2rEAjYxPZr2XNx4ECXw,1420000,2024-11-01,UCcIq2rEAjYxPZr2XNx4ECXw,CH
Анна Ханна,140,"Я - Анна Ханна, мой канал раньше назывался Блог Бывалой Бизнесменши, там я рассказывала о своих приключениях в отельно-ресторанном (и не только) бизнесе... Ролики со старого канала можно посмотреть в плейлисте Блог Бывалой БизнесменшиС октября 2021 года канал называется Анна Ханна, здесь Вы найдете подкасты, где я разбираю нашумевшие истории о людских драмах, пытаюсь понять почему они произошли и можно ли было их избежать.Все, о чем говорю на канале, является моим, исключительно субъективным, мнением. И не факт, что я права. Все материалы, которыми пользуюсь,  взяты из открытого доступа. Приглашаю к просмотру и надеюсь, что Вам будет интересно! Ставьте лайки, подписывайтесь!",https://yt3.ggpht.com/7Gaw0nsIPIcHRy5cHFhHAVPBsYEFqHLC2Z-pICnIRaDH5uhbjV9-90AumJ7LniX1sVDk86lyJXI=s88-c-k-c0x00ffffff-no-rj,91624519,https://www.youtube.com/channel/UCYmJRZIvn7K7GAVLGf3hGzQ,454000,2024-11-01,UCYmJRZIvn7K7GAVLGf3hGzQ,PL
Stintik ,1419,,https://yt3.ggpht.com/Hg-jXQA5C2KmanNF5gtM2axBs3Pu5T06fcacziJ5NZN3ZLjpkOyTi0l1dehZhnsSwaizMhz5mw=s88-c-k-c0x00ffffff-no-rj,428412038,https://www.youtube.com/channel/UCBExEyByJmPydFVVFcGeOqQ,514000,2024-11-01,UCBExEyByJmPydFVVFcGeOqQ,RU
