Pais_Codigo,Video_ID,Video_Snapshot_Data
RU,bBnKF4Tr3wI,2024-11-01
RU,j2knQoveWeI,2024-11-01
RU,YII93V6qISs,2024-11-01
RU,3cR4CIJestk,2024-11-01
RU,vL0iwyeR1RI,2024-11-01
RU,rr-5nBgza_0,2024-11-01
RU,jYAHz1PFews,2024-11-01
RU,ILaeu2y3HAY,2024-11-01
RU,Xtesbfqo8mQ,2024-11-01
RU,YZdFx1blC5I,2024-11-01
RU,s4K0bkqRmfg,2024-11-01
RU,yZBzZbiQg3c,2024-11-01
RU,PlUbSXRLfbA,2024-11-01
RU,uypsfvEuFtw,2024-11-01
RU,9MVx90zRoOc,2024-11-01
RU,T8a-QU7b0vg,2024-11-01
RU,p4xeiczIaBk,2024-11-01
RU,l-KQ57RA3n4,2024-11-01
RU,8PYhHyyKbWQ,2024-11-01
RU,U_VjYHzp5oQ,2024-11-01
RU,Zp-Jhuhq0bQ,2024-11-01
RU,mk363xgOr5k,2024-11-01
RU,-s5yv5qPQZU,2024-11-01
RU,ISk54zTpyxg,2024-11-01
RU,-Fsfom1mkEY,2024-11-01
RU,Q-enIzxHm-o,2024-11-01
RU,2tKR1v7O5aA,2024-11-01
RU,Rjd7Fzx80aA,2024-11-01
RU,iuh4xrAd47A,2024-11-01
RU,pD54wz55ZLk,2024-11-01
RU,UeYW7AzBpLQ,2024-11-01
RU,qr99TkWFxVk,2024-11-01
RU,Ge9G6gmgT14,2024-11-01
RU,wG6k2FSZubg,2024-11-01
RU,KBSlLcROyoU,2024-11-01
RU,iZUHAuwE7H4,2024-11-01
RU,AXHRIfEh7cc,2024-11-01
RU,iKeTe_vZlgM,2024-11-01
RU,xvsXtQzHwH8,2024-11-01
RU,GFVwtWemznc,2024-11-01
RU,94KmKuaLXRA,2024-11-01
RU,sgvguHGNtWA,2024-11-01
RU,5DV4IIKwqRI,2024-11-01
RU,M5YJeuDnqz0,2024-11-01
RU,BvazihwYuQo,2024-11-01
RU,XMNNncIIaQo,2024-11-01
RU,raDKswCs3Ws,2024-11-01
RU,8XUoQEKw_Ms,2024-11-01
RU,NhFYMGHakIQ,2024-11-01
RU,yjAUkSrrwqM,2024-11-01
RU,bwxZ-nAcYCk,2024-11-01
RU,tJD1QLTgr98,2024-11-01
RU,6VH8cneR8XM,2024-11-01
RU,6p6MqD1GSCc,2024-11-01
RU,kXdQNKr2cSQ,2024-11-01
RU,zSF1tjp3d90,2024-11-01
RU,BpWRTTBje5I,2024-11-01
RU,4bBEzJ_zERw,2024-11-01
RU,pQTNVAZpe1A,2024-11-01
RU,eAwKkC_udfQ,2024-11-01
RU,0jktSaKvb6A,2024-11-01
RU,MjhIMchPamQ,2024-11-01
RU,56d3SwP2JaY,2024-11-01
RU,bCCKtfV-fAI,2024-11-01
RU,IXnXov7splM,2024-11-01
RU,jqCyJRY1y2o,2024-11-01
RU,LeH-Vx4domw,2024-11-01
RU,iT9QQFqMbjc,2024-11-01
RU,67KvgptGTBo,2024-11-01
RU,rOx5OFZCwew,2024-11-01
RU,QVQE4mNdq3w,2024-11-01
RU,gK_Oxze8-rY,2024-11-01
RU,ATkXEajCe6o,2024-11-01
RU,WfQPfGlnwA0,2024-11-01
RU,4UvO3SPFiVU,2024-11-01
RU,nSIfIYNrpYQ,2024-11-01
RU,KvBVw42M3f4,2024-11-01
RU,OX4diyvRMEU,2024-11-01
RU,afSCaKxQv7s,2024-11-01
RU,2gsx_ZpsfdA,2024-11-01
RU,8xOs82z50UI,2024-11-01
RU,To0IngWiEbw,2024-11-01
RU,I1ePvaVlPmg,2024-11-01
RU,78dSBMjxUsk,2024-11-01
RU,5x8fGOKevWI,2024-11-01
RU,K1c6yR43pCc,2024-11-01
RU,uWBkcuEC60Q,2024-11-01
