ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
bBnKF4Tr3wI,UCgvPE_DC9Q-ZJNAaXbppNVA,2024-11-01,22
j2knQoveWeI,UCKhUmnwERRiKnh8q87an3XQ,2024-10-27,26
YII93V6qISs,UCrzwOa2lzzPjfiLIn7Y8SrQ,2024-10-30,28
3cR4CIJestk,UCoN_M7MUBdD0T-r50ZHSRAQ,2024-11-01,26
vL0iwyeR1RI,UC6JRrn_7Qe1CZBcQDMieadw,2024-10-31,24
rr-5nBgza_0,UC_bPnE6C8ucaq7JHPKlaf-Q,2024-10-29,22
jYAHz1PFews,UCOxQWb-OuyCSZadzWqrKTCQ,2024-11-01,24
ILaeu2y3HAY,UCcIq2rEAjYxPZr2XNx4ECXw,2024-10-28,23
Xtesbfqo8mQ,UCYmJRZIvn7K7GAVLGf3hGzQ,2024-11-01,22
YZdFx1blC5I,UCBExEyByJmPydFVVFcGeOqQ,2024-10-31,24
s4K0bkqRmfg,UCG4yz4wtp2E5S62L06yqC9w,2024-10-31,2
yZBzZbiQg3c,UCvydDeIzW2UDNO7eCqmmGdw,2024-11-01,23
PlUbSXRLfbA,UC2bhfksrCXjguRr10mpkvag,2024-10-31,22
uypsfvEuFtw,UCKgNnp6G0dlwTS1eR4-77yQ,2024-10-28,22
9MVx90zRoOc,UCY5IJ4UB96RPb13LMpJEggA,2024-10-31,2
T8a-QU7b0vg,UC4Nux1jbudhSm3OTnJ4gocg,2024-10-31,2
p4xeiczIaBk,UCubxWD7pK_GkU9a3aaWmqdg,2024-10-31,23
l-KQ57RA3n4,UCi5UoW-5kx367sJxz7K5fFg,2024-10-27,27
8PYhHyyKbWQ,UCfoOUk3V7-Jln-h0FUjbkSw,2024-10-28,1
U_VjYHzp5oQ,UCAvrIl6ltV8MdJo3mV4Nl4Q,2024-11-01,20
Zp-Jhuhq0bQ,UCqwUnggBBct-AY2lAdI88jQ,2024-11-01,22
mk363xgOr5k,UC39vKkXIIDsFfbx1__QjOJA,2024-11-01,20
-s5yv5qPQZU,UCzK8PeP5ERrHUvHQi1Pdr5A,2024-10-31,24
