Titulo,Numero_de_likes,Numero_de_visualizacoes,Descricao,Numero_de_comentarios,Data,Video_ID
Смотрел уже новый выпуск ЧБД?😂,19384,352602,,205,2024-11-01,bBnKF4Tr3wI
Nail It! Quick and Easy Organization Hack for Containers! #testinghacks,119263,2209095,"Subscribe to my channel and share this video with your friends! I'm Archie - ex-actor from @5-Minute Crafts . I've done so many life hacks and crafts, so now I wanna share with you guys what is worth trying out yourselves and what's an absolute fake :) Only true testing and only best viral trending stuff! Music by Epidemic Sound: https://www.epidemicsound.com/ Stock materials: https://www.depositphotos.com https://www.shutterstock.com This video is made for entertainment purposes. We do not make any warranties about the completeness, safety and reliability. Any action you take upon the information on this video is strictly at your own risk, and we will not be liable for any damages or losses. It is the viewer's responsibility to use judgment, care and precautions if one plans to replicate. The following video might feature activity performed by our actors within controlled environment - please use judgment, care, and precaution if you plan to replicate. All product and company names shown in the video are trademarks™️ or registered®️ trademarks of their respective holders. Use of them does not imply any affiliation with or endorsement by them.",157,2024-11-01,j2knQoveWeI
Мучительная смерть  HUAWEI Mate XT,5949,266481,Полный ролик блогера - https://youtu.be/PIun_aBsRMA?si=5pH7EBif7i4--0wTКик Обзор в телеграме : https://t.me/kikobzorМы в VK: https://vk.com/video/@kikobzorНаш контент можно смотреть в VK Видео:  https://goo.su/RmUtizРеклама и сотрудничество: kikobzor.work@gmail.com,191,2024-11-01,YII93V6qISs
Рутина: скука или путь к успеху?📈🦥#спорт #мотивация #блог,8473,155212,,153,2024-11-01,3cR4CIJestk
"Выполни Экстремальное Задание - Получи 300.000 Рублей! (Парадеич, Горилла, ФрамеТамер, Кокошка)",110530,2007694,"🚀 Играйте в Призополию от Т-Банка —https://l.tbank.ru/exileoct👫 Скачай приложение VK Знакомства по ссылке и получи PREMIUM-ПОДПИСКУ НА 7 ДНЕЙ В ПОДАРОК*:https://trk.mail.ru/c/d7db27?mt_sub1=Exile&erid=2VtzqwFS9PS* акция доступна только для новых пользователей до 17/12/2024🚗 Новые машины продаются на Авто.ру: https://auto.ru/s/ZRy63T📺 Скачай приложение VK Видео и смотри любимые видео: кино, сериалы, мультики, блоги, спорт https://vk.cc/cDDfLi?erid=2VtzquzsPyN___________________________________________________________________________________________________Сегодня в очередной раз я раздал 3 своим друзьям задания при выполнении которых они получат денежный приз. ✈️ Мой телеграмм со всеми видосами: https://t.me/exilemusic13👫 Участники:1) Задание Парадеича 🏃-Парадеич: https://t.me/paradeevich-Микки: https://t.me/mikkmovie2) Задание Гориллы 🚂-Горилла: https://t.me/danila_gorilla-ФрамеТамер: https://t.me/oieiei3) Задание Кокошки 👵-Кокошка: https://t.me/mister_kokoshka2-Влад Раговский: https://t.me/GABARITVLAD-Кукояка: https://t.me/kukoyaka-ИнстРина: https://t.me/inst_rinnaaРеклама. АО «ТБанк», ИНН 7710140679, лицензия ЦБ РФ № 2673 erid: LjN8JzcTA🤝 Сотрудничество - exilemusic98@gmail.com",5663,2024-11-01,vL0iwyeR1RI
MK8 + Smoke Silencer.Who needs this for Christmas? #toys #gelblasters #gelblasterguns #airsoft,187453,7863392,"Don't believe the winning news, they are fake messages sent by scammers pretending to be us!New Youtube Short rule: links in the comments section are not clickable.Please go to our official website through your browser:theluckylk.comOr click on my avatar to go to my channel's home page, where there is a direct link to our official website.",230,2024-11-01,rr-5nBgza_0
Я стал СЛИШКОМ СИЛЬНЫМ с самого начала и СЛОМАЛ игры / Булджать,43817,448265,"Пополняй Steam и покупай игры на FunPay: https://bit.ly/3C9HD7yТг Булджать: https://t.me/buldjВК:  https://vk.com/buldzhatДискорд:   / discord  Бусти: https://boosty.to/buldСтартовое оружие, зачастую, лишь способ получения оружия настоящего. Оно невзрачное, слабое, не интересное и не красивое. Стартовым оружием неинтересно  пользоваться и играть. Но так бывает не всегда. Иногда стартовое оружие это буквально все, что тебе нужно, чтобы дойти до финала. Иногда они эффективнее, чем самый разрушительный ракетомет в мире и имеют особенности, с которыми не сравнится ничто в вашем арсенале. Поэтому сегодня я расскажу вам о самых лучших стартовых оружиях, которые делают тебя настолько сильным, что ты можешь пройти игру до конца не почувствовать напряжения. Ведь с вами Булджать и мы начинаем! 00:00 - Стартовые пушки это слабость?1:16 - FunPay2:21 - Скрытый Клинок Assassins Creed4:33 - Плазменный Резак из Dead Space 7:11 - Эбонитовый Кинжал из TES Daggerfall10:40 - Электрошокер из Syphon Filter14:23 - Чегг из Turbo OverKill18:06 - Марксман Револьвер из Ultrakill21:25 -Cтартовые покемоны из Pokemon Red and Blue23:49 - Барик из Tyranny 27:36 - Факел и Кулак из Baldurs Gate 332:08 - На сегодня это всеЯ стал СЛИШКОМ СИЛЬНЫМ с самого начала и СЛОМАЛ игры / Булджать",2501,2024-11-01,jYAHz1PFews
Продолжение в unсте Nastia_Rizik,8228,137203,,80,2024-11-01,ILaeu2y3HAY
Я до тридцати не доживу... История Кати Огонек,25257,239062,"Здравствуйте, я Анна Ханна, и это подкаст о жизни и творческой судьбе певицы Кати Огонек, она же Кристина Пенхасова, она же Кристина Богданова. 24 октября исполнилось 17 лет со дня ее смерти, однако песни Кати до сих пор любят и поют. Почему она ушла из жизни так рано? В чем загадка ее огромной популярности? Можно ли стать «второй Катей», и стоит ли становиться?Вспомним талантливую и яркую исполнительницу. Светлая память Кристине-Кате!Все, о чем я говорю на канале, является моим субъективным мнением, и не факт, что я права. Материалы, которыми пользуюсь при подготовке подкастов, взяты исключительно из открытого доступа. Ссылка на канал Леры Огонек, дочери певицы:  https://www.youtube.com/@%D0%9B%D0%B5%D1%80%D0%B0%D0%9E%D0%B3%D0%BE%D0%BD%D0%B5%D0%BA%D0%BE%D1%84%D0%B8%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB",3696,2024-11-01,Xtesbfqo8mQ
Мой тг: Подвал Стинта #стинт #stint #stintik,37955,626246,YouTube - https://www.youtube.com/@TheStintGamesTwitch - https://www.twitch.tv/stintikTG - https://t.me/thestintVK - https://vk.com/thestintTikTok - https://www.tiktok.com/@thestint,1877,2024-11-01,YZdFx1blC5I
