ID,Data_de_criacao
UC1G9pwKwx9RpFwSohdkmhxA,2013-06-22
UCZGYJFUizSax-yElQaFDp5Q,2005-08-27
UCWOA1ZGywLbqmigxE4Qlvuw,2012-07-17
UCurpiDXSkcUbgdMwHNZkrCg,2006-01-30
UCXCLaaClAWQiTkl3pw9ZdLw,2019-02-22
UCXCLaaClAWQiTkl3pw9ZdLw,2019-02-22
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UCqwxMqUcL-XC3D9-fTP93Mg,2014-02-16
UCj1EfO3tUyVxOPnWlyKCBBQ,2023-06-05
UCoLrcjPV5PbUrUyXq5mjc_A,2005-12-25
UCSdma21fnJzgmPodhC9SJ3g,2015-11-24
UCFLI6KAjrKRtydD7KqiYvAw,2020-03-05
UCLc_ZQgQ8h2XKUAQpqcvIdw,2020-02-25
UCPD_bxCRGpmmeQcbe2kpPaA,2014-02-28
UChpKl3waLmccNeYH9LGYjUQ,2013-09-17
UCIWB3DlhYMzxj1LT-OlqeWw,2016-05-19
UCOsATJw-IZgqGT8MFrHjKGg,2016-02-09
UCWsDFcIhY2DBi3GB5uykGXA,2016-03-21
UCt-GOpCw4dOBlIyqL9A1ztA,2008-05-31
UC-g_O9HWb5B0rVDG1hLd5Hw,2012-03-16
UCvayv7u6HrpENlleXekJ2fg,2011-09-13
UC4rqhyiTs7XyuODcECvuiiQ,2012-11-08
UClOGLGPOqlAiLmOvXW5lKbw,2011-12-04
UCeU5qTuBiqTU5z-hyL6WITQ,2012-07-17
UCpx2BZg8ABgaDV50sGJtWAg,2006-09-19
UCodbH5mUeF-m_BsNueRDjcw,2011-04-07
UCQ-YJstgVdAiCT52TiBWDbg,2010-07-06
UCDSJCBYqL7VQrlXfhr1RtwA,2012-04-04
UCDVYQ4Zhbm3S2dlz7P1GBDg,2014-12-14
UCEU5ZK7DwN9ppqPFJiGah3A,2015-09-26
UCt7fwAhXDy3oNFTAzF2o8Pw,2009-01-21
UCs-w7E2HZWwXmjt9RTvBB_A,2016-04-03
UCF_fDSgPpBQuh1MsUTgIARQ,2011-07-13
UCFN4JkGP_bVhAdBsoV9xftA,2018-10-23
UCZtjRzC4fFimZ2Y-nhn8Cig,2023-01-24
UC33-OkQ6VCYk8xtml8Pk4-g,2006-05-08
UCqwxMqUcL-XC3D9-fTP93Mg,2014-02-16
UCBrMq7wkdPWb3PxR-GUR61A,2013-01-31
UC07Kxew-cMIaykMOkzqHtBQ,2009-05-12
UCvC4D8onUfXzvjTOM-dBfEA,2005-06-16
UCD1Em4q90ZUK2R5HKesszJg,2013-01-31
UCBjiLLFSINNtaQr_X4fRLrg,2015-07-02
UCCxF55adGXOscJ3L8qdKnrQ,2012-11-19
UCqTYHSnBUXZamsVcOlQf-fg,2013-01-25
UCWZmCMB7mmKWcXJSIPRhzZw,2008-02-17
UCFDsxSlQXpLLpVScy2NmbcQ,2012-06-20
UCHnyfMqiRRG1u-2MsSQLbXA,2010-07-21
UCpi8TJfiA4lKGkaXs__YdBA,2018-05-23
UCE5jd0TxC2My2rQwki9Z7Bg,2009-09-04
UCdEczn3MVkx_4PnMZ10MVFA,2016-09-08
UCw1SQ6QRRtfAhrN_cjkrOgA,2015-01-04
UC33-OkQ6VCYk8xtml8Pk4-g,2006-05-08
UC9YydG57epLqxA9cTzZXSeQ,2006-01-17
UCdJdEguB1F1CiYe7OEi3SBg,2010-09-01
UCpUjuM2JxUfQxFe9ieyEVpg,2024-01-09
UC2C_jShtL725hvbm1arSV9w,2010-08-12
UCm3T3KS21z4d77tt081bVRQ,2022-11-09
UCNEmh_EFKWAu5Bujy6QGeXw,2013-01-25
UCiGnwS3OVEuqbc78ELEFDeQ,2021-04-23
