Pais_Codigo,Video_ID,Video_Snapshot_Data
US,3-PVx_H7p-I,2024-11-01
US,f19gfOMZTtg,2024-11-01
US,lQBmZBJCYcY,2024-11-01
US,XpSdD63j7Y4,2024-11-01
US,kliFaScJfTg,2024-11-01
US,h9CGQsk8Ndk,2024-11-01
US,Zp-Jhuhq0bQ,2024-11-01
US,D7F42F_JM3U,2024-11-01
US,F3UVBS1V3U4,2024-11-01
US,j3ykZoQMJLI,2024-11-01
US,LZzubS1ILTs,2024-11-01
US,6CvT_1tOrlY,2024-11-01
US,vrkzCbUCRNU,2024-11-01
US,amZ3fANPGIE,2024-11-01
US,6_SsGMeJIHk,2024-11-01
US,TCUqH8CFDxA,2024-11-01
US,kzw-qZMYdqU,2024-11-01
US,c70s8ux50lQ,2024-11-01
US,g3UTptQz-JI,2024-11-01
US,Q_wVrsX7aqE,2024-11-01
US,ZHyJotwNoAo,2024-11-01
US,Qx88zndTGp8,2024-11-01
US,-awto63GqPs,2024-11-01
US,NMjhjrBIrG8,2024-11-01
US,T_UMKggEkUI,2024-11-01
US,J8orRDSOiiw,2024-11-01
US,PNR_6TkduPk,2024-11-01
US,2c_L-gI_RE8,2024-11-01
US,QlPsuIkg6k0,2024-11-01
US,_7ZuqNdDc5Q,2024-11-01
US,U3E2a3fUGAE,2024-11-01
US,NYPo88BjOIU,2024-11-01
US,2kjolTLZ_Mg,2024-11-01
US,VLPgxODl8Rw,2024-11-01
US,T3rnBuSTNhY,2024-11-01
US,fDhHARR_8eY,2024-11-01
US,DrSfBULAsek,2024-11-01
US,lWLp_ptADNU,2024-11-01
US,fmC6b6_ovZY,2024-11-01
US,yM7ECLIhsAc,2024-11-01
US,8jf2hNiBKYs,2024-11-01
US,KJ0TuwmSgiw,2024-11-01
US,HosgJo6cwX0,2024-11-01
US,QGY-YUkN2Nc,2024-11-01
US,xk5c93yilio,2024-11-01
US,5TlxFXFi8UU,2024-11-01
US,Q10_srZ-pbs,2024-11-01
US,OqQOkUzQDWY,2024-11-01
US,P7rgrpKiXZY,2024-11-01
US,I4BYYKOpMa0,2024-11-01
US,CGoN-thr5sI,2024-11-01
US,z1tJCKnx3s4,2024-11-01
US,t6ukMUq-iQQ,2024-11-01
US,BBWL2uVqcW4,2024-11-01
US,eU93Scywq4g,2024-11-01
US,xfPKwJ7Qukc,2024-11-01
US,2G9Wu6IKNy8,2024-11-01
US,2GOmDqJA5wI,2024-11-01
US,IXtSluGSteU,2024-11-01
US,eknj5_0tF2s,2024-11-01
US,CIdUQxDlYW4,2024-11-01
US,hCcwCv3G1FQ,2024-11-01
US,TtFm9n3NVzE,2024-11-01
US,8o2Wb5FNRPE,2024-11-01
US,f5-h2EjrIPE,2024-11-01
US,9vZVDUjWerI,2024-11-01
US,oUV-u7CRyKE,2024-11-01
US,Pwwl-MwJLxQ,2024-11-01
US,QF-Kd2BBpx8,2024-11-01
US,KuiDgC_crD0,2024-11-01
