ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
3-PVx_H7p-I,UC1G9pwKwx9RpFwSohdkmhxA,2024-11-01,24
f19gfOMZTtg,UCZGYJFUizSax-yElQaFDp5Q,2024-11-01,24
lQBmZBJCYcY,UCWOA1ZGywLbqmigxE4Qlvuw,2024-10-31,24
XpSdD63j7Y4,UCurpiDXSkcUbgdMwHNZkrCg,2024-11-01,10
kliFaScJfTg,UCXCLaaClAWQiTkl3pw9ZdLw,2024-10-31,24
h9CGQsk8Ndk,UCXCLaaClAWQiTkl3pw9ZdLw,2024-10-31,24
Zp-Jhuhq0bQ,UCqwUnggBBct-AY2lAdI88jQ,2024-11-01,22
D7F42F_JM3U,UCqwxMqUcL-XC3D9-fTP93Mg,2024-11-01,10
F3UVBS1V3U4,UCj1EfO3tUyVxOPnWlyKCBBQ,2024-11-01,10
j3ykZoQMJLI,UCoLrcjPV5PbUrUyXq5mjc_A,2024-10-31,17
LZzubS1ILTs,UCSdma21fnJzgmPodhC9SJ3g,2024-10-31,23
6CvT_1tOrlY,UCFLI6KAjrKRtydD7KqiYvAw,2024-11-01,10
vrkzCbUCRNU,UCLc_ZQgQ8h2XKUAQpqcvIdw,2024-11-01,20
amZ3fANPGIE,UCPD_bxCRGpmmeQcbe2kpPaA,2024-10-31,24
6_SsGMeJIHk,UChpKl3waLmccNeYH9LGYjUQ,2024-11-01,10
TCUqH8CFDxA,UCIWB3DlhYMzxj1LT-OlqeWw,2024-11-01,2
kzw-qZMYdqU,UCOsATJw-IZgqGT8MFrHjKGg,2024-11-01,23
c70s8ux50lQ,UCWsDFcIhY2DBi3GB5uykGXA,2024-10-31,20
g3UTptQz-JI,UCt-GOpCw4dOBlIyqL9A1ztA,2024-10-31,1
Q_wVrsX7aqE,UC-g_O9HWb5B0rVDG1hLd5Hw,2024-11-01,20
ZHyJotwNoAo,UCvayv7u6HrpENlleXekJ2fg,2024-10-31,24
Qx88zndTGp8,UC4rqhyiTs7XyuODcECvuiiQ,2024-10-31,20
-awto63GqPs,UClOGLGPOqlAiLmOvXW5lKbw,2024-10-31,20
NMjhjrBIrG8,UCeU5qTuBiqTU5z-hyL6WITQ,2024-10-31,22
T_UMKggEkUI,UCpx2BZg8ABgaDV50sGJtWAg,2024-11-01,20
J8orRDSOiiw,UCodbH5mUeF-m_BsNueRDjcw,2024-10-31,27
PNR_6TkduPk,UCQ-YJstgVdAiCT52TiBWDbg,2024-10-31,24
2c_L-gI_RE8,UCDSJCBYqL7VQrlXfhr1RtwA,2024-10-31,26
QlPsuIkg6k0,UCDVYQ4Zhbm3S2dlz7P1GBDg,2024-11-01,17
_7ZuqNdDc5Q,UCEU5ZK7DwN9ppqPFJiGah3A,2024-10-31,10
U3E2a3fUGAE,UCt7fwAhXDy3oNFTAzF2o8Pw,2024-10-31,10
NYPo88BjOIU,UCs-w7E2HZWwXmjt9RTvBB_A,2024-10-31,20
2kjolTLZ_Mg,UCF_fDSgPpBQuh1MsUTgIARQ,2024-10-31,10
VLPgxODl8Rw,UCFN4JkGP_bVhAdBsoV9xftA,2024-10-31,17
T3rnBuSTNhY,UCZtjRzC4fFimZ2Y-nhn8Cig,2024-10-30,10
fDhHARR_8eY,UC33-OkQ6VCYk8xtml8Pk4-g,2024-10-19,17
DrSfBULAsek,UCqwxMqUcL-XC3D9-fTP93Mg,2024-11-01,10
lWLp_ptADNU,UCBrMq7wkdPWb3PxR-GUR61A,2024-10-31,20
fmC6b6_ovZY,UC07Kxew-cMIaykMOkzqHtBQ,2024-10-30,10
yM7ECLIhsAc,UCvC4D8onUfXzvjTOM-dBfEA,2024-10-30,24
8jf2hNiBKYs,UCD1Em4q90ZUK2R5HKesszJg,2024-10-31,20
KJ0TuwmSgiw,UCBjiLLFSINNtaQr_X4fRLrg,2024-10-31,20
HosgJo6cwX0,UCCxF55adGXOscJ3L8qdKnrQ,2024-10-30,17
QGY-YUkN2Nc,UCqTYHSnBUXZamsVcOlQf-fg,2024-10-30,24
xk5c93yilio,UCWZmCMB7mmKWcXJSIPRhzZw,2024-10-30,24
5TlxFXFi8UU,UCFDsxSlQXpLLpVScy2NmbcQ,2024-10-30,20
Q10_srZ-pbs,UCHnyfMqiRRG1u-2MsSQLbXA,2024-10-29,27
OqQOkUzQDWY,UCpi8TJfiA4lKGkaXs__YdBA,2024-10-30,23
