ID,Data_de_criacao
UC_RJl9jP_UVSmULyIAdnv3g,2017-06-08
UCXg4rJUbDP1IP3TmZ9KDpJg,2018-12-17
UCS4EH6UV7X4g8GqYaO0WPwQ,2024-02-21
UCx18ywTcohtS9lpNXt8noWQ,2007-02-26
UCedZvSQVma70F1O67NOuYZw,2013-11-12
UCTv-XvfzLX3i4IGWAm4sbmA,2006-07-13
UCcVlJCxIqvZowxxzxY2QXEA,2023-10-11
UCdv4wK9U_ZH-yvejS_ZOEvg,2021-12-08
UCja7QUMRG9AD8X2F_vXFb9A,2017-04-13
UCb8vrqP8Z7Oz9ZTYvUtjUHQ,2009-03-11
UCvPlf2Qs7dGbgBjXNa_noCA,2020-06-29
UCRnSnAq44St3dzNdgPpfChA,2014-11-13
UC6ILA0ufdGI_RxNIj2-aSFw,2022-07-25
UCfSIpNUO7Jr3prkLqtj2G6Q,2024-06-10
UCQPMKK3ZuDep5FaCUJQYzQA,2024-03-16
UCivWNaA6I_clqBZ_1KCwNHA,2020-12-03
UCzi1cjtEXE74u2dTXiJeb9A,2023-12-06
UCblfuW_4rakIf2h6aqANefA,2006-09-23
UCAC00PLdaZTdQq5RuJs-NpA,2023-05-12
UCzQUP1qoWDoEbmsQxvdjxgQ,2013-01-12
UCxc3OEfW443WRjYSGFITwRA,2023-07-10
UCnQWRzqPuCpOw0aJ4HwQjIQ,2013-02-01
UCSgue5Dm418CCUCZ-aeUtEA,2022-10-07
UCl2vI5yLr6gKqfrovexHzTA,2023-01-02
UCptS0fmTEUlGcDSFiTbRsQg,2018-02-18
UCMY6MUelcrXGz5rk4Kyb09w,2021-03-23
UCdPui8EYr_sX6q1xNXCRPXg,2010-10-10
UCx18ywTcohtS9lpNXt8noWQ,2007-02-26
UCedZvSQVma70F1O67NOuYZw,2013-11-12
UCVhoKlfJtHesO0m5rlw7-5Q,2015-09-25
UCChueHq0vtAIDSEgq4GKbSw,2010-06-01
UCixexRrgWKp8lC-oW1s2RcQ,2021-04-15
UCyGlHNYIsiXV47jUbvYA5DQ,2024-06-13
UCYmz7Jj0lJvyKKRKF5fJNMA,2024-05-30
UCvz-0L3eEcpwFjL0WSzKS8A,2017-06-19
UCVVMMNVUwHbxljqi-xZ-jig,2019-05-07
UCja7QUMRG9AD8X2F_vXFb9A,2017-04-13
UCkzCjdRMrW2vXLx8mvPVLdQ,2009-07-07
UCuYuDPGBlNREcNXy5cK02Qw,2010-04-05
UCDom90xOqP4avehFjSJO6NA,2007-06-14
UCJhmn-3wZV5BmwDFU9BLLIg,2018-01-14
UCcVlJCxIqvZowxxzxY2QXEA,2023-10-11
UC-sm0NsZ5p_q4xGlE--tHuA,2020-07-15
UCX6OQ3DkcsbYNE6H8uQQuVA,2012-02-20
UC371icpvZj2oQaocL0i9L-g,2013-03-02
UCQBzn-XGeA4sq9kB8Gl8iHg,2017-02-18
UCL4IdfbWMWMByRCKry6mh6g,2019-09-19
UCewLFfj2wHp-uHIEUBho_7w,2024-09-16
UC0V3bLajPuERuKwVvGbgtIQ,2017-06-08
UC70Dib4MvFfT1tU6MqeyHpQ,2012-07-04
UC56D-IHcUvLVFTX_8NpQMXg,2009-08-01
UC_DDFOVGuzJ0TFcu76yySwQ,2024-01-19
UCRjvaqLNbo1LOWpI3_LpWgQ,2015-10-21
UCY1kMZp36IQSyNx_9h4mpCg,2011-10-20
UCdv4wK9U_ZH-yvejS_ZOEvg,2021-12-08
UCnmGIkw-KdI0W5siakKPKog,2013-10-27
UCw5YxE7atFwRHxIfFYwgwpw,2018-01-16
UCedZvSQVma70F1O67NOuYZw,2013-11-12
UCSnwORddxZG1SyB8lSxWQGg,2010-07-18
UCXqlds5f7B2OOs9vQuevl4A,2018-06-20
UC_zEzzq54Rm0iy7lmmZbCIg,2010-08-12
UCVhoKlfJtHesO0m5rlw7-5Q,2015-09-25
UCB-7LMovHmwxVK1FfNvKHFQ,2021-03-08
UCvIBdvu7jGcuA_hH7EQPYdA,2024-03-23
UCgCxH6eLRIpt6AT4LZi1yHw,2021-03-08
UCMsPm8-25ygqRrRe9_s1WFw,2021-09-28
UCyeVfsThIHM_mEZq7YXIQSQ,2013-05-06
UCl2q6-OZIKZFxRi8fyVnL0g,2020-11-13
UCXg4rJUbDP1IP3TmZ9KDpJg,2018-12-17
UCgqy_Kgctp5quGUsvIyqKVw,2019-12-24
UCZqdOY__IvB4KTamz363ouA,2007-01-28
UCb9A6uotqUiuVCvVp4GMqOg,2006-08-25
UCnc6db-y3IU7CkT_yeVXdVg,2007-03-16
UCvz84_Q0BbvZThy75mbd-Dg,2021-06-07
UCVhoKlfJtHesO0m5rlw7-5Q,2015-09-25
UC2xBh2nwvOwBqnA1tEbPCZw,2015-07-29
UC_F3i4sHKon8CwRxvU-SNhA,2014-04-20
UCcxgmvpPDdK5iB_Wwe8Qt2g,2024-09-26
UCwp2j4jLXYRZeN6ZaqYZx9g,2023-03-08
UCG7baC-AN8aaIEWQU3D1mYQ,2022-01-13
UCzU8-lZlRfkV3nj0RzAZdrQ,2014-02-19
UC_Np5NHrORbF6wbRVZjMHtg,2024-03-21
UCTvRiVIuudT0GbsVdvh9k0A,2024-04-12
