Titulo,Numero_de_videos,Descricao,Imagem_de_perfil,Numero_de_visualizacoes,Link,Numero_de_inscritos,Data,Canal_ID,Pais_codigo
Wanitwa Mos Entertainment,109,"The official channel for Wanitwa Mos Entertainment.Founded by the award winning South African producer Master KG.Home to hits from Nkosazana Daughter, Lowsheen, Mawhoo, Master KG, Casswell P Charlotte Lyf and DJ Ngwazi,Thenjiwe,Deejay Kgosi,Drama Drizzy,King Temoso,Lwami,Poular D Musiq",https://yt3.ggpht.com/7XlnXJBRqukECMPy1l2G6ej-I4heNNW4vcA3XlLFOfyk4baYw1VH5akecl3ADhijaHcLp56U5g=s88-c-k-c0x00ffffff-no-rj,440359276,https://www.youtube.com/channel/UC_RJl9jP_UVSmULyIAdnv3g,896000,2024-11-01,UC_RJl9jP_UVSmULyIAdnv3g,ZA
Brianna,816,"Hey, y’all!I’m so happy you found me! A little about me: I’ve always had a passion for spreading joy and love to others, and I’m super excited to be doing so with all of y’all — my YouTube family!If you’re a fan and want to talk to me, please join the Fire Nation Discord (discord.gg/Preston) or tweet me @BriArsement.Please send all business inquiries to: partnerships@tbnr.work.“Kindness is free, sprinkle that stuff everywhere.” 🙂",https://yt3.ggpht.com/ytc/AIdro_l_9syj7X4AfEd7dwqMu1Ti_v2ziQGyW0iORp8YyW_njg0=s88-c-k-c0x00ffffff-no-rj,6354991580,https://www.youtube.com/channel/UCXg4rJUbDP1IP3TmZ9KDpJg,15900000,2024-11-01,UCXg4rJUbDP1IP3TmZ9KDpJg,US
Fox Movie,409,"Hello everyone, this is Fox Movies! We love movies, and here we explain and review them in our own way, helping you understand them better and adding a touch of humor to the videos. We work hard to make sure we produce the best content for our viewers. Thank you for your support!",https://yt3.ggpht.com/K9muXFxZBMrcGjeqG7uVRuxyaWLJQhhYrcUpXxcLHKA1zwVHlPKbtdhuhkr2pgcnGr3SYXR1=s88-c-k-c0x00ffffff-no-rj,89322853,https://www.youtube.com/channel/UCS4EH6UV7X4g8GqYaO0WPwQ,186000,2024-11-01,UCS4EH6UV7X4g8GqYaO0WPwQ,US
Omar Raja - ESPN,3779,The best place for behind the scenes content in sports! Business: workwith@omarraja.com🔥 Now at ESPN📱Founder of House of Highlights,https://yt3.ggpht.com/GgWunh8IHH5trp1b84O-ZnK19V-Rb9KZF2WUQMnyP_30_t3JhXumu5pPB_aWle-8sfURrIiSYg=s88-c-k-c0x00ffffff-no-rj,23696074293,https://www.youtube.com/channel/UCx18ywTcohtS9lpNXt8noWQ,14100000,2024-11-01,UCx18ywTcohtS9lpNXt8noWQ,US
MDM Sketch Comedy,409,"🇿🇦 Mthandeni Mahlaba is a comedian, filmmaker Animator, writer and an actor. Subscribe to see more!!!",https://yt3.ggpht.com/71460mLcSYIw0fAFC78kfoSpNE3lQBx3EusEAiE3gHeE6kqx3erBNCRthgpH1ms-tbnRnSKN=s88-c-k-c0x00ffffff-no-rj,362924690,https://www.youtube.com/channel/UCedZvSQVma70F1O67NOuYZw,1070000,2024-11-01,UCedZvSQVma70F1O67NOuYZw,ZA
LALIGA EA SPORTS,47973,⚽ LA FUERZA DE NUESTRO FÚTBOL ⚽,https://yt3.ggpht.com/-Fi-CQxW3cOqLTh4YL_WFWKS552wRNNTTQl_EqX4YvdolvRKThjkoZ8q30Jon_RMW3FL7kdVrQ=s88-c-k-c0x00ffffff-no-rj,3629473224,https://www.youtube.com/channel/UCTv-XvfzLX3i4IGWAm4sbmA,11500000,2024-11-01,UCTv-XvfzLX3i4IGWAm4sbmA,ES
Recap Mood,1033,"Welcome to the official Shorts channel for Recap Mood! We love narrating videos, mostly DIY ones. Come in, learn new stuff and have fun with us 😬Thanks for watching!  ",https://yt3.ggpht.com/Gt-t0Pwz3ebgemqjEmZ1Mhei98uUUmH3Glhznw2BOXxP_IoOscjmTxAB1NR8H1zZ0CCVvOjU=s88-c-k-c0x00ffffff-no-rj,273433346,https://www.youtube.com/channel/UCcVlJCxIqvZowxxzxY2QXEA,406000,2024-11-01,UCcVlJCxIqvZowxxzxY2QXEA,US
MasomkaMagic  ,1352,masomkamagic1@gmail.com - for advertisement   Masomka@163.com For business from mainland China (only),https://yt3.ggpht.com/BVg-9nimG2d5qjM1pt7_tpTswT9f4hpEgCrBcZEqvzcsxzYUR7Zv7Kt6FLgdot4RfZwGIQc0jg=s88-c-k-c0x00ffffff-no-rj,788248862,https://www.youtube.com/channel/UCdv4wK9U_ZH-yvejS_ZOEvg,3320000,2024-11-01,UCdv4wK9U_ZH-yvejS_ZOEvg,US
The Royalty Family,796,"Welcome To THE #ROYALTY FAMILY Youtube Channel. We are a modern blended family based in Los Angeles that love to entertain you. We believe in family, fun, Love and are passionate about fashion, comedy and culture. Join us every week in sharing the good times of Andrea, Ali Saleh, Ferran and our Chihuahua Princesa. Best of all, we believe everyone can be ROYALTY so don’t forget to SUBSCRIBE!!FOR BUSINESS INQUIRIES EMAIL HERE  ➡ Royaltyfambusiness@gmail.com",https://yt3.ggpht.com/4bd4uTnsLgMv5x1eRrEfh8bu_7Wf45rkrbsteMs06f2r4SEj0smqML32Ub3pHihsgnk_hWSv=s88-c-k-c0x00ffffff-no-rj,8940007096,https://www.youtube.com/channel/UCja7QUMRG9AD8X2F_vXFb9A,26800000,2024-11-01,UCja7QUMRG9AD8X2F_vXFb9A,US
Daniel LaBelle,359,"Daniel LaBelle is running campaign is happening. Join here! https://www.daniellabelle.comI specialize in creating short physical comedy videos with the hope of uplifting you and giving you smiles!I love the art of non verbal communication. It's incredible how much can be said without speaking a word.Some of the great comedians who have inspired me are Rowan Atkinson, Curly Howard (from the three stooges), Lou Costello, and Jim Carrey.PHYSICAL MAIL:Daniel LaBellePO Box 580101Pleasant Prairie, WI 53158",https://yt3.ggpht.com/YgDUp29Qc8jkz51j6-dJSAorByeMiyMb1_eCyl_yPBHOmR55RH_EJvlz4oUBjWDJjp49uztkYw=s88-c-k-c0x00ffffff-no-rj,19091403215,https://www.youtube.com/channel/UCb8vrqP8Z7Oz9ZTYvUtjUHQ,32800000,2024-11-01,UCb8vrqP8Z7Oz9ZTYvUtjUHQ,ZZ
Appel,31,"Christoph Kotze, bekend as Appel, het in die afgelope dekade ’n prominente plek in die Suid-Afrikaanse musiekbedryf verower. Sy loopbaan is gemerk deur diep gewortelde treffers in die Afrikaanse musiekgeskiedenis en hy is as ’n gewilde musikant en sanger landwyd gereken.Sy reis na bekendheid het begin met die debuutalbum “Lei My Na Die Water” in 2017, wat dadelik ’n nommer een treffer op radiostasies geword het. Die inspirasie vir die titelsnit het voortgespruit uit ’n persoonlike ervaring in die hospitaal, waar sy vrou Sally-Ann ’n sterk steun was. Hierdie album is uitgereik met ’n trilogie van musiekvideo’s wat sy persoonlike stryd en oorwinning simboliseer.Appel se tweede album, “Boer Loop Deur My Are”, het ook groot sukses geniet en sy posisie in die musiekbedryf verstewig. Die titelsnit was ’n YouTube-sensasie en ’n treffer op radiostasies. Sy derde album, “Patriot”, eer sy Afrikaner kultuur deur ’n verskeidenheid emosionele boodskappe.",https://yt3.ggpht.com/EKNXQN2HyzUPtIfv4E0Nw6x-2vCC18Fkwh1c41wu1y6PSb6ZIrnYiwu77gMbGxF0k4id45JL=s88-c-k-c0x00ffffff-no-rj,123287828,https://www.youtube.com/channel/UCvPlf2Qs7dGbgBjXNa_noCA,69800,2024-11-01,UCvPlf2Qs7dGbgBjXNa_noCA,ZA
Bondi Vet,1946,"Bondi Vet is your ultimate content destination for all things pet and vet. Including full episodes, stories, compilations and clips from the world's favourite vet series. See life changing surgeries, rescue stories and all manner of animals great and small, weird and wonderful! Whether you’re a dog person, a cat fanatic or just simply love all animals, there is guaranteed to be something for you. From the beaches of Bondi, to the streets of London by way of Atlanta our dedicated team of Bondi vets include Dr Kate Adams, Dr Scott Miller, Dr Alex Hynes, Dr Danni Dusek and many more! Plus catch plenty of classic stories from legendary Australian vets Dr Chris Brown, Dr Lisa Chimes and Dr Andrew Marchevsky. Make your world a better place and subscribe today! Join Our Membership for exclusive content, live streams and more: https://www.youtube.com/@BondiVet/join Looking for content and advice for your pet? Head to our platform bondivet.com.",https://yt3.ggpht.com/ytc/AIdro_mHl9P9X_FCxsx2AT7SJOk-0P2YDrMQJDvdIT4D-qiDgaY=s88-c-k-c0x00ffffff-no-rj,560294762,https://www.youtube.com/channel/UCRnSnAq44St3dzNdgPpfChA,1620000,2024-11-01,UCRnSnAq44St3dzNdgPpfChA,AU
Hey It's Honeysuckle,995,"Buy my Cookbook! https://amzn.to/3Cj0X05Subscribe to my Main Channel: https://www.youtube.com/honeysuckleInstagram: http://instagram.com/honeysuckle/Want me to try your Gadget? Send your tool or gadget to this address for a chance of having it on a video!Dzung Lewis (Honeysuckle)1048 Irvine Ave #203Newport Beach, CA 92660",https://yt3.ggpht.com/b_-HbEWTazuDST_LMnhOA-UfUl7dKRS5C4m615w1V5bI8gH6WCx7b4E3OYeRN_ELd50kDsUhIQ=s88-c-k-c0x00ffffff-no-rj,1733685568,https://www.youtube.com/channel/UC6ILA0ufdGI_RxNIj2-aSFw,1810000,2024-11-01,UC6ILA0ufdGI_RxNIj2-aSFw,US
مهارات حرفية,528,هذا هو القناة الرسمية لشورتات Crafty Buddyالقناة الرسمية لمقاطع الفيديو القصيرة من مهارات حرفية. مرحباً بكم في عالم الحرف والأشغال اليدوية المبتكرة والتصليحات المتنوعة، سنتعلم معاً كيف ننجزها بأنفسنا.,https://yt3.ggpht.com/hVonCtAVe-fzr34g84vuFlZOaOMb1JOWa7ewNtvebPT1REik68fU7Em56BV1Z-z8Petz8qsIXJA=s88-c-k-c0x00ffffff-no-rj,205260292,https://www.youtube.com/channel/UCfSIpNUO7Jr3prkLqtj2G6Q,364000,2024-11-01,UCfSIpNUO7Jr3prkLqtj2G6Q,US
路飞与唐舞桐,1140,"Dress up the role of One Piece, with the animation set to interpret modern funny plot, YouTube partners hello!I'm Luffy and Tang Wutong, officially on YouTube, the only authorized channel on this channelOther channels are piracy, fight piracy, start from me ~One Piece has millions of fans, half of them LuffyDress up as One Piece character and perform modern funny plot with anime setTo bring you happiness every day, remember to watch my videos on timeOuch!Subscribe quickly, Luffy and Tang Wutong are waiting for you ~___________________________________________________________________________________________装扮海贼王角色，以动漫人设演绎现代搞笑剧情，油管的伙伴们大家好!我是路飞与唐舞桐，正式入驻油管了，此频道唯一授权频道其他频道皆为盗版，打击盗版，从我做起~海贼王粉丝千千万，路飞家的占一半装扮海贼王角色，以动漫人设演绎现代搞笑剧情每天带给你们开心快乐	，要记得准时收看我的影片哦!赶紧订阅，路飞与唐舞桐在等你~",https://yt3.ggpht.com/7l2fm1pBqDnv71JGxeU2a3tkg4gVRKz14KuvowiUPJtZvPmTN3SA7tfALV9B6KbzHvPXWJ91=s88-c-k-c0x00ffffff-no-rj,5634562233,https://www.youtube.com/channel/UCQPMKK3ZuDep5FaCUJQYzQA,6390000,2024-11-01,UCQPMKK3ZuDep5FaCUJQYzQA,HK
Babalwa M,16,"Welcome to the official channel of Babalwa M.  This gifted singer started like many, in the church. She eventually joined forces with Kelvin Momo in 2020 and released an E.P titled Bayeke including the very popular song titled Feza. Babalwa M’s sound is focused on Afro-soul and House, each song that she releases has an impactful and positive life message. This combined with her effervescent and yet versatile voice makes this rising star someone to look out for. Be sure to subscribe to her channel and connect with her on other socials to get the latest updates.Contact: babalwa_m@yahoo.com",https://yt3.ggpht.com/FQhs6EQb88RR5sM--WRpLNKZ_gHVxj4o4YD-2rwrajDND-tVGqSYfin0vwZV0nBW45HxHCo9Yw=s88-c-k-c0x00ffffff-no-rj,28151566,https://www.youtube.com/channel/UCivWNaA6I_clqBZ_1KCwNHA,63600,2024-11-01,UCivWNaA6I_clqBZ_1KCwNHA,ZA
超人夫妇,1807,Record every moment of life and convey positive energyHello~Hello everyone~✦This is the Superman couple✦American comics have millions of fansSuperman couple account for halfInterpretation of modern comedy plotBring you happiness every dayRemember to watch my videos on time!,https://yt3.ggpht.com/SpO7OE3srdVXZON6q0ve9maCr0BcbxGAZzLN8aqn9GOwe73Qi70TfMfoDiR8xqplaCGwSWIbWoM=s88-c-k-c0x00ffffff-no-rj,3392040018,https://www.youtube.com/channel/UCzi1cjtEXE74u2dTXiJeb9A,6190000,2024-11-01,UCzi1cjtEXE74u2dTXiJeb9A,HK
Red Bull,6364,"Experience the world of Red Bull like you have never seen it before, with the best action sport videos on YouTube.You can watch plenty more on http://redbull.com ",https://yt3.ggpht.com/ytc/AIdro_ntzEIHdSENlbDNZ-fCEiq1QOp5zXKse-IWS_ChovPRn8A=s88-c-k-c0x00ffffff-no-rj,12505112517,https://www.youtube.com/channel/UCblfuW_4rakIf2h6aqANefA,19900000,2024-11-01,UCblfuW_4rakIf2h6aqANefA,AT
Archie5 Reacts,980,"Discover, Explore, React! Join our channel for a whirlwind of mind-blowing experiments, amazing life-hacks, and hilarious reactions to viral videos. Get ready to be entertained, enlightened, and amazed all in one place!For brand partnership enquires: https://www.thesoul-publishing.com/partnerFor collabs: https://www.thesoul-publishing.com/partner",https://yt3.ggpht.com/lxL4SBIkFgOYBFm8LnwIITJKK7RS8C6Htw4Kw53qhsDrvh7Ac2t2QQz1vH60ZhxnTd9dYUz1ri0=s88-c-k-c0x00ffffff-no-rj,589061051,https://www.youtube.com/channel/UCAC00PLdaZTdQq5RuJs-NpA,675000,2024-11-01,UCAC00PLdaZTdQq5RuJs-NpA,US
PowerfulJRE,3297,The Joe Rogan Experience podcast,https://yt3.ggpht.com/ytc/AIdro_kf3qwg9_tCqnvEjOnu2TeKh7sW2pciWWxCxWl4G2ETXT0=s88-c-k-c0x00ffffff-no-rj,5578367272,https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,18100000,2024-11-01,UCzQUP1qoWDoEbmsQxvdjxgQ,ZZ
整个路人,1076,哈嘍，這裡是整個路人👻 🌟爆笑整蠱分分鐘讓你笑到停不下來👇精彩必看👇人從眾挑戰：https://www.youtube.com/playlist?list=PLO0ed6zZJZY7GRdrvg3JTwSfzEcQMzPe0極限挑戰：https://www.youtube.com/playlist?list=PLO0ed6zZJZY7QRnZrjPv27q-P5hKWZ0cA熱門shorts：https://www.youtube.com/playlist?list=PLO0ed6zZJZY5KUJkb2jAYMZrgp5s9Yhfb“瘋狂的BGM系列” 抖音首創作者創作不易，抄襲必究！關注學套路，錯過肯定後悔！如有盜版可留言，感謝支持！,https://yt3.ggpht.com/i3pyQxtJog7OiZX1iOj8BmEiHD0eLaO_oELqUhs-CrHte_kMr4Oq0b9iE1vcH2wXEM7XE0wbzQ=s88-c-k-c0x00ffffff-no-rj,1886180427,https://www.youtube.com/channel/UCxc3OEfW443WRjYSGFITwRA,4190000,2024-11-01,UCxc3OEfW443WRjYSGFITwRA,HK
UNILAD,1962,,https://yt3.ggpht.com/QxSUCHoRs12pJ63lc7Z4VsK7XO05D8W-w2uexsTEbETpXz4Az9N7vWDoGUpTKag_6l9baWy3YbM=s88-c-k-c0x00ffffff-no-rj,1631073080,https://www.youtube.com/channel/UCnQWRzqPuCpOw0aJ4HwQjIQ,1550000,2024-11-01,UCnQWRzqPuCpOw0aJ4HwQjIQ,US
im_siowei,854,YAEY!👇👇 Join my Discord! 👇👇,https://yt3.ggpht.com/LjkemlD5JfWAGKszp5CAepfKiRNts89hTo-njg0matyjh_LEeph-jBFP66y3DtO8bjkZHXqk=s88-c-k-c0x00ffffff-no-rj,11063192394,https://www.youtube.com/channel/UCSgue5Dm418CCUCZ-aeUtEA,11400000,2024-11-01,UCSgue5Dm418CCUCZ-aeUtEA,US
