Pais_Codigo,Video_ID,Video_Snapshot_Data
ZA,lIBN-YwkVDI,2024-11-01
ZA,Km9RSCwJUiU,2024-11-01
ZA,vyxTs6duZ18,2024-11-01
ZA,al9l8QxWcD0,2024-11-01
ZA,hWp6ahN4Fu8,2024-11-01
ZA,Hf9pXbnWIK8,2024-11-01
ZA,0vuWVagcwRY,2024-11-01
ZA,re-k88xk9io,2024-11-01
ZA,7RIvq98nXvc,2024-11-01
ZA,lfYz8vfonkA,2024-11-01
ZA,j_HcDFFHdyQ,2024-11-01
ZA,BC9MKKrr27Y,2024-11-01
ZA,5lFH7y6S9uk,2024-11-01
ZA,aH4ADJaySxc,2024-11-01
ZA,GNHY0s3IlA4,2024-11-01
ZA,s9XW0tllx4Q,2024-11-01
ZA,A_25Ak4qtzw,2024-11-01
ZA,_TOVC1pckqo,2024-11-01
ZA,2XC5eCEJsnc,2024-11-01
ZA,hBMoPUAeLnY,2024-11-01
ZA,S8LLmoHrDoA,2024-11-01
ZA,wWTCQbq_vjk,2024-11-01
ZA,8musHuA2bCs,2024-11-01
ZA,9VU7hCCkzKg,2024-11-01
ZA,sGDHIqxwMDQ,2024-11-01
ZA,k5RfFzC1OnM,2024-11-01
ZA,ButyjwBiVHY,2024-11-01
ZA,wHTSFUbOIfw,2024-11-01
ZA,kcfT_cD8S3Q,2024-11-01
ZA,vWsgTlpRfSE,2024-11-01
ZA,o5ouQMZIl_Y,2024-11-01
ZA,UDIZhLy5HBY,2024-11-01
ZA,THf8kfbfa5M,2024-11-01
ZA,qDWrH3h3qJI,2024-11-01
ZA,yg0cfPOVfXw,2024-11-01
ZA,3yKBN4fq_fY,2024-11-01
ZA,kMFY7aJ1tvk,2024-11-01
ZA,0z7JOpQpPA4,2024-11-01
ZA,YyssvbgaDqk,2024-11-01
ZA,U0iVzuKM0Hs,2024-11-01
ZA,mTrxJh34XvM,2024-11-01
ZA,sC51QhcCwaM,2024-11-01
ZA,Q_S1EyN0uHw,2024-11-01
ZA,ZNt_GoOBHq8,2024-11-01
ZA,yTm0UzkS5Ho,2024-11-01
ZA,pBqkoy6dvGY,2024-11-01
ZA,pG9RZCh5OsY,2024-11-01
ZA,wFn8lV2LdL8,2024-11-01
ZA,rm-4EtvByhA,2024-11-01
ZA,EcseUs8FVNw,2024-11-01
ZA,TeOHydt__Hc,2024-11-01
ZA,TLpWKqpIUNY,2024-11-01
ZA,h6Ewz1MYmj0,2024-11-01
ZA,vqjc5M0le_s,2024-11-01
ZA,1TDupj8KO6s,2024-11-01
ZA,LY7vc3aMDG8,2024-11-01
ZA,9AH68h3LPss,2024-11-01
ZA,5IbcXXSlsA8,2024-11-01
ZA,nZ1U_RCD-5w,2024-11-01
ZA,X6VhTzsgQjg,2024-11-01
ZA,oKNhgc9Gy3o,2024-11-01
ZA,r0oasQkLYN8,2024-11-01
ZA,rdfmu_If33g,2024-11-01
ZA,-__b9HGci1Q,2024-11-01
ZA,ChCxsAkmrxA,2024-11-01
ZA,k0TmrBYlPtg,2024-11-01
ZA,YXvXdAYPj00,2024-11-01
ZA,dN0NDTwijhA,2024-11-01
ZA,Ua-ymIL-zuk,2024-11-01
ZA,U7XEpdX8iKk,2024-11-01
ZA,gpyXS5OkQ74,2024-11-01
ZA,V9tpUcYQHyI,2024-11-01
ZA,BWtBckf8RIw,2024-11-01
ZA,dv7oHrm2aug,2024-11-01
ZA,T-vLGMlfioE,2024-11-01
ZA,fcfETT2i2Es,2024-11-01
ZA,WPs2bTynDDI,2024-11-01
ZA,eEe6z9ZMcqo,2024-11-01
ZA,olx5oFJbivo,2024-11-01
ZA,-lmrD15XAnk,2024-11-01
ZA,C3wPtKNbAOA,2024-11-01
ZA,h7GMBRVPRGk,2024-11-01
ZA,xlRr610Z3dE,2024-11-01
