ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
lIBN-YwkVDI,UC_RJl9jP_UVSmULyIAdnv3g,2024-10-25,10
Km9RSCwJUiU,UCXg4rJUbDP1IP3TmZ9KDpJg,2024-10-25,24
vyxTs6duZ18,UCS4EH6UV7X4g8GqYaO0WPwQ,2024-10-26,1
al9l8QxWcD0,UCx18ywTcohtS9lpNXt8noWQ,2024-10-24,17
hWp6ahN4Fu8,UCedZvSQVma70F1O67NOuYZw,2024-10-30,23
Hf9pXbnWIK8,UCTv-XvfzLX3i4IGWAm4sbmA,2024-10-26,17
0vuWVagcwRY,UCcVlJCxIqvZowxxzxY2QXEA,2024-10-27,26
re-k88xk9io,UCdv4wK9U_ZH-yvejS_ZOEvg,2024-10-27,24
7RIvq98nXvc,UCja7QUMRG9AD8X2F_vXFb9A,2024-10-27,22
lfYz8vfonkA,UCb8vrqP8Z7Oz9ZTYvUtjUHQ,2024-10-18,23
j_HcDFFHdyQ,UCvPlf2Qs7dGbgBjXNa_noCA,2024-10-24,10
BC9MKKrr27Y,UCRnSnAq44St3dzNdgPpfChA,2024-10-15,15
5lFH7y6S9uk,UC6ILA0ufdGI_RxNIj2-aSFw,2024-10-27,22
aH4ADJaySxc,UCfSIpNUO7Jr3prkLqtj2G6Q,2024-10-18,26
GNHY0s3IlA4,UCQPMKK3ZuDep5FaCUJQYzQA,2024-10-22,22
s9XW0tllx4Q,UCivWNaA6I_clqBZ_1KCwNHA,2024-10-25,10
A_25Ak4qtzw,UCzi1cjtEXE74u2dTXiJeb9A,2024-10-22,22
_TOVC1pckqo,UCblfuW_4rakIf2h6aqANefA,2024-10-23,17
2XC5eCEJsnc,UCAC00PLdaZTdQq5RuJs-NpA,2024-10-18,26
hBMoPUAeLnY,UCzQUP1qoWDoEbmsQxvdjxgQ,2024-10-26,22
S8LLmoHrDoA,UCxc3OEfW443WRjYSGFITwRA,2024-10-22,22
wWTCQbq_vjk,UCnQWRzqPuCpOw0aJ4HwQjIQ,2024-10-17,28
8musHuA2bCs,UCSgue5Dm418CCUCZ-aeUtEA,2024-10-23,23
9VU7hCCkzKg,UCl2vI5yLr6gKqfrovexHzTA,2024-10-20,22
sGDHIqxwMDQ,UCptS0fmTEUlGcDSFiTbRsQg,2024-10-22,26
k5RfFzC1OnM,UCMY6MUelcrXGz5rk4Kyb09w,2024-10-24,10
ButyjwBiVHY,UCdPui8EYr_sX6q1xNXCRPXg,2024-10-18,17
wHTSFUbOIfw,UCx18ywTcohtS9lpNXt8noWQ,2024-10-22,17
kcfT_cD8S3Q,UCedZvSQVma70F1O67NOuYZw,2024-10-23,23
vWsgTlpRfSE,UCVhoKlfJtHesO0m5rlw7-5Q,2024-10-23,24
o5ouQMZIl_Y,UCChueHq0vtAIDSEgq4GKbSw,2024-10-17,10
UDIZhLy5HBY,UCixexRrgWKp8lC-oW1s2RcQ,2024-10-12,26
THf8kfbfa5M,UCyGlHNYIsiXV47jUbvYA5DQ,2024-10-12,26
