Titulo,Numero_de_likes,Numero_de_visualizacoes,Descricao,Numero_de_comentarios,Data,Video_ID
WanitwaMos x Nkosazana Daughter & Master KG -Mfazi We Phepha (feat.BigZulu & ZeeNxumalo) Music Video,17614,1381215,"Wanitwa Mos Entertainment 2024Distributed by @AfricoriFrom the groundbreaking album Makhelwane, which translates to Neighbour, comes this vibrant collaboration featuring the incredible Big Zulu and Zee Nxumalo. These visulas beautifully blends Afro Pop, Dance, and Amapiano, creating a sound that celebrates the rich tapestry of South African culture.'Mfazi We Phepha,' showcase  a fusion of languages, including Tsonga, Zulu, and Swati. With four talented artists coming together, this song has quickly climbed the charts and captured the hearts of listeners across the nation.Join us on this musical journey and immerse yourself in the rhythm and passion of Makhelwane Album, Available on all digital platformsBookings :dineo@wanitwa-mos.co.za+2774 656 7075#MfaziWePhepha #Makhelwane #Wanitwamos  #Master KG #nkosazanadaughter #BigZulu #ZeeNxumalo  #AfroPop #Amapiano #SouthAfricanMusic #DanceMusic",698,2024-11-01,lIBN-YwkVDI
How Strong is Tin Foil? 💪,923545,54645077,"❇️ SUBSCRIBE - http://brianna.gg/subscribe👕 FIRE MERCH - http://www.brimerch.com🔥 DOWNLOAD APP - http://firemerch.app/download👀 FOLLOW ME HERE!☛ TikTok - https://www.tiktok.com/@brianna☛ Instagram - https://www.instagram.com/brianna_/ ☛ Twitter - https://twitter.com/BriArsement🎮 MY FAN DISCORD! ☛ https://fire.vip/discord------------------------------Additional music provided by Epidemic SoundClick here for a free trial!  http://share.epidemicsound.com/TBNRIf you believe your copyrighted work was unintentionally used in this video without permission, please contact us at copyright@tbnr.net",1085,2024-11-01,Km9RSCwJUiU
The recruits are going through concealment training #futurelink #movie,646355,11602404,,246,2024-11-01,vyxTs6duZ18
This Handball Play Was As Tough As It Gets,648720,21216377,,2435,2024-11-01,al9l8QxWcD0
Together=Clean - Episode 6 (Last episode),13881,212324,Follow the link and start earning on Pocket Broker. Use the promo code LIFE50 to boost your first deposit by 50%!https://cos.cash/zafast?inf=LIFE50&number=1&int=1,822,2024-11-01,hWp6ahN4Fu8
REAL MADRID 0 - 4 FC BARCELONA | RESUMEN LALIGA EA SPORTS,313483,14736836,El FC Barcelona se lleva El Clásico ante el Real Madrid en el Santiago Bernabéu con un doblete de Lewandowski y los golazos de Lamine Yamal y Raphinha #elclasico #elclásico #RealMadridBarça J11 LALIGA EA Sports 2024/2025Suscríbete al canal de LALIGA EA SPORTS: http://goo.gl/Cp0tC,15557,2024-11-01,Hf9pXbnWIK8
Level up your cement game with these hacks 🙌🏽,89599,3128228,"Advanced cement techniques: expert tips.#shorts #cement #hacks #repairs▶️ TheSoul Music: https://www.music.thesoul-publishing.com◉ Our Spotify: https://sptfy.com/TheSoulMusic◉ TikTok: https://www.tiktok.com/@thesoul.music◉ YouTube: / @thesoulsoundMusic by Epidemic Sound: https://www.epidemicsound.com/Stock materials: https://www.depositphotos.com https://www.shutterstock.comThis video is made for entertainment purposes. We do not make any warranties about the completeness, safety and reliability. Any action you take upon the information on this video is strictly at your own risk, and we will not be liable for any damages or losses. It is the viewer's responsibility to use judgment, care and precautions if one plans to replicate.The following video might feature activity performed by our actors within controlled environment - please use judgment, care, and precaution if you plan to replicate.All product and company names shown in the video are trademarks™️ or registered®️ trademarks of their respective holders. Use of them does not imply any affiliation with or endorsement by them.",516,2024-11-01,0vuWVagcwRY
MAGIC TIME ​⁠@Whoispelagheya,975605,34208310,,649,2024-11-01,re-k88xk9io
Our Son's BIG Accident,136682,9577074,"Our Son's BIG Accident𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 HERE 👉 ​⁠@royaltyfam 𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 To Gaming Channel 👉 ​⁠ ​⁠@RoyaltyGaming1  More AMAZING Videos! 👇Our Son's EPIC 14th Birthday Surprise👉 https://youtu.be/XuNqMOGENZkEating Only GAS STATION FOOD for 24 Hours!! 🤮👉 https://youtu.be/UtcJZnyFTQEi Survived the World's STRICTEST Babysitter👉 https://youtu.be/oC2o2-Nteyw?si=QA8BqYP16RCloMUzHOME ALONE Without Parents for 24 Hours *Security Cameras*👉 https://youtu.be/T6IuTOAYS8k?si=iG5BjzALXi0uACvlOur Son's EPIC 13th BIRTHDAY SURPRISE!👉 https://youtu.be/ppAIBR_BxO4He Finally Got His DREAM Christmas PRESENT!! **EMOTIONAL**👉 https://youtu.be/Ot17zf95YNA?si=SSjqvSYrj8qqMmIgFather Tries to Find his SON Blindfolded!👉 https://youtu.be/oiY4DK1vgBYSon Tries to Find his MOM Blindfolded!👉 https://youtu.be/gTPu4NtqSz4?si=BuYVHfLEmKTJdldzour Son's EPIC Birthday Surprise!👉 https://youtu.be/56NrzRjZDkoExtreme HIDE & SEEK at LARGEST IKEA! ft/ Jordan Matter👉 https://youtu.be/xUB_YHSJYTcWe ADOPTED a GIRL, But Our SON Gets JEALOUS! ft/ Jordan Matter👉 https://youtu.be/foQIRatJyj0FERRAN Has NEW PARENTS! Goodbye Son...W/ Rebecca Zamolo👉 https://youtu.be/atOfjAiSdFoWatch our RECENT VIDEOS  ➡ https://bit.ly/2JotKG4Watch Our POPULAR VIDEOS! ➡ http://bit.ly/2NgagCxWatch Our CHALLENGES  ➡ https://bit.ly/2kqDqVDFOLLOW IᑎᔕTᗩGᖇᗩᗰ HERE ☟ANDREA ➡https://www.instagram.com/andreaespadatv/ALI           ➡https://www.instagram.com/4kpapi/FERRAN  ➡https://www.instagram.com/kingferran/MILAN    ➡https://www.instagram.com/princemilan/FAMILY   ➡https://www.instagram.com/royaltyfamily/DAWGS  ➡https://www.instagram.com/royaltydawgs/BUSINESS INQUIRIES ➡ royaltyfambusiness@gmail.comWelcome To THE ROYALTY FAMILY! We're a multicultural family based in LA, here to spread positivity. We're all about challenges, fun games, adventure, and sharing our family journey. Join us every week in sharing the good times of Andrea, Ali, Ferran & Milan (and of course, our 2 dogs Gucci & Princessa)! Best of all, we believe everyone can be ROYALTY so don’t forget to SUBSCRIBE!! #challenge #royalty #RoyaltyFamilyOur Son's BIG Accidenthttps://youtu.be/7RIvq98nXvcThe Royalty Familyhttp://www.youtube.com/RoyaltyFam",25309,2024-11-01,7RIvq98nXvc
"When mom gets home, but you're in rollerblades.",3928635,117566950,,9088,2024-11-01,lfYz8vfonkA
James Johnston & Appel - Country Is For Me (Official Music Video),10284,473593,"Listen to 'Country Is For Me' here: https://JamesJohnston.lnk.to/COUNTRYISFORMEFollow James on social media: Facebook: https://www.facebook.com/share/hgnV1NvkviLZNeT8/?mibextid=LQQJ4dInstagram: https://www.instagram.com/jamesjohnstonmusic?igsh=MWhjNncyaWI1dHgzNA==TikTok: https://www.tiktok.com/@jamesjohnstonmusic?_t=8qonvXB1xzC&_r=1Follow Appel on social media: Facebook - https://www.facebook.com/APPELchristophkotze?mibextid=LQQJ4dInstagram - https://instagram.com/appelmusiek?igshid=NGVhN2U2NjQ0Yg==TikTok - https://www.tiktok.com/@appelmusiek1?_t=8hn6wlJewpp&_r=1A big thank you to Atlas Media (Conrad Theron, WC Kriel), Nahla Safari's, Ngiri Auto, Onca Off-Road, True Timber and Bosbul.",313,2024-11-01,j_HcDFFHdyQ
