ID,Data_de_criacao
UClG8odDC8TS6Zpqk9CGVQiQ,2014-01-17
UCKaCalz5N5ienIbfPzEbYuA,2006-12-21
UCWOA1ZGywLbqmigxE4Qlvuw,2012-07-17
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UCQ-YJstgVdAiCT52TiBWDbg,2010-07-06
UCsY7UM8d2sGHhWP_nj7WYjQ,2014-10-29
UCsY7UM8d2sGHhWP_nj7WYjQ,2014-10-29
UCeU5qTuBiqTU5z-hyL6WITQ,2012-07-17
UC1G9pwKwx9RpFwSohdkmhxA,2013-06-22
UCfpCQ89W9wjkHc8J_6eTbBg,2015-05-05
UCX6OQ3DkcsbYNE6H8uQQuVA,2012-02-20
UCvqRdlKsE5Q8mf8YXbdIJLw,2012-09-27
UCSdma21fnJzgmPodhC9SJ3g,2015-11-24
UCWsDFcIhY2DBi3GB5uykGXA,2016-03-21
UCto7D1L-MiRoOziCXK9uT5Q,2016-11-17
UCSTJELgD0j0gW2_wgF_TYuA,2013-04-25
UC5f5IV0Bf79YLp_p9nfInRA,2009-09-09
UC07Kxew-cMIaykMOkzqHtBQ,2009-05-12
UCSTJELgD0j0gW2_wgF_TYuA,2013-04-25
UCnmGIkw-KdI0W5siakKPKog,2013-10-27
UCF_fDSgPpBQuh1MsUTgIARQ,2011-07-13
UCRijo3ddMTht_IHyNSNXpNQ,2009-03-17
UCw1SQ6QRRtfAhrN_cjkrOgA,2015-01-04
UCI2hA8WukW-Q90aabtm3Hbw,2015-08-24
UCF3D1D3RL6z8QJzgc6dtQRg,2011-07-21
UCWZmCMB7mmKWcXJSIPRhzZw,2008-02-17
UCqwUnggBBct-AY2lAdI88jQ,2022-12-28
UCEg25rdRZXg32iwai6N6l0w,2011-09-30
UCZGYJFUizSax-yElQaFDp5Q,2005-08-27
UCCmo_NIuQR5eU4AvBa6sEQQ,2013-07-29
UCurpiDXSkcUbgdMwHNZkrCg,2006-01-30
UClG8odDC8TS6Zpqk9CGVQiQ,2014-01-17
UClOGLGPOqlAiLmOvXW5lKbw,2011-12-04
UCl9E4Zxa8CVr2LBLD0_TaNg,2006-12-28
UCIWB3DlhYMzxj1LT-OlqeWw,2016-05-19
UCt7fwAhXDy3oNFTAzF2o8Pw,2009-01-21
UCAM35Xuk2-GM4Mb8g0MGSZw,2013-07-13
UCoUM-UJ7rirJYP8CQ0EIaHA,2006-09-19
UCn_FAXem2-e3HQvmK-mOH4g,2018-01-13
UCOsATJw-IZgqGT8MFrHjKGg,2016-02-09
UCs-w7E2HZWwXmjt9RTvBB_A,2016-04-03
UCCxF55adGXOscJ3L8qdKnrQ,2012-11-19
UCsY7UM8d2sGHhWP_nj7WYjQ,2014-10-29
UCvayv7u6HrpENlleXekJ2fg,2011-09-13
UCLc_ZQgQ8h2XKUAQpqcvIdw,2020-02-25
UChpKl3waLmccNeYH9LGYjUQ,2013-09-17
UCzTlXb7ivVzuFlugVCv3Kvg,2010-01-09
UCHnyfMqiRRG1u-2MsSQLbXA,2010-07-21
UCg3gzldyhCHJjY7AWWTNPPA,2014-10-29
UC-g_O9HWb5B0rVDG1hLd5Hw,2012-03-16
UCoLrcjPV5PbUrUyXq5mjc_A,2005-12-25
UCh5mLn90vUaB1PbRRx_AiaA,2018-02-01
UCFMGCDS4rQprREJJa8f4F0Q,2022-02-07
UCE_M8A5yxnLfW0KghEeajjw,2005-06-22
UCqfp_TZGkNakCWMNHPGxgng,2023-11-24
UCQ-xcZY4J45Z9vCZ_A3LGCw,2022-09-26
UCja7QUMRG9AD8X2F_vXFb9A,2017-04-13
UCB_qr75-ydFVKSF9Dmo6izg,2005-12-29
UCaoTOpfjVfdm_XlYvwbVicQ,2012-08-14
UCPD_bxCRGpmmeQcbe2kpPaA,2014-02-28
UCZ7AeeVbyslLM_8-nVy2B8Q,2015-12-24
UCo1DYcm1IZ9v3UPkpiAcgtg,2018-10-13
UCbAwSkqJ1W_Eg7wr3cp5BUA,2011-11-09
UCYVinkwSX7szARULgYpvhLw,2006-09-13
UCt-GOpCw4dOBlIyqL9A1ztA,2008-05-31
UCodbH5mUeF-m_BsNueRDjcw,2011-04-07
UCvC4D8onUfXzvjTOM-dBfEA,2005-06-16
UCB_qr75-ydFVKSF9Dmo6izg,2005-12-29
UCqwxMqUcL-XC3D9-fTP93Mg,2014-02-16
UCQF0f62JXnfFSxKDmN8SDUg,2022-05-05
UCA61H4fWOMHikLcUFKyQUog,2023-08-03
UC4rqhyiTs7XyuODcECvuiiQ,2012-11-08
UC0jPwNs4B7yJySNewHan5hQ,2016-10-14
