Pais_Codigo,Video_ID,Video_Snapshot_Data
AU,9zJK2qBcSYs,2024-11-02
AU,rAD8sA9UgFo,2024-11-02
AU,lQBmZBJCYcY,2024-11-02
AU,Zp-Jhuhq0bQ,2024-11-02
AU,PNR_6TkduPk,2024-11-02
AU,1vPGcuvFLMQ,2024-11-02
AU,96e75AAsBMk,2024-11-02
AU,NMjhjrBIrG8,2024-11-02
AU,3-PVx_H7p-I,2024-11-02
AU,XAHBTyACwFM,2024-11-02
AU,Xj0Jtjg3lHQ,2024-11-02
AU,SuwPaNAZlF0,2024-11-02
AU,LZzubS1ILTs,2024-11-02
AU,c70s8ux50lQ,2024-11-02
AU,5ZiUIW-9_Y8,2024-11-02
AU,R1nJq2avaxA,2024-11-02
AU,EPKUsLtwexg,2024-11-02
AU,fmC6b6_ovZY,2024-11-02
AU,Slq5EGmycY8,2024-11-02
AU,jac53THxO0I,2024-11-02
AU,2kjolTLZ_Mg,2024-11-02
AU,9QXxid7t9oM,2024-11-02
AU,CGoN-thr5sI,2024-11-02
AU,b__vp69NTqM,2024-11-02
AU,UQg0VEkMbG4,2024-11-02
AU,xk5c93yilio,2024-11-02
AU,o0oW3lPoOXM,2024-11-02
AU,MKXvSe4vv-w,2024-11-02
AU,f19gfOMZTtg,2024-11-02
AU,0Z0y3S8xWQM,2024-11-02
AU,XpSdD63j7Y4,2024-11-02
AU,xNudqMNIlB8,2024-11-02
AU,-awto63GqPs,2024-11-02
AU,LebrzDtQn_s,2024-11-02
AU,TCUqH8CFDxA,2024-11-02
AU,U3E2a3fUGAE,2024-11-02
AU,HAcLoqZO-Z0,2024-11-02
AU,fnPxkuFIA48,2024-11-02
AU,q31HGLVBObs,2024-11-02
AU,kzw-qZMYdqU,2024-11-02
AU,NYPo88BjOIU,2024-11-02
AU,HosgJo6cwX0,2024-11-02
AU,yO2Gxozek5k,2024-11-02
AU,ZHyJotwNoAo,2024-11-02
AU,vrkzCbUCRNU,2024-11-02
AU,6_SsGMeJIHk,2024-11-02
AU,II4sfdRM3Ac,2024-11-02
AU,Q10_srZ-pbs,2024-11-02
AU,oUV-u7CRyKE,2024-11-02
AU,Q_wVrsX7aqE,2024-11-02
AU,j3ykZoQMJLI,2024-11-02
AU,eX381RBkHc0,2024-11-02
AU,AmZleTKYYQI,2024-11-02
AU,G0cmfY7qdmY,2024-11-02
AU,4ZxQ5rR8VwA,2024-11-02
AU,gJd7IMYqCYE,2024-11-02
AU,7RIvq98nXvc,2024-11-02
AU,sVUhtqwOAZA,2024-11-02
AU,KUUt3UNyUtY,2024-11-02
AU,amZ3fANPGIE,2024-11-02
AU,QF-Kd2BBpx8,2024-11-02
AU,hCcwCv3G1FQ,2024-11-02
AU,CIdUQxDlYW4,2024-11-02
AU,vxbCfIYUSh8,2024-11-02
AU,g3UTptQz-JI,2024-11-02
AU,J8orRDSOiiw,2024-11-02
AU,yM7ECLIhsAc,2024-11-02
AU,qJI-ApEMxjs,2024-11-02
AU,D7F42F_JM3U,2024-11-02
AU,G0JWA18cDbM,2024-11-02
AU,pm_G1sXjUIA,2024-11-02
AU,Qx88zndTGp8,2024-11-02
AU,7-LgFR2Enj4,2024-11-02
AU,Oc91iOxcB3c,2024-11-02
AU,VLPgxODl8Rw,2024-11-02
AU,DQ5EeImWYaI,2024-11-02
AU,3efwPrjwNVY,2024-11-02
AU,8jf2hNiBKYs,2024-11-02
AU,nW9yQVql_kA,2024-11-02
AU,VwCq09PzYRY,2024-11-02
AU,5TlxFXFi8UU,2024-11-02
AU,mxVP7nNzzBo,2024-11-02
AU,2G9Wu6IKNy8,2024-11-02
AU,tiiq462mV3w,2024-11-02
AU,mn75mKUExGg,2024-11-02
AU,8ouu2DE6J_s,2024-11-02
AU,I4BYYKOpMa0,2024-11-02
AU,ecLUCPhKKxs,2024-11-02
AU,dBRFH7MgWis,2024-11-02
AU,eknj5_0tF2s,2024-11-02
AU,xfPKwJ7Qukc,2024-11-02
AU,f5-h2EjrIPE,2024-11-02
AU,BBWL2uVqcW4,2024-11-02
AU,lWLp_ptADNU,2024-11-02
AU,ym_a6M7ZElo,2024-11-02
AU,F_7IPm7f1vI,2024-11-02
AU,IXtSluGSteU,2024-11-02
AU,m2mH4480dqU,2024-11-02
AU,t6ukMUq-iQQ,2024-11-02
AU,T3rnBuSTNhY,2024-11-02
AU,jZW2GnEcjpM,2024-11-02
AU,tRh5pIokod0,2024-11-02
AU,Pwwl-MwJLxQ,2024-11-02
AU,QGY-YUkN2Nc,2024-11-02
AU,-mPL6eZN8jw,2024-11-02
AU,b1sYvU5saZo,2024-11-02
AU,ZC-egC-ElAU,2024-11-02
AU,6vGMPjmlHKQ,2024-11-02
AU,BZ6mmUijhCE,2024-11-02
AU,BqPNB9Vxl_w,2024-11-02
AU,IIRHCfvnUyU,2024-11-02
AU,MesWtDPzFLA,2024-11-02
AU,ujfC0NgdU48,2024-11-02
AU,UjRikc_ldIQ,2024-11-02
AU,i3h7pO6xLAM,2024-11-02
AU,4XxnTAwyxus,2024-11-02
AU,Twn_4AW0M6U,2024-11-02
AU,JObxd5s-uqQ,2024-11-02
AU,iNSPFb5AIz8,2024-11-02
AU,8Ebqe2Dbzls,2024-11-02
AU,T_UMKggEkUI,2024-11-02
AU,ZWDoUsxpkKE,2024-11-02
AU,JwHDwOVkRXU,2024-11-02
AU,TtFm9n3NVzE,2024-11-02
AU,tI9dwinLua0,2024-11-02
AU,queBWT_e10o,2024-11-02
AU,GsvxsV0CPz0,2024-11-02
AU,QlPsuIkg6k0,2024-11-02
AU,DIWsSpvHj8o,2024-11-02
AU,kBC211AsHZs,2024-11-02
AU,OqQOkUzQDWY,2024-11-02
AU,B0kJ5Kxqm14,2024-11-02
AU,HsFBftgYDuY,2024-11-02
AU,K4fO-fBajD4,2024-11-02
AU,eC77RIAsAuc,2024-11-02
AU,HfN67NC1AVw,2024-11-02
AU,etsXknHtGUs,2024-11-02
AU,uBq_g2XQ52g,2024-11-02
AU,hnBXXFW9KQw,2024-11-02
AU,67eiQYXzbjs,2024-11-02
AU,W8l6_ROPvJw,2024-11-02
AU,HWEzxj6pqkg,2024-11-02
AU,KJ0TuwmSgiw,2024-11-02
AU,F5UDQQUUDao,2024-11-02
AU,-J_w9K6DgRo,2024-11-02
AU,IEzgtBOt4bU,2024-11-02
AU,ifINhTmV4yU,2024-11-02
AU,4Dr7HljrsoQ,2024-11-02
AU,Rs8bNwfVyM0,2024-11-02
AU,aZlRG12Ami8,2024-11-02
AU,yDZGQT37y7I,2024-11-02
AU,rhTZTy1rZhw,2024-11-02
AU,PImf0bJoGQ8,2024-11-02
AU,dGKXp8_LP2U,2024-11-02
AU,Y41VVNEcm-U,2024-11-02
AU,Fy5BMlwlh4o,2024-11-02
AU,v2BjVurDSic,2024-11-02
AU,NrUlydECU-8,2024-11-02
AU,PWjZ3p1jNho,2024-11-02
AU,cIAoz2ebBoU,2024-11-02
AU,R_clisSImS4,2024-11-02
AU,y38qQRg3UDI,2024-11-02
AU,Qt6YiVZLhG0,2024-11-02
AU,hQ2f7dI41hM,2024-11-02
AU,4BjOaq9ZLUo,2024-11-02
AU,KnmegqkWXtM,2024-11-02
AU,G1WgoZVIXbw,2024-11-02
AU,RhDFW32GpDM,2024-11-02
AU,817L86agTTk,2024-11-02
AU,eaB7nCdId0Y,2024-11-02
AU,YqVUqZxyw3c,2024-11-02
AU,I_VO_ElQgso,2024-11-02
AU,DO_iGu_U9xo,2024-11-02
AU,Sih0v01Wbek,2024-11-02
AU,DrSfBULAsek,2024-11-02
AU,ttovshZgIC0,2024-11-02
AU,ReD8i61RZdI,2024-11-02
AU,UTDpgEraPbA,2024-11-02
AU,VJe-B9TeGy8,2024-11-02
AU,bgo7rm5Maqg,2024-11-02
AU,qS1K84Nq6wU,2024-11-02
AU,ZViWWpA2AFk,2024-11-02
AU,fSHoePrnmMw,2024-11-02
AU,9vZVDUjWerI,2024-11-02
AU,7RLlZzS1NNg,2024-11-02
AU,pxY82K0_hSs,2024-11-02
AU,l6GoKf1b4mw,2024-11-02
AU,FVON5lJX67E,2024-11-02
AU,meabXp-IFkM,2024-11-02
AU,P3eDn06cZA8,2024-11-02
AU,ZyVjEdcFSO0,2024-11-02
AU,jdXm2eFyOTs,2024-11-02
AU,0VKNgWkoaWU,2024-11-02
AU,MXoO2GM7bgc,2024-11-02
AU,8Ro085T0mnQ,2024-11-02
AU,tvwIvXJHncE,2024-11-02
AU,uffWpXSc0Hk,2024-11-02
AU,1-D2dEw2ihw,2024-11-02
AU,GsFOqAgyuY0,2024-11-02
AU,jWQx2f-CErU,2024-11-02
