ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
9zJK2qBcSYs,UClG8odDC8TS6Zpqk9CGVQiQ,2024-11-01,20
rAD8sA9UgFo,UCKaCalz5N5ienIbfPzEbYuA,2024-11-02,24
lQBmZBJCYcY,UCWOA1ZGywLbqmigxE4Qlvuw,2024-10-31,24
Zp-Jhuhq0bQ,UCqwUnggBBct-AY2lAdI88jQ,2024-11-01,22
PNR_6TkduPk,UCQ-YJstgVdAiCT52TiBWDbg,2024-10-31,24
1vPGcuvFLMQ,UCsY7UM8d2sGHhWP_nj7WYjQ,2024-10-30,17
96e75AAsBMk,UCsY7UM8d2sGHhWP_nj7WYjQ,2024-10-30,17
NMjhjrBIrG8,UCeU5qTuBiqTU5z-hyL6WITQ,2024-10-31,22
3-PVx_H7p-I,UC1G9pwKwx9RpFwSohdkmhxA,2024-11-01,24
XAHBTyACwFM,UCfpCQ89W9wjkHc8J_6eTbBg,2024-11-02,24
Xj0Jtjg3lHQ,UCX6OQ3DkcsbYNE6H8uQQuVA,2024-11-02,24
SuwPaNAZlF0,UCvqRdlKsE5Q8mf8YXbdIJLw,2024-11-02,20
LZzubS1ILTs,UCSdma21fnJzgmPodhC9SJ3g,2024-10-31,23
c70s8ux50lQ,UCWsDFcIhY2DBi3GB5uykGXA,2024-10-31,20
5ZiUIW-9_Y8,UCto7D1L-MiRoOziCXK9uT5Q,2024-11-01,20
R1nJq2avaxA,UCSTJELgD0j0gW2_wgF_TYuA,2024-11-01,24
EPKUsLtwexg,UC5f5IV0Bf79YLp_p9nfInRA,2024-11-01,17
fmC6b6_ovZY,UC07Kxew-cMIaykMOkzqHtBQ,2024-10-30,10
Slq5EGmycY8,UCSTJELgD0j0gW2_wgF_TYuA,2024-10-31,24
jac53THxO0I,UCnmGIkw-KdI0W5siakKPKog,2024-11-02,24
2kjolTLZ_Mg,UCF_fDSgPpBQuh1MsUTgIARQ,2024-10-31,10
9QXxid7t9oM,UCRijo3ddMTht_IHyNSNXpNQ,2024-11-02,17
CGoN-thr5sI,UCw1SQ6QRRtfAhrN_cjkrOgA,2024-10-29,20
b__vp69NTqM,UCI2hA8WukW-Q90aabtm3Hbw,2024-11-02,20
UQg0VEkMbG4,UCF3D1D3RL6z8QJzgc6dtQRg,2024-11-02,24
xk5c93yilio,UCWZmCMB7mmKWcXJSIPRhzZw,2024-10-30,24
o0oW3lPoOXM,UCqwUnggBBct-AY2lAdI88jQ,2024-10-30,22
MKXvSe4vv-w,UCEg25rdRZXg32iwai6N6l0w,2024-10-31,17
f19gfOMZTtg,UCZGYJFUizSax-yElQaFDp5Q,2024-11-01,24
0Z0y3S8xWQM,UCCmo_NIuQR5eU4AvBa6sEQQ,2024-10-31,17
XpSdD63j7Y4,UCurpiDXSkcUbgdMwHNZkrCg,2024-11-01,10
xNudqMNIlB8,UClG8odDC8TS6Zpqk9CGVQiQ,2024-11-01,20
-awto63GqPs,UClOGLGPOqlAiLmOvXW5lKbw,2024-10-31,20
LebrzDtQn_s,UCl9E4Zxa8CVr2LBLD0_TaNg,2024-11-02,24
TCUqH8CFDxA,UCIWB3DlhYMzxj1LT-OlqeWw,2024-11-01,2
U3E2a3fUGAE,UCt7fwAhXDy3oNFTAzF2o8Pw,2024-10-31,10
HAcLoqZO-Z0,UCAM35Xuk2-GM4Mb8g0MGSZw,2024-10-27,10
fnPxkuFIA48,UCoUM-UJ7rirJYP8CQ0EIaHA,2024-10-30,10
q31HGLVBObs,UCn_FAXem2-e3HQvmK-mOH4g,2024-11-01,1
