ID,Data_de_criacao
UCxc3marqP9BJSkQ0_K4mqDg,2024-10-25 02:51:42
UC3IZKseVpdzPSBaWxBxundA,2024-10-25 04:00:01
UCTa_X-4mmje4Tk0lig9t4Mw,2024-10-25 15:01:44
UCZiYbVptd3PVPf4f6eR6UaQ,2024-10-24 23:00:09
UC07Kxew-cMIaykMOkzqHtBQ,2024-10-25 04:00:31
UC_oToDrJ6uca7d1dFVBmLtg,2024-10-25 02:46:23
UCz2A8OXLR2xwYE63zWbu7IA,2024-10-25 15:26:15
UCBrMq7wkdPWb3PxR-GUR61A,2024-10-25 15:00:09
UCs-6sCz2LJm1PrWQN4ErsPw,2024-10-23 21:12:23
UCSS13SwFDxkiC6Yz-tF11UA,2024-10-25 15:00:49
UCZU9T1ceaOgwfLRq7OKFU4Q,2024-10-24 18:00:07
UCsyd_nnNNDxlOs9TYrDvCoQ,2024-10-24 22:00:07
UCbVwJCxsVbmaP1PFmbGQDeQ,2024-10-25 13:00:07
UCAnCxJ1Weh2pUAKJW0bro0Q,2024-10-24 02:49:03
UCNUQK9mQoqi4yNXw2_Rj6SA,2024-10-25 15:00:08
UCsiCOcr5SZAWlJMfcw9P__w,2024-10-25 12:31:48
UC63iwP6BtIjxB6xn1GKR6Lw,2024-10-25 15:00:50
UCs-6sCz2LJm1PrWQN4ErsPw,2024-10-23 21:10:14
UCNYi_zGmR519r5gYdOKLTjQ,2024-10-25 12:00:42
UCzDYgkEUa7tcWFmhfVItiiA,2024-10-25 13:01:20
UC607Gii1uo93qDqiGR6-c3w,2024-10-24 21:00:08
UC63iwP6BtIjxB6xn1GKR6Lw,2024-10-24 15:00:49
UCch9Dmg5Juwp8MZGvAmAp4Q,2024-10-25 09:00:07
UCFxjZDrLCOCHkUCu632AmMQ,2024-10-24 23:30:06
UC90eu9zXQkuE39brM_RZA0g,2024-10-24 14:55:52
UCdQuDaRww5NkKpQQ1BJBWww,2024-10-24 18:35:58
UCoUM-UJ7rirJYP8CQ0EIaHA,2024-10-24 23:00:11
UCsaB2VrLZrtGbum6Eo0ClbA,2024-10-24 22:00:05
UC3Cs0kPcr0GQPCVzX32NQPg,2024-10-25 04:00:06
UCKrdjiuS66yXOdEZ_cOD_TA,2024-10-25 04:00:03
UCixcSMY0QCvK96xtO9Atifg,2024-10-24 19:00:23
UCEPpLe_ffyNrV8m1zt_1Keg,2024-10-25 00:04:01
UCx6SJ-EWSTZM0Vgxk5HTjWg,2024-10-24 13:45:05
UCoHV8LxUFKeIvifJsB3c7Ww,2024-10-24 00:03:00
UC78CKlsbDeQt-zSkzvxOcsg,2024-10-24 00:00:07
UCgCKagVhzGnZcuP9bSMgMCg,2024-10-25 00:08:23
UC2bYhAHyaqfWlPXWBVk4BcA,2024-10-24 15:00:07
UCIXguhHCl8eDTkXpEuiGPUA,2024-10-24 15:47:48
UCtPYmhNzbNBoAaZByv9vwxg,2024-10-23 22:40:06
UCHNc0vOmeDCRLSzw5VgvNrQ,2024-10-23 22:30:06
UCbTVTephX30ZhQF5zwFppBg,2024-10-24 14:04:25
UC63iwP6BtIjxB6xn1GKR6Lw,2024-10-23 15:00:23
UCIRNu5s24r7zAPTFic_eWNw,2024-10-22 21:00:21
UCgJnKtIMg8gv_9jTwW-EFpA,2024-10-23 15:00:00
UCIXguhHCl8eDTkXpEuiGPUA,2024-10-23 15:00:09
UC040XFJEsSRhTkmieXp1kDQ,2024-10-22 14:30:04
UC8hxLO3J5ld1Xhdo6lSDsiQ,2024-10-22 22:24:59
UCJY41yD2uXdj3sV-8sMOcGw,2024-10-22 22:00:07
UC6an9PllWh3s_8VcKf1VNUA,2024-10-22 21:05:13
UCFJvAGjel1N2QWyOu50pNeQ,2024-10-23 15:00:45
UCLRLY0-mxf8x7p5nMgmYmyQ,2024-10-23 00:20:29
UC3IZKseVpdzPSBaWxBxundA,2024-10-23 15:00:00
UCr3S50A3UmXeBsHBTHCW-Ow,2024-10-22 21:30:41
UCCLJoDshWYe1vV_Q-rmi_aw,2024-10-22 21:36:54
UCgCKagVhzGnZcuP9bSMgMCg,2024-10-23 00:35:14
UCsiCOcr5SZAWlJMfcw9P__w,2024-10-23 04:53:18
UC2bYhAHyaqfWlPXWBVk4BcA,2024-10-22 15:00:06
UCIXguhHCl8eDTkXpEuiGPUA,2024-10-22 15:15:32
UCvG8Ap6M8l0L80LvHA3wI1w,2024-10-22 12:00:08
UCsQBsZJltmLzlsJNG7HevBg,2024-10-22 14:05:55
UC0NwzCHb8Fg89eTB5eYX17Q,2024-10-22 15:00:56
UCrcBZDofBltcgGxphNia2tw,2024-10-22 13:33:55
UC0uRT_armQXqds_rjTjqJ0g,2024-10-23 00:46:00
UCEf_Bc-KVd7onSeifS3py9g,2024-10-21 09:00:42
UCP-Vg2PcmLiWpEdvMI1R35w,2024-10-21 00:08:29
UCsQBsZJltmLzlsJNG7HevBg,2024-10-21 14:44:20
UCHkdAapLfLFYbrFJvtdb7LA,2024-10-21 21:15:06
UCgrFZP2B8H6pWgPL1bAqkiQ,2024-10-21 21:32:24
UCw5-xj3AKqEizC7MvHaIPqA,2024-10-21 18:59:40
UCl5i1KWUAV7hdT5_tL8l6RA,2024-10-21 15:12:10
UCN-opsqqDunWO6h5uCp9Y4g,2024-10-21 15:31:36
UCF8MQYobXcHejWAaet4nSxA,2024-10-22 00:59:08
UC2t5bjwHdUX4vM2g8TRDq5g,2024-10-22 15:00:19
UCwVg9btOceLQuNCdoQk9CXg,2024-10-20 22:45:54
UC_IXaDwOe5uvuNxcDk45yGg,2024-10-21 15:27:15
UCcAfcmj6QbiWfxJLWTF3LcQ,2024-10-21 22:00:10
UCCE-jo1GvBJqyj1b287h7jA,2024-10-21 22:00:03
UCiyfYuX4enlwYWl_9nZnMDA,2024-10-21 20:38:20
UCtPYmhNzbNBoAaZByv9vwxg,2024-10-21 23:38:35
UC3IZKseVpdzPSBaWxBxundA,2024-10-21 08:57:07
UC7hAvFDWwVajRqrI86KCoxA,2024-10-21 02:07:18
UCK_KzyBbDOxgrONcgPbRQtg,2024-10-21 21:00:07
UC896QaWKoSGdZTmy9rHyU_g,2024-10-22 16:36:34
UCB_qr75-ydFVKSF9Dmo6izg,2024-10-20 21:36:00
UC6IV24QPvsASJbzqDbmK8gw,2024-10-21 01:34:19
UCgCKagVhzGnZcuP9bSMgMCg,2024-10-21 01:13:40
UClhFyS7uI884HtPGyI31pRw,2024-10-19 03:38:38
UCXFqI7y1ks-aTA4cffywiVQ,2024-10-20 21:00:34
UCOH0UtunvcOtBYvmHfHK3Nw,2024-10-20 23:15:46
UCPIQI08BxL0i9nES_uKajAA,2024-10-21 14:00:20
UCEWHPFNilsT0IfQfutVzsag,2024-10-21 14:00:44
UCDGmojLIoWpXok597xYo8cg,2024-10-20 07:38:37
UCDGmojLIoWpXok597xYo8cg,2024-10-20 07:35:15
UCr4ARxgElIO21GWfIraZezg,2024-10-19 22:00:06
UCaf4uhI8ItLyM_6kZ5I5Zdw,2024-10-20 15:22:29
