ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
1OBHVAvIKX4,UCxc3marqP9BJSkQ0_K4mqDg,2024-10-25 02:51:42,17
PWjZ3p1jNho,UC3IZKseVpdzPSBaWxBxundA,2024-10-25 04:00:01,10
TaACyfiWemI,UCTa_X-4mmje4Tk0lig9t4Mw,2024-10-25 15:01:44,10
QOsSQBBW0eE,UCZiYbVptd3PVPf4f6eR6UaQ,2024-10-24 23:00:09,17
Sih0v01Wbek,UC07Kxew-cMIaykMOkzqHtBQ,2024-10-25 04:00:31,10
YTfgJiAT_S0,UC_oToDrJ6uca7d1dFVBmLtg,2024-10-25 02:46:23,17
aSlBE0H3CxU,UCz2A8OXLR2xwYE63zWbu7IA,2024-10-25 15:26:15,23
Ar-GGmnYlbU,UCBrMq7wkdPWb3PxR-GUR61A,2024-10-25 15:00:09,20
9nGH55ZYdfg,UCs-6sCz2LJm1PrWQN4ErsPw,2024-10-23 21:12:23,17
ij2Vr6YgWKk,UCSS13SwFDxkiC6Yz-tF11UA,2024-10-25 15:00:49,10
fSHoePrnmMw,UCZU9T1ceaOgwfLRq7OKFU4Q,2024-10-24 18:00:07,10
2pSx5Y75Cb8,UCsyd_nnNNDxlOs9TYrDvCoQ,2024-10-24 22:00:07,10
KZ3w7oTXPTs,UCbVwJCxsVbmaP1PFmbGQDeQ,2024-10-25 13:00:07,10
FjxQpv4NuTg,UCAnCxJ1Weh2pUAKJW0bro0Q,2024-10-24 02:49:03,24
2g2Q449sjsw,UCNUQK9mQoqi4yNXw2_Rj6SA,2024-10-25 15:00:08,10
eZ2f1B72lvA,UCsiCOcr5SZAWlJMfcw9P__w,2024-10-25 12:31:48,17
gHm6_ex7jv0,UC63iwP6BtIjxB6xn1GKR6Lw,2024-10-25 15:00:50,28
qXc2c0GMp9I,UCs-6sCz2LJm1PrWQN4ErsPw,2024-10-23 21:10:14,17
V5bVtAej1hs,UCNYi_zGmR519r5gYdOKLTjQ,2024-10-25 12:00:42,10
0Mzx86A2ddg,UCzDYgkEUa7tcWFmhfVItiiA,2024-10-25 13:01:20,20
DK_sZzF-hj4,UC607Gii1uo93qDqiGR6-c3w,2024-10-24 21:00:08,10
jB-8kmkDBpw,UC63iwP6BtIjxB6xn1GKR6Lw,2024-10-24 15:00:49,28
4Dr7HljrsoQ,UCch9Dmg5Juwp8MZGvAmAp4Q,2024-10-25 09:00:07,1
ChOnpZtPUhg,UCFxjZDrLCOCHkUCu632AmMQ,2024-10-24 23:30:06,17
AC8aNNki8LU,UC90eu9zXQkuE39brM_RZA0g,2024-10-24 14:55:52,22
P4ZK6NOi0ik,UCdQuDaRww5NkKpQQ1BJBWww,2024-10-24 18:35:58,17
8Ebqe2Dbzls,UCoUM-UJ7rirJYP8CQ0EIaHA,2024-10-24 23:00:11,10
8FkacCBLmRo,UCsaB2VrLZrtGbum6Eo0ClbA,2024-10-24 22:00:05,22
Qt6YiVZLhG0,UC3Cs0kPcr0GQPCVzX32NQPg,2024-10-25 04:00:06,10
5c0_u9PsrsQ,UCKrdjiuS66yXOdEZ_cOD_TA,2024-10-25 04:00:03,10
jiCw0XhXTho,UCixcSMY0QCvK96xtO9Atifg,2024-10-24 19:00:23,27
Oi9gJW2H2JA,UCEPpLe_ffyNrV8m1zt_1Keg,2024-10-25 00:04:01,10
z9nc8KpEpxY,UCx6SJ-EWSTZM0Vgxk5HTjWg,2024-10-24 13:45:05,20
ph3OJn9J2sM,UCoHV8LxUFKeIvifJsB3c7Ww,2024-10-24 00:03:00,10
7EWNE-bV7i8,UC78CKlsbDeQt-zSkzvxOcsg,2024-10-24 00:00:07,10
4Q9SpqKo7hI,UCgCKagVhzGnZcuP9bSMgMCg,2024-10-25 00:08:23,17
QlKZr6pR7WA,UC2bYhAHyaqfWlPXWBVk4BcA,2024-10-24 15:00:07,24
V7qS5VWFago,UCIXguhHCl8eDTkXpEuiGPUA,2024-10-24 15:47:48,20
-Kg-EtbJwck,UCtPYmhNzbNBoAaZByv9vwxg,2024-10-23 22:40:06,22
C2QgE5A80Vc,UCHNc0vOmeDCRLSzw5VgvNrQ,2024-10-23 22:30:06,24
bKY_IGIBMQY,UCbTVTephX30ZhQF5zwFppBg,2024-10-24 14:04:25,24
IvcD3kNkMSM,UC63iwP6BtIjxB6xn1GKR6Lw,2024-10-23 15:00:23,28
OKxJlxYEWtI,UCIRNu5s24r7zAPTFic_eWNw,2024-10-22 21:00:21,20
-xL_iq3LkJk,UCgJnKtIMg8gv_9jTwW-EFpA,2024-10-23 15:00:00,22
gaPBdXLIIJc,UCIXguhHCl8eDTkXpEuiGPUA,2024-10-23 15:00:09,20
BNWRK954Sjc,UC040XFJEsSRhTkmieXp1kDQ,2024-10-22 14:30:04,22
aGLLdy2AtK4,UC8hxLO3J5ld1Xhdo6lSDsiQ,2024-10-22 22:24:59,23
wXHmoDK9WfI,UCJY41yD2uXdj3sV-8sMOcGw,2024-10-22 22:00:07,28
Rzpk3fw73AE,UC6an9PllWh3s_8VcKf1VNUA,2024-10-22 21:05:13,24
cQp_W2cpfhU,UCFJvAGjel1N2QWyOu50pNeQ,2024-10-23 15:00:45,23
p86X8xnRADo,UCLRLY0-mxf8x7p5nMgmYmyQ,2024-10-23 00:20:29,17
